,business_id,name,address,city,state,latitude,longitude,ranking
1,0cRXy5Q6Z19UjcsBCVeuOg,AJ’s Jazzy Grill,1525 N Claiborne Ave,New Orleans,LA,29.9718022,-90.0672477,1.0
3,2mBzfKvAM4kSU6Gm9WS7lg,d4 Tabletop Gaming Cafe,8228 Oak St,New Orleans,LA,29.9484004543,-90.1312233653,2.0
4,37lC8Vo0L3pVIdsyxRVw5A,Gulf Coast Crawfish,,New Orleans,LA,29.9219677,-90.1073935,3.0
10,CSDoj-Be9P9eR0kkXU5jjw,Emmylou's,2381 St Claude Ave,New Orleans,LA,29.9693909,-90.0521636,4.0
16,JIMo4CQNZiLYa8Tak4EFiA,La Vie En Rose Cafe,1618 Oretha Castle Haley Blvd,New Orleans,LA,29.9398338,-90.0797510846,5.0
18,NRfPp3teG31PgEJuIipbSw,P & J Oyster Co.,1039 Toulouse St,New Orleans,LA,29.959604,-90.0688179,6.0
21,UYhbbpuD199E7BabX93vAg,Buggin' Out Boils,,New Orleans,LA,29.9682679,-90.0326531,7.0
23,Xa0UjhDY9yOazy4-lSMFgQ,Big O's Original Pops,3300 Royal St,New Orleans,LA,29.9699556,-90.0519265,8.0
26,b2NYyx-BqwNHgOC5RnXzmw,Original Thought,1857 Agriculture St,New Orleans,LA,29.9875553,-90.066146,9.0
28,d9dVFz8aR3drOoR5VYU8NQ,A and M Food Store,1741 Mc Shane Pl,New Orleans,LA,29.9679479137,-90.0619258359,10.0
37,ozQEqZa1xm8D3MGgqN8ahA,Open Hands,3328 Lasalle St,New Orleans,LA,29.9355417,-90.0945378,11.0
39,r5sIxismsox0XCKuhH2Q1Q,Shucks on Teche,825 Teche St,New Orleans,LA,29.9469741,-90.0525192,12.0
42,scMBCVdRaWSi9yjmv5QioQ,Select Crawfish Company,2604 Magazine St,New Orleans,LA,29.9269116,-90.0808455,13.0
44,tz__wL5D6vb6g3f7Xda84w,Mojo Coffee Roasters,3983 Tchoupitoulas St,New Orleans,LA,29.9177391,-90.0961387,14.0
48,zHy8953PyqX0CnPTXDn3zw,The Commissary,634 Orange St,New Orleans,LA,29.9319792,-90.067779,15.0
34,n8HfcZKc2gmoDQkSI3Csag,Empanola,3109 Magazine St,New Orleans,LA,29.9244627,-90.0857992,16.0
41,sbp-DjxxPbWmCHuQvwzbNA,Sorella5,616 Baronne St,New Orleans,LA,29.9484438,-90.0731985,17.0
14,FCcFpitB7F3qxd1bD4Epfg,Iacovone Kitchen,5033 Freret St,New Orleans,LA,29.9350508,-90.1089541,18.0
33,lJp85TIIeS9szsHwG09QwQ,NOLA Girl Catering Events & Personal Chef Services,,New Orleans,LA,29.9595769,-90.0770127,19.0
19,OSyRjc5SLixdhnvpsqg5MA,3 Southern Girls,4402 Jefferson Hwy,New Orleans,LA,29.9592843,-90.1719775,20.0
11,DHm-sK53w6kFk92TK0SDIg,Undergrowth Coffee,4332 Magazine St,New Orleans,LA,29.920651,-90.1011018,21.0
24,XwpjTjy_jwWGAlG_rt1Hrg,Fatma's Cozy Corner,1532 Ursulines Ave,New Orleans,LA,29.9664243,-90.0696219,22.0
49,zOydduvvtd7MgykEMfZx3A,Danny Seafood,1812 Onzaga St,New Orleans,LA,29.9747816,-90.0671404,23.0
17,K4erLZcvyz7g1QgO91v7FA,Doily,2381 St Claude Ave,New Orleans,LA,29.9693909,-90.0521636,24.0
35,nK_-VSm_Bx4qjMtVmVuwXQ,Mr B's Bakery,"4801 General Meyer Ave, Ste 107",New Orleans,LA,29.9320445457,-90.0042543188,25.0
29,dclL14pr7OojCOKJ_ZbMbQ,Angelo Brocato,214 N Carrollton Ave,New Orleans,LA,29.9754298,-90.0990473,26.0
