,business_id,name,address,city,state,latitude,longitude,ranking
1,18XnCwDpf6OtHTV9V4zx3g,Bistro Babe,,Boise,ID,43.5383043339,-116.155834459,1.0
2,28Q07HstcPUjj_WaqI-8DA,Ocho's Wine Bar,515 W Idaho St,Boise,ID,43.614821643,-116.2001277879,2.0
5,45XW28tWd2PZT8GiytW7Ng,Ansots Basque Chorizos & Catering,560 W Main St,Boise,ID,43.6145383673,-116.2004072567,3.0
8,9pVTWJaOQx-LnF3KeQBhOw,Triple B Boise's Best Burgers,615 S 9th St,Boise,ID,43.6120886014,-116.2088408035,4.0
12,ChbVjsP8S_hPb93Qb2t09A,Matlack’s,217 S 11th St,Boise,ID,43.6162607029,-116.2085473565,5.0
25,W_BhYGYZOAo9KjftlCRskg,Europe Delicious Bakery and Grocery,9958 W Fairview Ave,Boise,ID,43.6206512,-116.3065375,6.0
35,jE29lzOBKz7Fwkdec6-Abw,Graveyard B&G,1000 W Main St,Boise,ID,43.6171376,-116.2059666,7.0
40,oGvauLs2oFbLIBUjv5F77Q,Han's Chimaek,1716 S Broadway Ave,Boise,ID,43.591711,-116.193377,8.0
19,PjN96vtir5pNj9nfiexnxw,Indulge Boise Food Tours,,Boise,ID,43.613664299999996,-116.2173488,9.0
16,Lp7L4FgsRwmlRpEgLD7pxQ,Mala Luna,624 W Idaho St,Boise,ID,43.616002,-116.2011342,10.0
6,57WNnk7YIRyWHGbYYblyKw,Bel Cibo,,Boise,ID,43.5698551,-116.2249298,11.0
47,xArHBES2aOKasqgbxXOGxQ,Tangos Empanadas,701 N Orchard St,Boise,ID,43.6107992,-116.2436899601,12.0
14,FWoIMuM5_cm47Qh-BhjJ6Q,CopenRoss Growlers,5120 W Overland Rd,Boise,ID,43.5904156,-116.2453042,13.0
9,AK6-1pokrB84QV8fFL-z0w,The Rusty Dog,,Boise,ID,43.6320897,-116.2863998,14.0
21,Qm5pxXQYR4f3PkjTkANNBg,Pino's Fine Spirits and Grinders,10697 W Ustick Rd,Boise,ID,43.6334905,-116.3157718,15.0
37,jvsdP8Sm9z56xyrMXansbA,Bosnia Express Boex,4846 Emerald St,Boise,ID,43.6122348,-116.24172,16.0
23,TbxnO7v3mbfonyQ4FhLMfw,The Front Door,105 S 6th St,Boise,ID,43.614446,-116.20159,17.0
17,MtckxPv3amd-343f0wocRQ,Neighbor Tim's BBQ,7802 W Goddard,Boise,ID,43.6442076,-116.2790546,18.0
26,WgI6eGxqF90X5AF1bv0WNQ,Sid's Garage,1003 West Main St,Boise,ID,43.6168583479,-116.2062005634,19.0
39,n4XdEzFBySM8_D_uJqSToA,Alchemist Coffee Roasting,10650 W Overland Rd,Boise,ID,43.5908318,-116.3154722,20.0
20,Ps8KgiyJhPqhkjWBklPimg,Bar Gernika,202 S Capitol Blvd,Boise,ID,43.6140596,-116.2029588,21.0
18,OqysWiDpJJbeZpmk5QOdgA,Lemon Tree,224 N 10th St,Boise,ID,43.618197,-116.204337,22.0
34,fGmp75ZEEPx6cvwGHMxL7w,Off Broadway Deli,3369 S Federal Way,Boise,ID,43.5713109,-116.1882179,23.0
4,3X2pmXKqaMQ6xZjJHlKn8w,The Wylder,501 W Broad St,Boise,ID,43.6115086,-116.2024506,24.0
38,n-CIOneE4RybJJQmp5bykg,Big K BBQ,3409 W Chinden Blvd,Garden City,ID,43.6226167,-116.2397643,25.0
45,trrqavl2198r8BCF8KRsTw,Mb Sandwich House,4510 W Overland Road,Boise,ID,43.5904353,-116.237538,26.0
3,315NxMEwvz085WAQ1R-D3g,Manfred's,"1114 W Front St, Ste B",Boise,ID,43.6165463496,-116.2090845543,27.0
41,pGRl61t6HcvqvvRz0Shr7Q,Wild Root Café,276 N 8th St,Boise,ID,43.6168047,-116.2020824,28.0
49,zQSEPYY7YskqIvg-9cjNdQ,Uncle Giuseppe's,6826 Glenwood St,Garden City,ID,43.6671514,-116.2789572,29.0
0,-aZpjNPSNfTXYkLMkQDiKw,Spitfire Pizza,2450 South Vista Ave,Boise,ID,43.5805097,-116.2132414,30.0
42,pjbWU2dMUgPLfnLakIAivg,The River Room,401 S Broadway Ave,Boise,ID,43.60778205,-116.1945271,31.0
10,AlGLC5_f_9YvcTMr5GEopQ,Meraki-Greek Street Food,345 S 8th St,Boise,ID,43.6138431593,-116.2052803114,32.0
7,6djwQL1FOoe0SZONQHjhrw,Chandlers,981 W Grove St,Boise,ID,43.6155352,-116.2064158,33.0
44,scoHdh0XDA_W7xAZW3zAKQ,Boise Bistro Market,6103 W Fairview Ave,Boise,ID,43.6187611,-116.2575647,34.0
36,jRaBuPn1YNfze55LcBCM0g,Roots Zero Waste Market,3308 W Chinden Blvd,Garden City,ID,43.6225101114,-116.2384736538,35.0
15,ImhksfH_GByuzCJScbZPzA,Reel Foods Fish Market & Oyster Bar,1118 S Vista Ave,Boise,ID,43.5940851,-116.2128761,36.0
24,VOIlYgva7npz0GtX-PQvqQ,Water Bear Bar,"350 N 9th St, Ste 100",Boise,ID,43.618078,-116.2023987,37.0
11,AnyRF7C568zoENaU8E-u6g,KIN,"999 W Main St, Ste P101",Boise,ID,43.6163778,-116.205451,38.0
28,Y4mgE7rgIFX-II-g1jo6uw,Tropical Smoothie Cafe,1115 S Broadway Ave,Boise,ID,43.5992909088,-116.1938903516,39.0
48,zIsFjZgJYxGAz5-y0XTGDg,Deli At the Grove,"101 S Capitol Blvd, Ste 103",Boise,ID,43.6149051,-116.2029839,40.0
22,SwB8Xh8m-sjJJ4XwW8kEWg,State Street Kitchen & Drinkery,3515 W State St,Boise,ID,43.6379867,-116.2334629,41.0
32,akAkbSOpS_tNROaYQ03RNg,Rise & Grind,211 S 6th St,Boise,ID,43.6133375,-116.2024927,42.0
29,ZkaR95U6qhiyAklKUaQXtQ,Namaste Markets and Restaurant,7100 W Fairview Ave,Boise,ID,43.6196022,-116.2707378,43.0
13,CxnFSLLEEuo1seEGpI5HmA,San Francisco Style Sourdough Eatery - Boise,8073 W Emerald St,Boise,ID,43.6105667338,-116.2827982013,44.0
43,pnrFTo66eG6uyYkMtNtOxA,Boise Fry Company,6944 W State St,Boise,ID,43.6666926,-116.2762769,45.0
27,XQBEtE8CCYbv_2vzagd0HA,Pho Le,2146 S Broadway Ave,Boise,ID,43.585465038,-116.1927131112,46.0
46,u_0_H-hIrtA1fKTZXnlTQQ,Noodles & Company,535 N Milwaukee,Boise,ID,43.609731,-116.2852540612,47.0
33,bkhCiUVfelcjuLG15iSddA,Amaru Confections,217 S Roosevelt St,Boise,ID,43.6017478,-116.2338233,48.0
31,aQxjAaKB-KMjU_cFxNnTTQ,Lucky Fins Seafood Grill,"801 W Main St, Ste 107",Boise,ID,43.615382,-116.204005,49.0
30,ZpmSEd9N042IJanBiKlKiQ,Smoke & Thyme,701 W Fulton St,Boise,ID,43.6111922,-116.2062753,50.0
