,business_id,name,address,city,state,latitude,longitude,ranking
19,NTJ0euKIciMm9rgyMFAh-g,Troy's Place,4919 Westfield Ave,Pennsauken,NJ,39.9590292,-75.0650844,1.0
43,mhr6ArtuU4duyydvnHJcbw,Ammon Mediterranean Market,853 Cooper Landing Rd,Cherry Hill,NJ,39.939327,-75.0087421,2.0
20,O7rlYZF5Acg0D7vlEVI48A,DiPascale's At Meadowbrook,3012 Union Ave,Pennsauken,NJ,39.962787,-75.0353086,3.0
42,k1jctO9zSCPhk_oFlNzFmA,Lou and Ann's Deli,257 Marlton Pike E,Cherry Hill,NJ,39.9128131,-75.006212,4.0
41,goyuP6nqBsW1kuOEk7i4Sg,Croce's Pasta,813 Marlton Pike W,Cherry Hill,NJ,39.915693,-75.0209445444,5.0
44,nTcKBgHCkzQgYI2cM4_1aA,Mama's Meatballs & Pizzeria,2673 Haddonfield Rd,Pennsauken Township,NJ,39.9720574458,-75.0234513025,6.0
7,9gPLN_mLR-kqwmcMe-QkOA,Chick's Deli,906 Township Ln,Cherry Hill,NJ,39.916501,-75.021271,7.0
1,2EVCpJTmmjFeYzxjQnnaeg,Maritsas Cuisine,106 E Main St,Maple Shade,NJ,39.9553106,-75.0003007,8.0
22,QMU0VyEWcK2d5Sfdb3Qi7Q,H&H Deli Catering,"3495 Haddonfield Rd, Ste 2",Pennsauken,NJ,39.9612886,-75.0255647,9.0
37,bjdJ4sTE40Ru06wKQMu24g,Crazy Crab,"5000 N Crescent Blvd, Unit 104",Pennsauken,NJ,39.9548243,-75.0584681,10.0
38,cNua7EAP7aoHTEp734VqWA,Hên Vietnamese Eatery,2087 Marlton Pike E,Cherry Hill,NJ,39.8960707,-74.9491673,11.0
46,oupzw1YOph1U_GmP_cWxUg,Park Place Café and Restaurant,7 E Park Ave,Merchantville,NJ,39.9514228106,-75.0486172736,12.0
5,6rOZ16N6YlpLC9_7fDnMLw,Zoes Kitchen,1200 Haddonfield Rd,Cherry Hill,NJ,39.9205559,-75.0332966,13.0
39,ddDsQxYYJJDOoGRSZin8NQ,Philly Pretzel Factory,910 Rte 70 W,Cherry Hill,NJ,39.916202841,-75.0212906934,14.0
23,S0-IvLgMuzpjGI_DpLs_pQ,The Cub and Bunny,1206 N Kings Hwy,Cherry Hill,NJ,39.919814,-75.0044259,15.0
25,SV04xdj87VOEa4GJ2dZm_g,You Cha Cafe,1601 N Kings Hwy,Cherry Hill,NJ,39.9162198,-75.0070336,16.0
31,Y8IzgicQSkxNsewSzR7NLg,Foodwerx,"3 Executive Campus, Ste 450",Cherry Hill,NJ,39.931255,-75.0511669,17.0
47,tziMbE6ebAQPjoSzXqKVTg,Penn Jersey Seafood,4680 S Crescent Blvd,Pennsauken,NJ,39.9455048521,-75.0685318326,18.0
32,YKg4oIQW_v3g9-lG1WHLHw,Springdale Farm Market,1638 Springdale Rd,Cherry Hill,NJ,39.891472,-74.971479,19.0
49,yGExjeJQOD4yZ3-bbmX9Tw,Phil's Deli And Market,2079 NJ Rte 70 E,Cherry Hill,NJ,39.8962142,-74.9495098,20.0
3,4e9tguRcMc4S5hzBlfC62A,The Farm and Fisherman Tavern,1442 Marlton Pike E,Cherry Hill,NJ,39.9102067,-74.9905768,21.0
0,-pyobEWdpZ6jUp42f3I2xw,Dolsot House,404 Marlton Pike E,Cherry Hill,NJ,39.9128681736,-75.0021335418,22.0
2,2Y7VbaRmKQZb0A7KFb9nFA,Wawa Food Markets,843 Cooper Landing Rd,Cherry Hill,NJ,39.9396409,-75.008403,23.0
24,SFnJ3vbKhQ_4F3KLG9T4Vw,Weber's Drive In,6019 Lexington Ave,Pennsauken,NJ,39.9353217,-75.0585137,24.0
18,MRxl4aWMOOIAbVg_89uJ_A,Il Villaggio,211 Berlin Rd,Cherry Hill,NJ,39.891824,-75.020357,25.0
17,LR4aKXyxN-a8WTgQ1o9hBA,Bistro at Cherry Hill,"2000 Route 38, Ste 514",Cherry Hill,NJ,39.940895,-75.025427,26.0
6,9aWW7IlfyN87NO7Os0k_Qw,Classic Cake,486 Evesham Rd,Cherry Hill,NJ,39.864631,-74.9648728577,27.0
16,KzsA-Vy2O6yynr9Xt5jo1Q,The Habit Burger Grill,"706 Haddonfield Rd, Ste 8",Cherry Hill,NJ,39.9297617,-75.0314522,28.0
4,5KS5b5-ip8znhJS_CYdzeQ,Iron Hill Brewery & Restaurant,124 East Kings Hwy,Maple Shade,NJ,39.9471691258,-74.973307339,29.0
36,aNv0z1KPeABeDTt0fuDYhw,Chick-fil-A,400 Haddonfield Rd,Cherry Hill,NJ,39.9403743654,-75.0301179,30.0
28,U4ALy9epZHEwFl3FnGun6w,Whole Hog Cafe,1811 Rte 70 W,Cherry Hill,NJ,39.9184526796,-75.0327791954,31.0
11,H00DHfwJZGLraKdqeGVOXw,Jersey Mike's Subs,512 Haddonfield Rd,Cherry Hill,NJ,39.933703,-75.030625,32.0
29,UmXR9Sj0PgYbLgtMjfk9UA,Sea Lect Seafood,300 W Main St,Maple Shade,NJ,39.9545866,-75.0070171,33.0
26,SlLfWzeYOrVBxCd-0QILZQ,The Boiling House,"1990 Marlton Pike E, Ste 10",Cherry Hill,NJ,39.8996609,-74.9532997,34.0
34,ZPd6tNapV7y2AFh1RO2WBA,Wawa,55 North Forklanding Rd,Maple Shade,NJ,39.9570921,-75.0026515,35.0
21,OTidyJ0pcVB6d73FlkBnag,Starbucks,2000 Route 38,Cherry Hill,NJ,39.942495,-75.0255696,36.0
45,nnr4ejOo4CkdG4Do8QJa6g,Mister Meat,3945 Federal St,Pennsauken,NJ,39.9491112386,-75.067651,37.0
15,JdegW4AXbFYG5R34drLtIw,Five Guys,"2026 Marlton Pike W, Ste B",Cherry Hill,NJ,39.9217046987,-75.0375480555,38.0
40,fdwK6VaSLysRv0NE41n00A,Boyz Subs and Steaks,"1900 Greentree Rd, Ste 21",Cherry Hill,NJ,39.906002,-74.964977,39.0
9,DnNpi-NbFPXyJHikqxPjSA,Dunkin',2075 Marleton Pike E,Cherry Hill,NJ,39.8959601249,-74.9514922984,40.0
48,xIshpRKiMtfei4_sLUhAxw,Chicken Now,2000 Rt 38,Cherry Hill,NJ,39.940745,-75.025747,41.0
35,_Y3TnhwWcRbrLWDI26Qljw,TKK Fried Chicken,"1469 Brace Rd, Ste E",Cherry Hill,NJ,39.8892597,-75.0158522,42.0
8,D_EdhOOc87cmRx8M4kpGmw,JZ’s Fish Wing,7550 S Crescent Blvd,Pennsauken,NJ,39.930617,-75.082596,43.0
33,Z66HTDSenZZtNcQyTxMY4g,La Cocina Latín Cuisine,5010 Westfield Ave,Pennsauken Township,NJ,39.9590437,-75.064149,44.0
13,HfAi72hTxmKqeqv7ow5ifw,Fiesta Bistro Filipino,"219 Haddonfield- Berlin Rd, Ste Q",Cherry Hill,NJ,39.8916203,-75.0194487,45.0
27,Tn2Ccr4p4Y0qCMD3X2jGFQ,Marco's Restaurant,3800 Haddonfield Rd,Pennsauken Township,NJ,39.9579711407,-75.024710096,46.0
14,Hpp2wPmZS7n-45zQACNccA,Dairy Queen,5700 S Crescent Blvd,Pennsauken,NJ,39.943746,-75.07009,47.0
30,VPCs741fTaDDGxtXe0Z1fg,Shake Shack,795 Haddonfield Road,Cherry Hill,NJ,39.9285034945,-75.0327410042,48.0
12,HdYyrc45219Hg1YneqOyvg,Red Robin Gourmet Burgers and Brews,2100 Rte 38,Cherry Hill,NJ,39.939942,-75.020122,49.0
10,ElaqBeWYxe5lspoBBNtemQ,Burger King,4801 N Crescent Blvd,Pennsauken,NJ,39.9535886661,-75.0621089414,50.0
