,business_id,name,address,city,state,latitude,longitude,ranking
0,-9zDI4h2dE3hFOpGFHB10Q,Road Crew Coffee & Cycles,3172 Morganford,St. Louis,MO,38.6019233,-90.2611607,1.0
11,9wy3c6seUtIQ3dGXShmy0A,"UKRAFT Cafe & Catering - Downtown, City Garden","701 Market St, Ste P1",St. Louis,MO,38.6266409,-90.1926536,2.0
12,AX4bsa-cmMnjOCx0f75cTg,Julia's Market Cafe,730 Carroll St,Saint Louis,MO,38.6106494,-90.2010534,3.0
13,BAe6clozuQy2iS44KrIB6A,Zlatne Kapi,5415 Gravois Ave,Saint Louis,MO,38.5789644,-90.2705323,4.0
14,DPih_TVOcKR-CyA6K13j9w,Destination Café,3182 Morganford Rd,St. Louis,MO,38.601499,-90.2614556618,5.0
16,E4hkSa4tQW2FYeiyxG7N0A,The Drawing Board,4123 Chippewa St,Saint Louis,MO,38.58986,-90.2565216,6.0
17,EGvXWSOIlCrFL68TDlA69Q,09 Pub,5204 Hampton Ave,St. Louis,MO,38.5838937,-90.2928119,7.0
22,L4JFBsgfLZIL9SJ5uxXgJw,Teatopia,2606 Cherokee St,Saint Louis,MO,38.5931804,-90.225909,8.0
26,S8h_kP4dx37KZaFJ7bSsIg,Pit Stop,2130 Macklind Ave,St. Louis,MO,38.6153101,-90.2772827,9.0
32,_EWIAcznqBcCLon_MBf47Q,The Wagamama,5838 Macklind Ave,St. Louis,MO,38.5779366,-90.2857355,10.0
37,f4rSatoGZoW2p_4OWrDZ1A,Tempus,4370 Manchester Ave,St. Louis,MO,38.6264206,-90.2594084,11.0
40,hNYgEnEfGAvHyuHuMHsWMQ,CBS Barbeque and Cafe Brown Stone Catering,5508 St Louis Ave,Saint Louis,MO,38.6768214,-90.2675977,12.0
46,xVZzmogXT64tfSwHZgYVjA,Black Coffee,2701 Cherokee St,St. Louis,MO,38.593741937,-90.2280603798,13.0
31,Zz1utCut0psbC4brBjvSEg,Novella Wine Bar,5510 S Kingshighway Blvd,Saint Louis,MO,38.5797389,-90.27945,14.0
27,SMbAySnOc5GVR2iqDwfP7w,Jack Nolen’s,2501 S 9th St,St Louis,MO,38.601938,-90.2078538,15.0
43,k2fvyjaTNYFQJw757Bgqbg,Padrinos Mexican Restaurant,3143 S Grand Blvd,St. Louis,MO,38.6015614,-90.2426073,16.0
3,5dKDUPQaC7aMxqzMUsKXIg,Cellar House,5634 Telegraph Rd,St Louis,MO,38.466916,-90.3051806447,17.0
33,_aKr7POnacW_VizRKBpCiA,Blues City Deli,2438 McNair Ave,Saint Louis,MO,38.605024,-90.2181096,18.0
7,6Bf5KwuT9iZlFrUlcP7RHg,Bulrush STL,3307 Washington Blvd,St. Louis,MO,38.6380046,-90.2265537,19.0
20,IHYH0tWr7srRF8DkkQ3DKA,Game 6 Honky Tonk Joint,756 S 4th St,St. Louis,MO,38.6183491603,-90.1918141892,20.0
48,y7MSJWmNPaVbSoQAaeCTBA,The Protagonist Cafe,1700 S 9th St,St. Louis,MO,38.6104726,-90.2026146,21.0
5,636ljtr87X3WC_et1N9Aqw,CoffeeStamp,2511 S Jefferson Ave,St. Louis,MO,38.605956,-90.223171,22.0
8,6EKawoqscJ0IYNjtfpd0_w,Kabul Express STL,300 Hoffmeister Ave,St. Louis,MO,38.5338615226,-90.2762259543,23.0
29,XOhNksXxdqHhKjvO5ISUSQ,Willie's Backyard BBQ,4001 Utah St,St. Louis,MO,38.5983927,-90.2533893,24.0
49,zfEo4tP99LrLn4TG6_PIJw,Grand Rising Smoothie & Juice Bar,2736 Sidney St,St. Louis,MO,38.6060344,-90.2266613,25.0
36,f-ZH4l8z2TNXL_b8PrL83Q,The Req Room,9625 Lackland Rd,Saint Louis,MO,38.700923,-90.369974,26.0
10,7cJqiBsrddV_rNFBPHOTRA,Bar K St Louis,4565 McRee Ave,Saint Louis,MO,38.620669763,-90.2604639,27.0
25,QnFIWz-CgEVqQ8qhzFrl7A,Cornerstone Cafe,1436 Salisbury St,Saint Louis,MO,38.6609085,-90.200037,28.0
47,xqrlUnrLo1t9UP38S02qeg,Park Avenue Coffee - The Hill,5105 Columbia Ave,Saint Louis,MO,38.610889,-90.2725892,29.0
9,7RGlWg6UzTsfEfH4ITdCOQ,Knockout BBQ,3150 S Grand Blvd,St. Louis,MO,38.6011441,-90.2421676,30.0
35,cvmlCw0J6R5KtAlPgkO5Rw,Hank's Cheesecakes,1063 S Big Bend Blvd,Saint Louis,MO,38.6333623,-90.3191872,31.0
2,18iMG9wb7i2ydG_Tra4GCA,"The Grove, St. Louis",4512 Manchester Ave,Saint Louis,MO,38.6260236,-90.2622706,32.0
28,SNQ8sn7R9_e92GWKMCNSgg,O! Wing Plus,10094 Page Ave,Saint Louis,MO,38.6906491,-90.3819558,33.0
1,-F7XzFOkZkh_J66oKTRhrw,Cafe Dolce,5143 Daggett Ave,St Louis,MO,38.6170257,-90.272325,34.0
34,a3bZJ-XVjDLS6cs5VuEFOg,Roper's Ribs,6929 W Florissant Ave,Saint Louis,MO,38.717793,-90.261015,35.0
23,PbunaXxpRE8sXGkKn5FFYw,Missouri Baking Company,2027 Edwards St,Saint Louis,MO,38.6162149,-90.2753258,36.0
18,EvgRJ-09uavss9YNgnAq7A,Smoke N Bones BBQ,6417 Hampton Ave,Saint Louis,MO,38.5747124,-90.2949346,37.0
21,K_AkVae9Fdxx-1f7Je6mOQ,West End  Bistro,255 Union Blvd,St. Louis,MO,38.6464838,-90.274857,38.0
24,QXxe89rymWhK-Bnn1WXvkA,JUST Chicken,5942 Delmar Ave,Saint Louis,MO,38.654396,-90.292191,39.0
38,g6HfTNWnSVDmpXyKx2wxrQ,Cotter's Sports Bar & Karaoke Lounge,4610 S Kingshighway Blvd,Saint Louis,MO,38.5865563,-90.2759803,40.0
30,YVy2DgGfNmG5hWYbA7k8jg,SweetArt,2203 S 39th St,Saint Louis,MO,38.6116671,-90.24604,41.0
15,DzVYXX8mc5x31BbaP8c0_Q,Mac's Local Eats,5656 Oakland Ave,St Louis,MO,38.6301415961,-90.2813372,42.0
45,vWjME92WddneF98IqzaNfQ,Sugarfire Smoke House,9200 Olive Blvd,Saint Louis,MO,38.673459,-90.367448,43.0
39,gBGD0dNvfLlQOAaZzCU1NQ,Twisted Tree,10701 Watson Rd,Saint Louis,MO,38.5562167349,-90.4080575001,44.0
