,name,address,city,state,latitude,longitude,stars,review_count,categories,is_American,is_Dessert,is_Bar,"is_Beer,Wine,Spirits",is_Breakfast,is_Coffee & Tea,is_Asian,is_Italian,"is_Healthy,Specialty Food",is_Latin American,is_Mediterranean,is_Western European,is_Slavic Food,is_African,is_Food Markets/Shops,rating
SybWgZ_qUaUmlmB97_Ia2A,Sakura Sushi,"3210 E Chinden Blvd, Ste 138",Eagle,ID,43.663463,-116.351987,3.5,87,"Restaurants, Sushi Bars",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
w4fj_WNZpESDPf7hQxjvYw,North End Chinese Rest,1806 W State St,Boise,ID,43.6251437,-116.2124469,2.5,47,"Restaurants, Chinese",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
jPqftT6V8XZ3zBSXGlhgqg,Cobby's Sandwich Shop,6899 W Overland Rd,Boise,ID,43.5892563,-116.2678133,3.5,48,"Delis, Sandwiches, Restaurants",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
l86c7xYxAIztpGILAddmvg,The Kilted Kod,,Boise,ID,43.5516566,-116.29879,4.0,78,"Seafood, Street Vendors, Restaurants, Food Trucks, Food",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
q_9Me8WSq7X1t0McNzSW2g,El Gallo Giro,5285 Glenwood St,Garden City,ID,43.6529132,-116.2801088,3.5,101,"Restaurants, Chicken Wings, Mexican, Nightlife, Sports Bars, Food, Bars, Desserts",1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,2
WfPmZ9hp50ttugTVgfcPpA,Lulu's Pizza,2594 N Bogus Basin Rd,Boise,ID,43.6433577229,-116.2061858995,4.0,88,"Pizza, Restaurants, Food Delivery Services, Italian, Food",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2
SybWgZ_qUaUmlmB97_Ia2A,Sakura Sushi,"3210 E Chinden Blvd, Ste 138",Eagle,ID,43.663463,-116.351987,3.5,87,"Restaurants, Sushi Bars",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2
6fZWaWkvqrZNCxl_7PMDBg,Hawkins Pac-Out,2315 N Bogus Basin Rd,Boise,ID,43.6407967488,-116.2085305605,3.5,63,"Restaurants, Burgers, Food, Coffee & Tea, Breakfast & Brunch",1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2
zgdGeg4L13C2Rbm4UARtHw,Island Sushi & Ramen,8716 W Fairview Ave,Boise,ID,43.619719,-116.290423,4.5,313,"Restaurants, Desserts, Japanese, Ramen, Food, Sushi Bars",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,2
HQYVne0Dw5GhE0haAXwRNA,Yokozuna Teriyaki,824 S Vista Ave,Boise,ID,43.5963896935,-116.2130781522,3.5,96,"Asian Fusion, Sushi Bars, Japanese, Chinese, Restaurants",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2
vtPgmaZYrqyAeW1dilpLxw,Viking Drive In,3790 W State St,Boise,ID,43.6406505,-116.2357594,2.5,57,"Restaurants, Burgers",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
l6Fzsau2TbPQxuaF8d804g,Smoky Mountain Pizzeria Grill,1805 W State St,Boise,ID,43.6246315,-116.2128394,3.0,71,"Italian, Burgers, Restaurants, Pizza",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
l54ccIs7sYrPcB4lLz2Tpw,Azteca Taco Truck,6th & State St,Boise,ID,43.6174879,-116.1981982,3.5,11,"Restaurants, Food Stands, Street Vendors, Mexican, Food",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2
Yeef_hlUbSIRWog3dVortg,Parrilla Grill,1512 N 13th St,Boise,ID,43.6298459,-116.2031504,3.0,139,"Mexican, Tex-Mex, Restaurants",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
