,name,address,city,state,latitude,longitude,stars,review_count,categories,is_American,is_Dessert,is_Bar,"is_Beer,Wine,Spirits",is_Breakfast,is_Coffee & Tea,is_Asian,is_Italian,"is_Healthy,Specialty Food",is_Latin American,is_Mediterranean,is_Western European,is_Slavic Food,is_African,is_Food Markets/Shops,rating
Su8VY1rZQsOn9Wj53kuHdQ,The Grille,,Reno,NV,39.5289413228,-119.8244241625,3.5,72,"Hotels & Travel, Casinos, Hotels, American (Traditional), Event Planning & Services, Restaurants, Arts & Entertainment",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ue-Me7wcOixhdHNOEQ6j3Q,Starbucks,"191 Damonte Ranch Pkwy, A",Reno,NV,39.4202367,-119.7546251,3.0,46,"Coffee & Tea, Food, Restaurants",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
_Mbw_orl5EdXJP1XzklQvA,Mimi's Cafe,5090 Kietzke Ln,Reno,NV,39.4759087,-119.7924073,3.0,338,"Cajun/Creole, Restaurants, Coffee & Tea, American (Traditional), French, Food, Breakfast & Brunch",1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,2
rSYyGcZZziJLsqKl5hMcDw,Circus Circus Reno,500 N Sierra St,Reno,NV,39.5322014,-119.815363,2.5,1249,"Hotels & Travel, Casinos, Hotels, Event Planning & Services, Nightlife, Restaurants, Pet Services, Pets, Arts & Entertainment, Pet Sitting",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
bcfXCWaYxIN4UoV_94ksLQ,Gold 'N Silver Inn,790 W 4th St,Reno,NV,39.5275982,-119.8248452,3.5,520,"American (Traditional), Restaurants, Breakfast & Brunch, Diners, Comfort Food, Pizza",1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3
KBsLYznLfnJEY3RIBUZe0Q,Kei Sushi,5085 S McCarran Blvd,Reno,NV,39.4785657157,-119.7867159918,4.0,357,"Asian Fusion, Desserts, Sushi Bars, Food, Japanese, Restaurants",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,3
bPwYP0AHdSbTs2JxBd-10w,Two Chicks South,5851 S Virginia St,Reno,NV,39.47281,-119.7884812,4.5,101,"Breakfast & Brunch, Restaurants",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
gVuzYJvei8rVDCLmhWBZ2Q,The Grand Buffet,2500 E 2nd St,Reno,NV,39.5233763004,-119.780403291,3.0,422,"Specialty Food, Buffets, Restaurants, Food",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
rwd4rGpYxiCXvgMV49sYAw,Lili's Restaurant & Bar,2325 Kietzke Ln,Reno,NV,39.5010959,-119.7903985,4.0,616,"American (Traditional), Gluten-Free, Food, Venues & Event Spaces, Mexican, Restaurants, Breakfast & Brunch, Hawaiian, Event Planning & Services",1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,3
_E0WPHfJEYmwOUCAj-Jq1A,Western Village Inn and Casino,815 Nichols Blvd,Sparks,NV,39.5344459,-119.7344361,3.5,266,"Casinos, Hotels, Arts & Entertainment, American (New), Restaurants, Event Planning & Services, Hotels & Travel",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
b9oIwBmqX0IdoQCPIqngLA,Chick-fil-A,1390 Big Fish Dr,Sparks,NV,39.531711,-119.7159513,4.0,108,"Fast Food, Chicken Shop, Restaurants",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
CX41cIFRNSYtcv8ZbpiMkw,Peg's Glorified Ham N Eggs - Mae Anne Ave,6300 Mae Anne Ave,Reno,NV,39.5273909679,-119.8860670879,4.5,483,"Sandwiches, Burgers, Breakfast & Brunch, Restaurants",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
vHr8qhM4CXYB3Ol_9yS6QQ,Sushi Pier,"1290 E Plumb Ln, Ste J",Reno,NV,39.5044132847,-119.783673119,4.0,979,"Sushi Bars, Buffets, Japanese, Restaurants",1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4
0w5CGasMnBI0R9tW7xxhAw,Peg's Glorified Ham and Eggs,1495 E Prater Way,Sparks,NV,39.5415840149,-119.7158508301,4.0,404,"Breakfast & Brunch, Restaurants, American (Traditional)",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
MptP4Zxq3ZLbeGB4cY772A,Peg's Glorified Ham & Eggs,198 Lemmon Dr,Reno,NV,39.6124539,-119.8479345,4.0,156,"Burgers, Breakfast & Brunch, Restaurants",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
2E5fh57OvOQMWwxxEOkN8A,SIU Korean BBQ,754 N McCarran Blvd,Sparks,NV,39.541174,-119.731334,4.0,316,"Food, Nightlife, Asian Fusion, Barbeque, Bars, Korean, Coffee & Tea, Restaurants, Shaved Ice, Chinese",1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,4
-hVMfjPPEsSnga_gnYJx2w,Flowing Tide Pub 3,"4690 Longley Ln, Ste 30",Reno,NV,39.4875800401,-119.7593061178,4.0,102,"Bars, Nightlife, Restaurants, American (Traditional), Pubs, Sports Bars",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4
TF3qNGUBUgIYp6u0j79JHQ,BJ's Nevada Barbecue,80 E Victorian Ave,Sparks,NV,39.5349246,-119.7411109,4.0,702,"Breakfast & Brunch, American (Traditional), Barbeque, Cafes, Restaurants",1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4
WBKSV2LxPJvKRPxEfDbVrg,Hiroba Sushi,"1495 E Prater Way, Ste 113",Sparks,NV,39.5414516,-119.716242,4.0,230,"Sushi Bars, Food, Nightlife, Desserts, Restaurants, Bars",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,4
dY7p6JHGqWnrwoad_cv5_Q,Pinocchio's Bar & Grill,5995 S Virginia St,Reno,NV,39.471427,-119.78854,3.5,207,"Salad, Italian, Restaurants, Pizza, American (Traditional)",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4
lfftQB5UvC55aW0-HGjv-g,Magic Carpet Golf,6925 S Virginia St,Reno,NV,39.4636207765,-119.7827502932,4.0,66,"Restaurants, Arts & Entertainment, Golf, Arcades, Pizza, Mini Golf, Party & Event Planning, Active Life, Event Planning & Services",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
_E0WPHfJEYmwOUCAj-Jq1A,Western Village Inn and Casino,815 Nichols Blvd,Sparks,NV,39.5344459,-119.7344361,3.5,266,"Casinos, Hotels, Arts & Entertainment, American (New), Restaurants, Event Planning & Services, Hotels & Travel",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
9OG5YkX1g2GReZM0AskizA,Romano's Macaroni Grill,5505 S Virginia St,Reno,NV,39.4761165,-119.7893392,2.5,339,"Restaurants, Italian",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
o1DuWXCV_kg_mSqNOxUdew,Ijji 4,"10580 N Mccarran Blvd, Ste 102",Reno,NV,39.535623,-119.863138,4.0,771,"Restaurants, Chicken Wings, Sushi Bars, Barbeque, Korean",1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4
-OWsJkkKmcMA8ecGLSUg7w,Ramen 4 Real,"400 W 5th St, Ste 105",Reno,NV,39.5299120987,-119.8203803971,4.0,345,"Japanese, Restaurants, Noodles, Ramen",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4
MFxRPt8-B2xTYmon3s84kg,KRĒM,"115 E Moana Ln, Ste 102",Reno,NV,39.4922712699,-119.7947931411,4.5,326,"Restaurants, Creperies, Ice Cream & Frozen Yogurt, Desserts, Patisserie/Cake Shop, Food",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
11zDCUJyST50gMR4xVeAhg,SF Kitchen,1775 Mill St,Reno,NV,39.5225679166,-119.7895470525,4.5,269,"Vietnamese, Chinese, Food, Restaurants",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4
eIKjxqdMduIeIqzPg7yc-Q,Full Belly Deli - Mill Street,3064 Mill St,Reno,NV,39.5168009,-119.7763179,4.5,375,"Sandwiches, Delis, Food, Food Trucks, Restaurants",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
YPkJdsaCgW_qjB_fLU_G9Q,Hometown Cafe,9251 Lemmon Dr,Reno,NV,39.638116,-119.843291,4.5,208,"Restaurants, Breakfast & Brunch",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
SG7g4cJFjgWtODi28W4eaw,Beer NV Taproom & Spirits,"15 Foothill Rd, Ste 1",Reno,NV,39.4393557,-119.7706969,4.5,222,"Restaurants, Nightlife, Gastropubs, Bars, Cocktail Bars, Beer Gardens, Beer Bar, Wine Bars",0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,4
qBWOIod1dYHSitfWfWMlbA,Peg's Glorified Ham N Eggs,720 S Meadows Pkwy,Reno,NV,39.437991,-119.757877,4.0,504,"Restaurants, Breakfast & Brunch",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
lEi0T3m96A2NXXDSn7569A,Wild River Grille,"17 S Virginia St, Ste 180",Reno,NV,39.5245412,-119.8126662,4.0,1293,"Bars, Nightlife, Steakhouses, Restaurants, American (New), Food",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4
JXhIz744GI7U_ereD9Nf8g,Jack's Cafe,2200 Victorian Ave,Sparks,NV,39.5354668,-119.7736902,4.0,281,"Breakfast & Brunch, Sandwiches, Coffee & Tea, Food, Restaurants, American (New), American (Traditional)",1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4
SVSafDWg9r2Q5XEVOLPSSA,Chinese Duck House,2960 S Virginia St,Reno,NV,39.4961984,-119.7982188,3.5,250,"Cantonese, Chinese, Restaurants, Dim Sum",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4
c2FJP_fPywkp6Gd1i4tWZQ,The Blind Onion Pizza & Pub,295 Los Altos Pkwy,Sparks,NV,39.583144,-119.7396178,3.5,314,"Nightlife, Restaurants, Pubs, Bars, Pizza, Italian",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4
KBsLYznLfnJEY3RIBUZe0Q,Kei Sushi,5085 S McCarran Blvd,Reno,NV,39.4785657157,-119.7867159918,4.0,357,"Asian Fusion, Desserts, Sushi Bars, Food, Japanese, Restaurants",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,4
JXhIz744GI7U_ereD9Nf8g,Jack's Cafe,2200 Victorian Ave,Sparks,NV,39.5354668,-119.7736902,4.0,281,"Breakfast & Brunch, Sandwiches, Coffee & Tea, Food, Restaurants, American (New), American (Traditional)",1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,5
CSZmpx5iQsXAl7Pkt4WNlw,Beline Carncerica and Deli,"340 Lemmon Dr, Ste 4",Reno,NV,39.6159073055,-119.847534313,5.0,58,"Restaurants, Meat Shops, Delis, Mexican, Specialty Food, Food",1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,5
Su8VY1rZQsOn9Wj53kuHdQ,The Grille,,Reno,NV,39.5289413228,-119.8244241625,3.5,72,"Hotels & Travel, Casinos, Hotels, American (Traditional), Event Planning & Services, Restaurants, Arts & Entertainment",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
rwd4rGpYxiCXvgMV49sYAw,Lili's Restaurant & Bar,2325 Kietzke Ln,Reno,NV,39.5010959,-119.7903985,4.0,616,"American (Traditional), Gluten-Free, Food, Venues & Event Spaces, Mexican, Restaurants, Breakfast & Brunch, Hawaiian, Event Planning & Services",1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,5
dY7p6JHGqWnrwoad_cv5_Q,Pinocchio's Bar & Grill,5995 S Virginia St,Reno,NV,39.471427,-119.78854,3.5,207,"Salad, Italian, Restaurants, Pizza, American (Traditional)",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,5
J0joPXxmN-_9Lzafspqdbw,Peg's Glorified Ham N Eggs,420 S Sierra St,Reno,NV,39.5209988094,-119.8120761196,4.5,2506,"Restaurants, Breakfast & Brunch, Diners, Hawaiian, American (Traditional)",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5
C_MrreF_COn_48YeoDhRWg,Whisky Lounge,711 S Virginia St,Reno,NV,39.5181099757,-119.809386036,4.5,80,"German, Cocktail Bars, Restaurants, Whiskey Bars, Bars, Nightlife",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,5
