,name,address,city,state,latitude,longitude,stars,review_count,categories,is_American,is_Dessert,is_Bar,"is_Beer,Wine,Spirits",is_Breakfast,is_Coffee & Tea,is_Asian,is_Italian,"is_Healthy,Specialty Food",is_Latin American,is_Mediterranean,is_Western European,is_Slavic Food,is_African,is_Food Markets/Shops,rating
UMxtDsrxSGhz_G1iLHWq9A,Dave & Buster's,13857 Riverport Dr,Maryland Heights,MO,38.7578705544,-90.4679441511,2.5,226,"Restaurants, American (Traditional), Eatertainment, Amusement Parks, Active Life, Arts & Entertainment, Bars, Arcades, Nightlife",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
paBWJ6VBIy4-eXVH3iGFFA,Courtesy Diner,1121 Hampton Ave,Saint Louis,MO,38.6288088,-90.2875885,3.5,141,"Diners, Restaurants",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
FmeoZuSHiV0eFrd5mF9DcQ,Steak ’n Shake,1253 Hampton Ave,St. Louis,MO,38.6272267073,-90.2878138,2.0,163,"American (New), American (Traditional), Restaurants, Fast Food, Breakfast & Brunch, Diners, Burgers",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
lNTXXh_vrIt705lqDlDp5A,Helen Fitzgeralds,3650 S Lindbergh Blvd,Saint Louis,MO,38.5528349,-90.4062497,3.0,153,"Sports Bars, American (Traditional), Dive Bars, Music Venues, Bars, Venues & Event Spaces, Arts & Entertainment, Irish, Restaurants, Event Planning & Services, Nightlife, Pubs",1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2
utJRw1T1_zjBuCIFFIbe-w,Sasha's,706 De Mun Ave,Saint Louis,MO,38.6383609519,-90.3077356483,4.0,264,"Breakfast & Brunch, Bars, American (New), Nightlife, Wine Bars, Restaurants",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,2
1TEEvTBN-41nOpFFd1vmOw,Webster Garden,5 S Old Orchard Ave,Saint Louis,MO,38.5905664542,-90.3393225889,3.5,86,"Vietnamese, Chinese, Restaurants",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
L9sNYgV-TKTQdkaeEZBqEg,Thai Country Cafe,6223 Delmar Blvd,Saint Louis,MO,38.6556383394,-90.3004878779,3.5,187,"Thai, Cafes, Restaurants",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2
ivXNwj63ySW6jaARrh80ug,Par Lounge,1001 McCausland Ave,Saint Louis,MO,38.6327389,-90.3052141,3.5,37,"Restaurants, Pubs, Nightlife, Pizza, Bars, Lounges",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2
7glfum-JcIAjxD5fJ92Wig,Joy Luck Buffet,8030 Manchester Rd,Saint Louis,MO,38.6116554,-90.3350209,3.5,283,"Restaurants, Chinese, Seafood, Soup",1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3
bcqa1qoEEwphquiy1ssUXQ,St. Louis Brewmasters Tap Room,10701 Lambert International Blvd,Saint Louis,MO,38.7379418171,-90.3564740171,2.5,89,"Restaurants, American (New)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
NiX_nc8pf8vClgqzjpmLTw,Budweiser Brew House,"601 Clark Ave, Ste 101",Saint Louis,MO,38.6237065,-90.1918757,3.0,229,"Restaurants, Bars, Breweries, Burgers, Sports Bars, Food, American (Traditional), Nightlife",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3
2BMk_drsikKWslJCXmQtjQ,Rooster - Downtown,1025 Washington Ave,St. Louis,MO,38.6315946,-90.1946657,4.0,1984,"Creperies, Cafes, Restaurants, Sandwiches, Breakfast & Brunch, Gluten-Free",1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,3
j0eow3jliJVt2yevN7z1HQ,McAlister's Deli,3200-B Laclede Station Rd,Maplewood,MO,38.604053,-90.329334,3.0,54,"Salad, Delis, Sandwiches, Restaurants",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
5MTmUITf21K6iO3rhzha2w,Jet's Pizza,234 W Lockwood,Webster Groves,MO,38.593022,-90.3622029,4.0,52,"Pizza, Food Delivery Services, Food, Italian, Restaurants, Sandwiches",1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3
sKM3UTYiqYUSZwqNi_He9A,Llywelyn's Pub,17 W Moody Ave,Webster Groves,MO,38.5937612441,-90.3581193029,3.0,69,"Beer, Wine & Spirits, Restaurants, American (Traditional), Irish, Pubs, Nightlife, Food, Irish Pub, Bars, Breakfast & Brunch",1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,3
OZcl2HOUXAHuICrh5d2WjQ,Half & Half,8135 Maryland Ave,Clayton,MO,38.6524252003,-90.3428362,4.0,818,"Restaurants, Cafes, Breakfast & Brunch",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3
pf4-YHmxzkQmntN99fF95w,The Post Sports Bar & Grill,763 Old Ballas Rd,Creve Coeur,MO,38.6704176,-90.4388943,3.5,121,"Nightlife, Pizza, American (New), Bars, American (Traditional), Burgers, Restaurants, Sports Bars",1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3
w0fzygQfK87lITYDMPiCSg,Friendly's Restaurant & Bar,3503 Roger Pl,Saint Louis,MO,38.5945422,-90.2540313,3.5,79,"Sports Bars, American (Traditional), Restaurants, Nightlife, Dive Bars, Bars",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
TZG_XV9u4xgE56s0otXEag,Granite City Food & Brewery,11411 Olive St West Oaks Shopping Ctr,Creve Coeur,MO,38.672359,-90.433439,3.0,350,"Food, American (Traditional), Nightlife, Pubs, Bars, Breakfast & Brunch, Breweries, Brewpubs, Restaurants",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,3
BCPpFA_h3l4F73H7ouLrbQ,Trainwreck Saloon,9243 Manchester Rd,Saint Louis,MO,38.6116887,-90.3582817,3.5,109,"Sports Bars, Bars, Burgers, American (Traditional), Restaurants, Nightlife, American (New)",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
-kWKHxA5tcrCfbfx-_OLhQ,Field House Pub & Grill,510 N Theresa Ave,Saint Louis,MO,38.637669,-90.2292765,3.0,85,"Nightlife, Sandwiches, American (New), Bars, Pubs, Sports Bars, Restaurants",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4
33JlrWf0kmHd2VzW58Wp0g,Blondie's Coffee and Wine Bar,1301 Washington Ave,Saint Louis,MO,38.632341,-90.198396,4.0,296,"Bars, Coffee & Tea, Food, Nightlife, Wine Bars, American (New), Restaurants, Breakfast & Brunch",1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,4
-KJuzqptSAbZtTRgcyFduQ,Weber's Front Row,8169 Big Bend Blvd,Saint Louis,MO,38.5917269,-90.3388971,3.0,93,"Nightlife, Sports Bars, Restaurants, Bars, American (Traditional)",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4
P1rfYX62C_HD4t3TjO41BQ,Kolache Factory,2604 S,Brentwood,MO,38.6138402558,-90.3487425483,4.0,148,"Event Planning & Services, Breakfast & Brunch, Restaurants, Bakeries, Food, Caterers, Coffee & Tea",0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,4
wMWRpzjKgwIef2yJ41RCGw,La Bonne Bouchee,12344 Olive Blvd,Saint Louis,MO,38.672512,-90.456796,4.0,420,"Bakeries, Food, Breakfast & Brunch, Custom Cakes, French, Restaurants, Desserts",0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,4
jQBPO3rYkNwIaOdQS5ktgQ,The Fountain On Locust,3037 Locust St,Saint Louis,MO,38.636198412,-90.2230380318,4.5,1010,"Ice Cream & Frozen Yogurt, Food, American (New), Art Galleries, Shopping, Cocktail Bars, Arts & Entertainment, Restaurants, Nightlife, Chocolatiers & Shops, Specialty Food, Bars",1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,4
VUkBbffnuUpKX9MKRUt4yQ,Bonefish Grill,8780 Eager Rd,Brentwood,MO,38.6277191294,-90.3459804741,3.5,328,"American (New), Cocktail Bars, Bars, Nightlife, Seafood, Restaurants",1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4
89COhCW-cAD5-fTXPfXYTw,Strange Donuts,2709 Sutton Blvd,Maplewood,MO,38.612197,-90.320003,3.5,352,"Donuts, Cafes, Bagels, Food, Coffee & Tea, Restaurants",0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,4
17xOCrWgZwT4iAx-24NETw,Pointer's,1023 S Big Bend Blvd,Richmond Heights,MO,38.6343408,-90.3189149,3.5,114,"Restaurants, Pizza",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
A2WOHcAk-BkMyf9Qgv8A8A,Colleen's,7337 Forsyth Blvd,Saint Louis,MO,38.6487208,-90.3264971,4.0,177,"Breweries, Food, Restaurants, Breakfast & Brunch, Cafes, Local Flavor, Bakeries, Coffee & Tea, Desserts",1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,4
95r3jAJRn10e9aB5I_NlPg,Sasha's On Shaw,4069 Shaw Blvd,Saint Louis,MO,38.6163786,-90.2503064,4.0,313,"Nightlife, American (New), Restaurants, Wine Bars, Bars",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4
2Mp3YflkEmA3ELaZB7AhHg,Diablitos Cantina,3919 W Pine,Saint Louis,MO,38.637956,-90.242166,3.5,196,"Restaurants, Mexican, Nightlife, Bars",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4
R8t9g5nvi7VFyS8zsgmj8Q,Salt + Smoke,6525 Delmar Blvd,Saint Louis,MO,38.6561019915,-90.3050984713,4.5,1742,"Restaurants, American (Traditional), Barbeque, Cocktail Bars, Bars, Nightlife",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4
aSfbQpDswUF18wT5pTFB9g,Webster Wok,8162 Big Bend Blvd,Saint Louis,MO,38.5914661365,-90.338543566,3.5,88,"Japanese, Restaurants, Szechuan, Chinese, Seafood",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4
Ghn6flCdNlOchzLA29tkjQ,Basso,7036 Clayton Ave,Saint Louis,MO,38.6332291902,-90.306749048,4.0,463,"American (New), Bars, Nightlife, Italian, Restaurants",1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4
cCMYCWvvYFQbAbEY4Gnrxg,Hwy 61 Roadhouse & Kitchen,34 S Old Orchard Ave,Saint Louis,MO,38.5899163,-90.338645,3.5,380,"Arts & Entertainment, Cajun/Creole, American (Traditional), Restaurants, Southern, Seafood, Dive Bars, Barbeque, Breakfast & Brunch, Nightlife, Music Venues, Bars",1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,4
YPTYOQO8Lg9BtHsRwYBY7g,Mai Lee,8396 Musick Memorial Dr,Saint Louis,MO,38.627621,-90.337439,4.0,966,"Restaurants, Chinese, Vietnamese, Vegetarian, Asian Fusion, Noodles",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,4
-Bsw0AjWemVa8D_7g7-9Kg,Bbc Asian Bar & Cafe,243 N Euclid Ave,Saint Louis,MO,38.6445673,-90.2616689,2.5,47,"Bars, Hookah Bars, Vietnamese, Asian Fusion, Sushi Bars, Cocktail Bars, Cafes, Nightlife, Art Galleries, Shopping, Restaurants, Arts & Entertainment",0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,4
wEI-j7yCt-voSHgbjgnhIg,Meshuggah Café,6269 Delmar Blvd,Saint Louis,MO,38.655879,-90.302339,3.5,126,"Restaurants, Food, Coffee & Tea, Cafes, Breakfast & Brunch",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4
LArxVfahgjP-qHfakBZ86w,The Pat Connolly Tavern,6400 Oakland Ave,Saint Louis,MO,38.6312926,-90.2925683,4.0,111,"Nightlife, Restaurants, Irish Pub, Venues & Event Spaces, Vegetarian, Event Planning & Services, Bars, Irish, American (Traditional)",1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,4
C6KP0hSutumHzLDCFyjvJQ,Katie's Pizza & Pasta Osteria,9568 Manchester Rd,Saint Louis,MO,38.608757,-90.365922,4.0,723,"Bars, Italian, Cocktail Bars, Nightlife, Beer, Wine & Spirits, Food, Pizza, Restaurants",0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,4
cQIh4YJlVtZI9TLF5_smOg,The Shaved Duck,2900 Virginia Ave,St Louis,MO,38.60363,-90.235876,4.5,1722,"Barbeque, Restaurants, Soul Food, American (New), American (Traditional), Smokehouse, Food",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
