,name,address,city,state,latitude,longitude,stars,review_count,categories,is_American,is_Dessert,is_Bar,"is_Beer,Wine,Spirits",is_Breakfast,is_Coffee & Tea,is_Asian,is_Italian,"is_Healthy,Specialty Food",is_Latin American,is_Mediterranean,is_Western European,is_Slavic Food,is_African,is_Food Markets/Shops,rating
Pzw8qVWmBVtduquI_Y58vw,Peppers 2,299 S State Rd 135,Greenwood,IN,39.6116593,-86.1574819,2.0,18,"Nightlife, Bars, Restaurants, Chicken Wings, American (Traditional), Karaoke, Sports Bars",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
ZXRdFOGhlkmLgjj-Mkupuw,Chuck E. Cheese,8804 S US 31,Indianapolis,IN,39.63806,-86.130854,2.5,17,"Event Planning & Services, Arts & Entertainment, Arcades, Active Life, Restaurants, Party & Event Planning, Pizza, Kids Activities",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
BNSBdAxsnbXgaj-h-Q_yzA,Maggiano's Little Italy,3550 E 86th St,Indianapolis,IN,39.9118331,-86.1070251,3.5,414,"Bars, Restaurants, Nightlife, Italian",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2
pyTot67NuIOmfoGp2laEtA,Johnny Carino's,920 North US 31,Greenwood,IN,39.6304449825,-86.1239156653,3.5,134,"Pizza, Wine Bars, Nightlife, Restaurants, Italian, Bars",0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,2
pb1nY1D4SftVWCBM1cADCA,West Place Chinese Restaurant,8923 S Meridian St,Indianapolis,IN,39.6361025,-86.157611,3.5,20,"Restaurants, Chinese",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
fWYdugISWgqI2849hcBCTg,Pizza Hut,"4800 Smith Valley Rd, Ste 1",Greenwood,IN,39.6057320035,-86.1928825863,2.5,21,"Pizza, Restaurants, Chicken Wings, Italian, Fast Food",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
Eqi2V_B5Ay-6dUT45sqNGg,Sonic Drive-In,8060 Upland Bend,Camby,IN,39.6462809838,-86.3284893242,2.5,41,"Food, Burgers, Restaurants, Ice Cream & Frozen Yogurt, Fast Food",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
muQ9wvdS6ZkW4DSBjvktAw,Buffalo Wild Wings,8020 North US 31,Indianapolis,IN,39.64839,-86.138074,2.0,84,"Bars, Sports Bars, Nightlife, Restaurants, American (Traditional), Chicken Wings",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
Gg-ULYMehs7-sORzZcKvpg,Texas Roadhouse,270 S Marlin Dr,Greenwood,IN,39.61106,-86.16093,3.0,69,"Barbeque, Restaurants, Steakhouses, American (Traditional)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
NhXS2YbDi3N1IrIl0bcnpg,Bazbeaux Pizza,333 Massachusetts Ave,Indianapolis,IN,39.7716674,-86.1533709,4.0,652,"Nightlife, Restaurants, Pizza, Bars, Local Flavor",1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3
