,name,address,city,state,latitude,longitude,stars,review_count,categories,is_American,is_Dessert,is_Bar,"is_Beer,Wine,Spirits",is_Breakfast,is_Coffee & Tea,is_Asian,is_Italian,"is_Healthy,Specialty Food",is_Latin American,is_Mediterranean,is_Western European,is_Slavic Food,is_African,is_Food Markets/Shops,rating
jLNxPH975elBwriKSjhw7w,Subway,2501 National Ave,Indianapolis,IN,39.711916,-86.1187852,2.0,5,"Sandwiches, Restaurants, Fast Food",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9MHe5jAym2d8VhT_NbCRyw,Bamboo House,5213 E Thompson Rd,Indianapolis,IN,39.6933755014,-86.07983582,2.5,49,"Restaurants, Chinese, Thai",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
6PJt5TQWp3qQW5UOkDPwjA,Guy Fieri's Flavortown Kitchen,,Indianapolis,IN,39.7713425,-86.1573709,3.0,14,"Restaurants, Food, Chicken Wings, Food Delivery Services, Burgers",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
R3h2cGGF_h-2vnvazbPU2Q,Texas Roadhouse,1405 N Shadeland Ave,Indianapolis,IN,39.787594,-86.044914,3.0,115,"Barbeque, Steakhouses, American (Traditional), Restaurants",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ZAZljXWLdWUhTSAkO8qdXg,The Old Spaghetti Factory,210 S Meridian,Indianapolis,IN,39.764088,-86.1584,3.5,345,"Restaurants, Event Planning & Services, Caterers, Italian",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3
WrnbOW8Gb4u-395Req0Xmw,Big Mouth Biscuits,2442 Central Ave,Indianapolis,IN,39.8024708,-86.1499305,3.5,48,"Restaurants, Breakfast & Brunch",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
mg7c4-H5oU3fE-jDSUlfNw,Asian Harbor,203 W Michigan St,Indianapolis,IN,39.7741395235,-86.161667034,3.5,187,"Salad, Desserts, Food, Asian Fusion, Japanese, Chinese, Restaurants, Sushi Bars",0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,3
hc_Y4nxyM2RUErsOcox9_g,Mom's Family Restaurant,510 Main St,Beech Grove,IN,39.7218525396,-86.0878355429,4.0,30,"Breakfast & Brunch, Restaurants, Diners, American (Traditional), Sandwiches",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
9XyO6Vk13vUXgJ2yM39P3A,Turchettis Delicatessen,1110 Prospect St,Indianapolis,IN,39.752572,-86.1394762,4.5,115,"Wholesalers, Professional Services, Italian, American (Traditional), Sandwiches, Specialty Food, Delis, Meat Shops, Butcher, Restaurants, Burgers, Food, Grocery, American (New)",1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,3
tAFBJloU8S91sBnj-uvgLw,Great Wall Chinese Restaurant,3940 S Keystone Ave,Indianapolis,IN,39.709736,-86.1210188,3.5,48,"Food Delivery Services, Food, Chinese, Restaurants",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3
