,name,address,city,state,latitude,longitude,stars,review_count,categories,is_American,is_Dessert,is_Bar,"is_Beer,Wine,Spirits",is_Breakfast,is_Coffee & Tea,is_Asian,is_Italian,"is_Healthy,Specialty Food",is_Latin American,is_Mediterranean,is_Western European,is_Slavic Food,is_African,is_Food Markets/Shops,rating
DzD2cKBrS-qOfhT3ToXsLw,Chipotle Mexican Grill,214 Indian Lake Blvd,Hendersonville,TN,36.319119,-86.599991,2.0,46,"Fast Food, Mexican, Restaurants",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
PjgQhtDdLHMR36l5yQ5TQg,Chili's,1820 Gallatin Pike N,Madison,TN,36.29977,-86.697398,2.5,37,"Bars, Nightlife, Restaurants, Tex-Mex, American (Traditional)",1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
8Wi6ExrCwlUtnhXk7at95A,Santa Fe Cattle Company,2520 Music Valley Dr,Nashville,TN,36.2255624,-86.6962346,3.5,239,"Restaurants, Southern, Steakhouses",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
cJZmRIGu3AyjJivezu7R0w,Cracker Barrel Old Country Store,213 Indian Lake Blvd,Hendersonville,TN,36.32069,-86.60038,2.5,69,"Restaurants, Southern, Breakfast & Brunch, African, American (Traditional), Desserts, Food, Salad",1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1
UIb_JNxtyAIs4xIWhLwEoQ,Bojangles,246 Indian Lake Blvd,Hendersonville,TN,36.3255449381,-86.5958582991,3.0,12,"Fast Food, Restaurants, Food",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
V_ag_CMF-WhHQ0PFIsxkAA,Moore's Spicy Fried Chicken,115 Walton Ferry Rd,Hendersonville,TN,36.30282,-86.619056,4.0,168,"Restaurants, Southern, Chicken Wings, Local Flavor",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
zWdA6nvnfChzUz299zOzdg,Five Guys,261 Indian Lake Blvd,Hendersonville,TN,36.3278781024,-86.5968355817,3.5,24,"Restaurants, Fast Food, Burgers",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
O3HgxFAPvotVEIIJLM4qJA,Captain D's,305 Long Hollow Pike,Goodlettsville,TN,36.3253264482,-86.7007950731,2.5,5,"American (Traditional), Fast Food, Restaurants, Seafood, Fish & Chips",1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
rwO1Q2WYLh-rknIsG2qJZA,Outback Steakhouse,1560 Gallatin Pike N,Madison,TN,36.2911175411,-86.703958,2.5,64,"Steakhouses, Seafood, Italian, Salad, Restaurants",1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,2
HiQwgtgkvkqJmZrCyF2jBQ,McDonald's,258 Indian Lake Blvd,Hendersonville,TN,36.326555,-86.5942623,1.5,22,"Burgers, Food, Fast Food, Coffee & Tea, Restaurants",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
cJZmRIGu3AyjJivezu7R0w,Cracker Barrel Old Country Store,213 Indian Lake Blvd,Hendersonville,TN,36.32069,-86.60038,2.5,69,"Restaurants, Southern, Breakfast & Brunch, African, American (Traditional), Desserts, Food, Salad",1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,2
toV3XBbsrmX399o6fpuoCQ,Captain D's,317 W Main St,Hendersonville,TN,36.3037700543,-86.623206813,1.5,10,"American (Traditional), Seafood, Fast Food, Fish & Chips, Restaurants",1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2
H854B_b0pWhBq3Fhn8Iqgg,Casa Vieja,206A N Anderson Ln,Hendersonville,TN,36.3219642639,-86.5980529785,3.5,74,"Mexican, Restaurants",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
McspEtdtkAgYlGNOo0745w,Cracker Barrel Old Country Store,1005 Village Green Crossing,Gallatin,TN,36.3779967,-86.4709111,2.5,43,"Comfort Food, Restaurants, Southern, Event Planning & Services, Caterers, Breakfast & Brunch, American (Traditional), American (New)",1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2
Eb_xjtN07qdrfQAfsb6L8w,Krystal,401 Cartwright St,Goodlettsville,TN,36.322857,-86.7070133,3.0,14,"Restaurants, Burgers, Fast Food",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
w_R7KfoYBrWj9H0BMj3VFw,Panera Bread,1799 Gallatin Pike N,Madison,TN,36.297213,-86.7007024,2.5,31,"Bagels, Bakeries, Restaurants, Soup, Sandwiches, Food, Breakfast & Brunch, Salad",1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,2
qTFWuYTcKIGimi6kjO-rxw,Chili's,600 Village Green Dr,Gallatin,TN,36.3766476,-86.4730764,2.0,35,"Tex-Mex, Restaurants, American (Traditional), Nightlife, Bars",1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2
3nDBtuuOuNxUWIDeYowyvA,KFC,322 W Main St,Hendersonville,TN,36.304136,-86.624836,2.0,10,"Restaurants, Chicken Shop, Chicken Wings, Fast Food",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
OR1zqBRTlDSBEDnnAT3iEw,Steak ’n Shake,207 N Anderson Ln,Hendersonville,TN,36.3200773,-86.5985995531,2.0,66,"Burgers, Restaurants, Fast Food, Diners, Breakfast & Brunch, American (Traditional), American (New)",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
cHKPqkGrAB3l1KP9eIgcVg,Dos Margaritas,4 Industrial Park Dr,Hendersonville,TN,36.3059157,-86.6361966,3.5,61,"Restaurants, Mexican",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
Waynvy6nK4HWH_bJkdMegA,O'Charley's Restaurant & Bar,912 Rivergate Pkwy,Goodlettsville,TN,36.29964,-86.699964,2.5,45,"American (Traditional), Burgers, Breakfast & Brunch, Southern, Restaurants",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
8QVpuDvWiT80Dr-RDQocbA,Rio Bravo Mexican Grill,200 E Main St,Hendersonville,TN,36.3087568,-86.6049983,3.0,62,"Mexican, Restaurants",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
ED-YlmolJpWMosZMBe2LYg,Chili's,218 Indian Lake Blvd,Hendersonville,TN,36.3203379,-86.599195,2.0,38,"Nightlife, Restaurants, American (New), Tex-Mex, Bars, American (Traditional)",1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2
EI-7c_Zpd9HhBiVywzkIBQ,IHOP,2219 Gallatin Pike N,Madison,TN,36.30492,-86.68775,2.0,54,"Coffee & Tea, Burgers, Breakfast & Brunch, Food, American (Traditional), Restaurants, American (New)",1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3
NI96sBdkMf9mMWAomcX33g,Zaxby's Chicken Fingers & Buffalo Wings,118 N Anderson Ln,Hendersonville,TN,36.3139302,-86.5953929,3.5,12,"Fast Food, Restaurants, Salad, Chicken Wings",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
mq_bbdY46DlwI9tj3bEXtA,Krystal,261 W Broadway St,Gallatin,TN,36.3873788085,-86.4517865326,2.0,17,"Burgers, Restaurants, Fast Food",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
azBYK_PZTOlnpBPvrbqWqQ,Plaza Mexican Bar & Grill,"900 Conference Dr, Ste 14",Goodlettsville,TN,36.322642961,-86.7024820349,3.5,76,"Nightlife, Bars, Restaurants, Mexican",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3
-x7YizC9UmmjMuSGxrw1LA,Waffle House,828 TN-76,White House,TN,36.4694776926,-86.6773388,3.0,18,"Breakfast & Brunch, American (New), Restaurants, Diners, American (Traditional)",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
3eQ0rI9eI6MtqWAH14TwsQ,McAlister's Deli,203 Indian Lakes Blvd,Hendersonville,TN,36.3183966197,-86.6016685598,2.5,38,"Salad, Delis, Restaurants, Sandwiches",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
w6g1IXTqqvTtLMrUexkD6Q,Demos' Restaurant,161 Indian Lake Blvd,Hendersonville,TN,36.3131501,-86.6072932,3.5,145,"Italian, Nightlife, Bars, Steakhouses, Greek, American (Traditional), Restaurants, Burgers, American (New), Seafood",1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,3
sh8T2qHvj5LGyeW4S8baJg,Logan's Roadhouse,1007 Village Green Crossing,Gallatin,TN,36.377584,-86.471445,2.5,60,"Steakhouses, American (Traditional), American (New), Restaurants, Nightlife, Bars, Barbeque",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
UIb_JNxtyAIs4xIWhLwEoQ,Bojangles,246 Indian Lake Blvd,Hendersonville,TN,36.3255449381,-86.5958582991,3.0,12,"Fast Food, Restaurants, Food",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2APXBHf5R-PtDj7X-8OHzQ,Roma Pizza & Pasta - Hendersonville,"260 W Main St, Ste 216",Hendersonville,TN,36.3044682,-86.6226968,3.5,29,"Italian, Restaurants, Pizza",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
_6K0l9oY5ETQuA4rb6CunQ,Hardee's,400 S Cartwright,Goodlettsville,TN,36.322546,-86.7077460355,2.0,18,"Restaurants, Fast Food, American (Traditional), Breakfast & Brunch, Burgers",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
YT0A2VuGbOAkhvJmpPXuxQ,Texas Roadhouse,1039 Glenbrook Way,Hendersonville,TN,36.331238,-86.62272,3.5,87,"American (Traditional), Restaurants, Steakhouses, Barbeque",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
H-Xc7JbVvxSkWfkuzwrveA,Taco Bell,1117 Gallatin Pike S.,Madison,TN,36.2484,-86.719339,1.5,30,"Restaurants, Tacos, Tex-Mex, Mexican, Fast Food, Breakfast & Brunch",1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3
rrrOJ_vYXuQaouyLZROThQ,Raffertys Restaurant & Bar,4041 Armory Oaks Dr,Nashville,TN,36.1047744274,-86.7625423077,3.5,99,"Restaurants, American (Traditional)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
-vbvT-Act1BqND2QfF7vlA,Sonic Drive-In,1565 North Gallatin Pike,MADISON,TN,36.2912299,-86.70274,2.0,12,"Burgers, Fast Food, Ice Cream & Frozen Yogurt, Restaurants, Food",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
rwO1Q2WYLh-rknIsG2qJZA,Outback Steakhouse,1560 Gallatin Pike N,Madison,TN,36.2911175411,-86.703958,2.5,64,"Steakhouses, Seafood, Italian, Salad, Restaurants",1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,3
xtWtLK1_F5rnA2pcfFp6Xg,Waffle House,380 Hwy 109 N,Lebanon,TN,36.1896434,-86.4105639,2.5,18,"Restaurants, Breakfast & Brunch, Diners, American (Traditional), American (New)",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
kOdCszON4PL0JNFV-QIFPA,O'Charley's Restaurant & Bar,110 Coley Davis Ct,Nashville,TN,36.08143,-86.953869,3.0,70,"Burgers, Restaurants, American (Traditional), Breakfast & Brunch, Southern",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
unkAACN449zW3jtS8N2yiA,The Coffee House at Second and Bridge,144 2nd Ave,Franklin,TN,35.927394,-86.868338,4.0,147,"Food, Sandwiches, Coffee & Tea, Creperies, Tea Rooms, Cafes, Restaurants",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3
PjgQhtDdLHMR36l5yQ5TQg,Chili's,1820 Gallatin Pike N,Madison,TN,36.29977,-86.697398,2.5,37,"Bars, Nightlife, Restaurants, Tex-Mex, American (Traditional)",1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3
