,name,address,city,state,latitude,longitude,stars,review_count,categories,is_American,is_Dessert,is_Bar,"is_Beer,Wine,Spirits",is_Breakfast,is_Coffee & Tea,is_Asian,is_Italian,"is_Healthy,Specialty Food",is_Latin American,is_Mediterranean,is_Western European,is_Slavic Food,is_African,is_Food Markets/Shops,rating
TUtf4FLtotdQDleYpRIfnw,California Pizza Kitchen at Santa Barbara,719 Paseo Nuevo,Santa Barbara,CA,34.418802,-119.700585,3.0,193,"Restaurants, American (Traditional), American (New), Salad, Pizza, Gluten-Free",1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,2
UuRZpgZsHX7PyykHV3wbZg,Crushcakes & Cafe,1315 Anacapa St,Santa Barbara,CA,34.4257198484,-119.7052413177,4.0,761,"Bakeries, Cafes, Coffee & Tea, Food, Desserts, Breakfast & Brunch, Restaurants",0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,2
wJiaLWAxfqDeFsmE2cI8tg,Lazy Acres Market - Santa Barbara,302 Meigs Rd,Santa Barbara,CA,34.400241,-119.7216702,3.5,244,"Health Markets, Food, Juice Bars & Smoothies, Specialty Food, Grocery, Restaurants, Delis, Meat Shops",1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,2
o4IiNbNybcy-L4vzTSoDJw,Ca' Dario,37 E Victoria St,Santa Barbara,CA,34.4253913532,-119.7048107601,4.0,672,"Tuscan, Seafood, Wine Bars, Restaurants, Bars, Nightlife, Italian",0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,3
3tvi-OJ_-iK1ecjzSaH-oA,Hook And Press Donuts,15 East Figueroa St,Santa Barbara,CA,34.4233020318,-119.7028496606,4.5,217,"Breakfast & Brunch, Coffee & Tea, Bakeries, Desserts, Donuts, Food, Restaurants",0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,3
NIQWO-Q_F598XlAvZnFVCA,Eureka!,601 Paseo Nuevo,Santa Barbara,CA,34.4186116,-119.7001508,4.0,961,"Restaurants, American (Traditional), Lounges, Nightlife, Bars, Burgers, American (New)",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
PVo1orQ9R7ZHfg90QACh-w,Your Choice,3404 State St,Santa Barbara,CA,34.4406266,-119.7367796,4.0,346,"Restaurants, Thai, Food, Chicken Wings, Ice Cream & Frozen Yogurt, Desserts",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3
BaWVwChTW_MqkKru_WZp3g,Super Cuca's Restaurant,626 W Micheltorena St,Santa Barbara,CA,34.4192829,-119.7158982,4.0,276,"Restaurants, Mexican",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
UjgqSqa4Biy34pHSEdwj_g,Gino's Sicilian Express,12 W Figueroa St,Santa Barbara,CA,34.4221006,-119.7037011,4.0,253,"Italian, Salad, Pizza, Restaurants, Sandwiches",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3
-nwNPb3G-0L95igrhkvMtw,Panda Express,605 Paseo Nuevo,Santa Barbara,CA,34.4187220772,-119.7001659,2.5,46,"Restaurants, Fast Food, Chinese",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
U1Gc3wKN5viu_e68KJVOdQ,Wingman Rodeo - Milpas Street,730 N Milpas St,Santa Barbara,CA,34.4291091,-119.6887154,4.0,147,"Salad, Restaurants, Vegetarian, Chicken Shop, Chicken Wings, Sandwiches, Nightlife",1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,4
QFh-h_OZ5Io-mBk32HN28A,Kyle's Kitchen,791 Chapala St,Santa Barbara,CA,34.4182687,-119.7005116,4.0,638,"Cafes, Restaurants, Sandwiches, Chicken Shop, Salad, American (New), Burgers, Breakfast & Brunch",1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,4
