,name,address,city,state,latitude,longitude,stars,review_count,categories,is_American,is_Dessert,is_Bar,"is_Beer,Wine,Spirits",is_Breakfast,is_Coffee & Tea,is_Asian,is_Italian,"is_Healthy,Specialty Food",is_Latin American,is_Mediterranean,is_Western European,is_Slavic Food,is_African,is_Food Markets/Shops,rating
Zn1XuFR75pl_Z24oW4ob0g,Burger King,2502 E Raymond St,Indianapolis,IN,39.7381504091,-86.1195597053,3.5,7,"Restaurants, Burgers, Fast Food, Hot Dogs",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
yEjaGZyYsmzSUXgeSrWGgA,China Buffet Restaurant,10013 E Washington St,Indianapolis,IN,39.773129,-85.989902,2.5,17,"Restaurants, Chinese",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
AdJ0wTDIaWDGmmaKfTVU0A,IHOP,9750 North By Northeast Blvd,Fishers,IN,39.92933,-86.02689,3.0,87,"American (New), Restaurants, Breakfast & Brunch, American (Traditional), Burgers",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
ZNDdq-cJtjTFiP-yE7ZZxA,Panda Express,5020 Southport Crossing,Indianapolis,IN,39.665327,-86.083665,3.5,37,"Fast Food, Chinese, Restaurants",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
lzpUmq4lc2liO2q8A6WoCg,Panda Express,6010 E. 82nd Street,Indianapolis,IN,39.9057952,-86.0646295,2.0,17,"Fast Food, Restaurants, Chinese",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
E8aDjN4OzvY4BZ4NJc7eog,Goodfellas Pizzeria - Mass Ave,545 Massachusetts Ave,Indianapolis,IN,39.7744007419,-86.149947457,4.0,347,"Bars, Pizza, Restaurants, Desserts, Nightlife, Food, Salad",0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,4
vySAdHz4XMeON0Q7b2ad1A,Cicis,3652 S E St,Indianapolis,IN,39.713950398,-86.150713563,2.5,44,"Pizza, American (Traditional), Restaurants",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
Dr6AJs3l6jVhzsaurRSAtg,Panera Bread,6055 N Keystone Ave,Indianapolis,IN,39.8653156,-86.1213438,2.5,121,"Sandwiches, Salad, Food, Restaurants, Breakfast & Brunch, Soup, Bagels",1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4
YPO3NLr89k2mSNgYcPoRrg,Hibachi Grill & Supreme Buffet,7737 S Shelby St,Indianapolis,IN,39.6543531,-86.136135,2.5,71,"Asian Fusion, Japanese, American (Traditional), Restaurants, Bars, Nightlife",1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4
TQPs9n0t8KUcxhrHO-N6ZQ,The Cafe at Newfields,4000 Michigan Rd,Indianapolis,IN,39.83012,-86.18624,4.0,17,"Restaurants, Cafes",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4
