,name,address,city,state,latitude,longitude,stars,review_count,categories,is_American,is_Dessert,is_Bar,"is_Beer,Wine,Spirits",is_Breakfast,is_Coffee & Tea,is_Asian,is_Italian,"is_Healthy,Specialty Food",is_Latin American,is_Mediterranean,is_Western European,is_Slavic Food,is_African,is_Food Markets/Shops,rating
ZipdU0bO04CUDZFP1Hj2QA,Chili's,13359 Seminole Blvd,Largo,FL,27.8933722,-82.7864917,2.5,78,"Nightlife, American (Traditional), Bars, Restaurants, Tex-Mex",1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
eR2cpqWj58kFeHBJ1ob0MQ,Seaweed Steaks Seafood & Sushi,2819 W Bay Dr,Belleair Bluffs,FL,27.91735591,-82.81813547,3.5,184,"Steakhouses, Seafood, Sushi Bars, Restaurants",1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2
pc8D9b_rnL_I8ak91tKjsg,Rocco's Tacos and Tequila Bar - Tampa,"2223 N Westshore Blvd, International Plaza",Tampa,FL,27.9646718,-82.5206425,3.5,736,"Restaurants, Tacos, Tex-Mex, Mexican",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
bXe7JE0bxDpoXf3UjnwoBQ,Finley's Irish Pub & Eatery,13477 S Belcher Rd,Largo,FL,27.89578941,-82.74509622,3.5,129,"Nightlife, Irish Pub, American (Traditional), Irish, Bars, Salad, Restaurants",1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,2
EnbfvuKmmVIj4poxMf9hYQ,Localz Sports Bar and Grill,"14219 Walsingham Rd, Ste F",Largo,FL,27.8810910252,-82.8348617,4.5,47,"Cocktail Bars, Burgers, American (Traditional), American (New), Restaurants, Event Planning & Services, Sports Bars, Bartenders, Nightlife, Bars",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
3TiiBHuBCQi27-ynhut9Ng,Joellas's Hot Chicken - Largo,10150 Ulmerton Rd,Largo,FL,27.8940873,-82.7793715,3.0,127,"Food, Chicken Shop, Chicken Wings, Desserts, Southern, Restaurants",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2
qKg3Vu-be1PExiSOX6pTqg,Ford's Garage,26210 US Hwy 19 N,Clearwater,FL,28.0097215162,-82.7333539,3.5,263,"Food, American (Traditional), Cocktail Bars, Beer, Wine & Spirits, Breakfast & Brunch, Nightlife, Bars, Comfort Food, Restaurants, Burgers",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,2
jmXrmPfM_X0dm-9OU8pUKg,Glory Days Grill,16553 Pointe Village Dr,Lutz,FL,28.1901232,-82.5405111,3.5,190,"American (Traditional), Sports Bars, Nightlife, Chicken Wings, Bars, Restaurants",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
QBnteiO92wOvE1WCYjMC_w,Jake's Coastal Cantina,500 1st St,Indian Rocks Beach,FL,27.8845027,-82.8495748,4.0,381,"Tacos, Sandwiches, Mexican, Cheesesteaks, Burgers, Food, Specialty Food, Fast Food, Ethnic Food, Restaurants",1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2
K1fHLKXx15FdzWttpmSLxA,Irish 31,7724 113th St,Seminole,FL,27.8434394935,-82.7924833197,3.5,62,"American (Traditional), Nightlife, Irish Pub, Bars, Restaurants, Irish",1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3
JCkixcqklK-AQNYIJdFCaA,Coco's Crush Bar and Grill,317 Coronado Dr,Clearwater,FL,27.9717408051,-82.828662917,4.0,220,"Bars, American (New), Restaurants, Greek, Beer, Wine & Spirits, Food, Burgers, Tiki Bars, Nightlife, American (Traditional)",1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,3
4iW60YPQb6Mf2R0o2k9O0g,Shomi Sushi & Seafood,13680 Walsingham Rd,Largo,FL,27.879713,-82.8278977,4.5,51,"Restaurants, Seafood, Sushi Bars, Salad, Japanese",0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,4
W3gP7qMcwHUpz_hz69L5vQ,Don Pancho Villa,21565 US Hwy 19 N,Clearwater,FL,27.9684435675,-82.7292048136,4.5,145,"Restaurants, Food, Grocery, Mexican",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4
9svAtGS29ILNTN0eYdi3UQ,Untouchables Pasta & Pizza,1150 Clearwater Largo Rd N,Largo,FL,27.9273775,-82.7956508,3.5,124,"Pizza, Restaurants, Italian",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
BY-du320SIHBR9MYUrZSZg,Keegan's Seafood Grille,1519 Gulf Blvd,Indian Rocks Beach,FL,27.8986647,-82.8478654,4.0,787,"American (Traditional), Restaurants, American (New), Seafood",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
KU7XnbHB-EBOCbyXH0VVuQ,Dockside Dave's,14701 Gulf Blvd,Madeira Beach,FL,27.7986854,-82.7979667,4.0,644,"Restaurants, Seafood",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
OSoLQDRmnHVLlJerXTOUvQ,Friendly Tavern,18121 Gulf Blvd,Redington Shores,FL,27.8332661,-82.8331382,3.5,134,"Karaoke, Bars, American (Traditional), Nightlife, Restaurants",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4
JCkixcqklK-AQNYIJdFCaA,Coco's Crush Bar and Grill,317 Coronado Dr,Clearwater,FL,27.9717408051,-82.828662917,4.0,220,"Bars, American (New), Restaurants, Greek, Beer, Wine & Spirits, Food, Burgers, Tiki Bars, Nightlife, American (Traditional)",1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,4
ZRyPyxgtLwzoBzqa3dFRcQ,VIP Mexican American Cuisine,213 Gulf Blvd,Indian Rocks Beach,FL,27.8798369588,-82.8502049127,3.5,63,"Tex-Mex, New Mexican Cuisine, Cocktail Bars, Restaurants, Mexican, Southern, Bars, Nightlife, American (New), Pubs",1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4
tGHdmDBPOR_vWoHSRFICcQ,Quaker Steak & Lube,10400 49th St N,Clearwater,FL,27.8668175979,-82.7009019256,3.5,202,"Chicken Wings, Restaurants, American (Traditional), Burgers",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
zQJCDTW4tgFzNFUTjNwmIQ,Wingstop,"10125 Ulmerton Rd, Ste 2",Largo,FL,27.8957511,-82.7797296,3.0,15,"Restaurants, Chicken Wings",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
QBnteiO92wOvE1WCYjMC_w,Jake's Coastal Cantina,500 1st St,Indian Rocks Beach,FL,27.8845027,-82.8495748,4.0,381,"Tacos, Sandwiches, Mexican, Cheesesteaks, Burgers, Food, Specialty Food, Fast Food, Ethnic Food, Restaurants",1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4
QlI4_BHwxb5UplGwd4vE0w,Fiesta Taqueria,"1479 Belcher Rd, Ste B",Largo,FL,27.9035372,-82.7457031,4.5,123,"Mexican, Restaurants",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5
