,name,address,city,state,latitude,longitude,stars,review_count,categories,is_American,is_Dessert,is_Bar,"is_Beer,Wine,Spirits",is_Breakfast,is_Coffee & Tea,is_Asian,is_Italian,"is_Healthy,Specialty Food",is_Latin American,is_Mediterranean,is_Western European,is_Slavic Food,is_African,is_Food Markets/Shops,rating
w0peMClztE-VtO8lQg1Srw,Jimmy John's,2318 West End Ave,Nashville,TN,36.1484434,-86.8060766,3.0,79,"Food Delivery Services, Delis, Restaurants, Sandwiches, Fast Food, Food",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
VAeEXLbEcI9Emt9KGYq9aA,The Pharmacy,731 McFerrin Ave,Nashville,TN,36.1849355,-86.7541885,4.0,3054,"Burgers, Sandwiches, Food, Beer, Wine & Spirits, American (Traditional), Bars, Nightlife, Restaurants",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2
TSKCK51GymAsxiA-kx-RiA,Butchertown Hall,1416 4th Ave N,Nashville,TN,36.1797909,-86.7890357,4.0,759,"American (Traditional), Breakfast & Brunch, German, Gastropubs, Restaurants, American (New)",1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,2
XXSRQj02oCBr0w2xMOftLw,Jason's Deli,2028 West End Ave,Nashville,TN,36.1508904,-86.8010644,4.0,98,"Event Planning & Services, Sandwiches, Salad, Caterers, Delis, Restaurants",1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2
IkLp51a_x_0CPlg0qMEqNg,PennePazze,3826 Charlotte Ave,Nashville,TN,36.1527701,-86.8328937,4.5,152,"Italian, Restaurants",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
0wMG4lS9Ay09xdHFHJISZw,The Dogwood,1907 Division St,Nashville,TN,36.1498526,-86.7963345,2.5,42,"Restaurants, Bars, Nightlife, Mexican, Burgers",1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2
3iUCCf1FWmjlFbGYvBgf9w,Martin's Bar-B-Que Joint,410 4th Ave S,Nashville,TN,36.156637,-86.774164,4.0,2221,"Restaurants, Barbeque, Nightlife, Bars, Pubs, Chicken Wings, American (Traditional)",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
dGUyXgFW1WSYMgRypKaYew,The Row,110 Lyle Ave,Nashville,TN,36.151356,-86.79772,4.0,1450,"Restaurants, Breakfast & Brunch, Pubs, Southern, Bars, Nightlife",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2
zkevOUm1kDU7PUKte4GKpQ,Barista Parlor,519B Gallatin Ave,Nashville,TN,36.1823468,-86.748582,3.5,600,"Breakfast & Brunch, Restaurants, Food, Coffee & Tea",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2
nsnehrg4TxUbO-6XrcZNFA,RocknRoll Sushi,1610 21st Ave S,Nashville,TN,36.1382210313,-86.8005082011,3.5,120,"Japanese, Teppanyaki, Restaurants, Sushi Bars",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3
mFd-j_KM90IOamGmoN5AQA,Nada,202 21st Ave S,Nashville,TN,36.1480837,-86.7988037,4.0,452,"Restaurants, Mexican, Tacos, New Mexican Cuisine, Breakfast & Brunch, Bars, Vegetarian, Nightlife",0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,3
8gY3LGFUMIQubovGbSd7Nw,Süp,669 S Virginia St,Reno,NV,39.5186673,-119.8097733,4.5,923,"Soup, American (New), Salad, Restaurants, Sandwiches",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
qLLSKapDKrcKgkHyUtLwSw,WKND Hang Suite,1703 Church St,Nashville,TN,36.155384,-86.795993,3.0,86,"American (Traditional), Hookah Bars, Lounges, Bars, Nightlife, Restaurants, Tapas Bars",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
ReX09lhufLTAx19krkltDA,Fido,1812 21st Ave S,Nashville,TN,36.136344,-86.800672,4.0,1260,"Bakeries, American (Traditional), American (New), Restaurants, Breakfast & Brunch, Sandwiches, Coffee & Tea, Food, Desserts, Cafes",1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,3
4YoVUmkpUBNtdYa804Wzvg,The Patterson House,1711 Division St,Nashville,TN,36.1512977,-86.7940791,4.5,1192,"Restaurants, Nightlife, Bars, Cocktail Bars, Southern, Lounges, American (New)",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
ltBBYdNzkeKdCNPDAsxwAA,Tavern,1904 Broadway,Nashville,TN,36.1508999,-86.7970117,4.0,1222,"Cocktail Bars, Nightlife, Gastropubs, Sports Bars, Restaurants, American (New), Lounges, Bars",1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3
hRoAl3MoV3_D9W9Vi7x3ZA,Josephine,2316 12th Ave S,Nashville,TN,36.1268134,-86.789193,4.0,452,"Restaurants, American (New)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
5WXHGOYSi979NOi1oj2atA,Henley,2021 Broadway,Nashville,TN,36.1486309,-86.7985216,4.0,194,"Breakfast & Brunch, Nightlife, American (New), Bars, Restaurants, Brasseries, Southern",1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,3
K3t9JDcutfnkivCOL-fMrA,Another Broken Egg Cafe,4111 Charlotte Ave,Nashville,TN,36.1519244024,-86.8367408,3.5,212,"Cafes, Breakfast & Brunch, Restaurants, American (Traditional)",1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3
WwxsLX2Z-SUwiTUs8rsOKg,Walden,2909B Gallatin Pike,Nashville,TN,36.2031243,-86.7391425,4.0,52,"Restaurants, Nightlife, Sandwiches, Bars, Cocktail Bars, Breakfast & Brunch, Pizza",1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,4
