,name,address,city,state,latitude,longitude,stars,review_count,categories,is_American,is_Dessert,is_Bar,"is_Beer,Wine,Spirits",is_Breakfast,is_Coffee & Tea,is_Asian,is_Italian,"is_Healthy,Specialty Food",is_Latin American,is_Mediterranean,is_Western European,is_Slavic Food,is_African,is_Food Markets/Shops,rating
LXIUiSsJHs9n5BGYcF2bAg,Mike Shannon's,10701 Lambert International Blvd,Saint Louis,MO,38.7426364843,-90.3660119524,2.5,99,"Restaurants, Steakhouses",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
tcvNBC65Gsa4cH1_gyucpQ,Noord,1046 Tasker St,Philadelphia,PA,39.92966,-75.163003,4.5,396,"Scandinavian, Restaurants, American (New)",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
_h94BxrrFKPvzUIRx3Xkhg,Saints And Sinners,627 Bourbon St,New Orleans,LA,29.9584184,-90.0661059803,3.5,796,"Seafood, Nightlife, Piano Bars, Restaurants, Cocktail Bars, Cajun/Creole, Bars, Sandwiches",1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2
2GLQjV1-_KbWDVqa3sVCjA,New Style Pizzeria,4060 Chestnut St,Philadelphia,PA,39.9557374,-75.204671,3.5,65,"Italian, Restaurants, Pizza, Gluten-Free",0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,2
Mt6XTQfwk2DUD3AK29YIBg,Melograno,2012 Sansom St,Philadelphia,PA,39.9512428,-75.1741148,3.5,451,"Italian, Restaurants",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
7_YYjlT-qRP8h1IkpPWObw,Kingside Diner,236 N Euclid Ave,St. Louis,MO,38.6445355688,-90.2613642742,4.0,287,"Breakfast & Brunch, Restaurants, Diners",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
WdS2zyg6lJNeTLMIvkmWAQ,Kumo Sushi & Asian Bistro,"99 Market St, Ste 1, Providence Town Ctr",Collegeville,PA,40.167118,-75.478159,4.0,252,"Restaurants, Sushi Bars, Asian Fusion, Japanese",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3
838bEDzZSPveDkAGrhVWYQ,Ocean Harbor,1023 Race St,Philadelphia,PA,39.9557218,-75.1567726,3.0,524,"Restaurants, Chinese, Dim Sum, Seafood",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3
BnffoBFNuGmNAksel7AX8g,Cavanaugh's Restaurant,119 S 39th St,Philadelphia,PA,39.9544307,-75.1999069,3.0,119,"Burgers, Caterers, Restaurants, Nightlife, American (Traditional), Bars, Event Planning & Services",1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3
ya4ky7GX7nTWPW40-YSAQQ,Cinder House,999 N 2nd St,St. Louis,MO,38.6333809795,-90.1842391039,4.0,149,"American (New), Restaurants",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
