,name,address,city,state,latitude,longitude,stars,review_count,categories,is_American,is_Dessert,is_Bar,"is_Beer,Wine,Spirits",is_Breakfast,is_Coffee & Tea,is_Asian,is_Italian,"is_Healthy,Specialty Food",is_Latin American,is_Mediterranean,is_Western European,is_Slavic Food,is_African,is_Food Markets/Shops,rating
haYikT8axUlLyNS7k-osng,McDonald's,801 E Grant,Tucson,AZ,32.250857,-110.959918,1.5,57,"Fast Food, Restaurants, Burgers, Food, Coffee & Tea",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
x3pTbsABLypwEoTdwQOmSg,El Molinito Restaurant,2323 N Pantano Rd,Tucson,AZ,32.249254,-110.8243254,2.5,158,"Event Planning & Services, Caterers, Mexican, Restaurants",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2
HUhlFVMjZOgj1-N0JmCo-g,Brother John's Beer Bourbon & BBQ,1801 N Stone Ave,Tucson,AZ,32.243993,-110.972209,3.5,555,"Arts & Entertainment, Nightlife, Bars, Music Venues, Beer Gardens, American (Traditional), Restaurants, Sandwiches, Barbeque",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3
u6P6I5PZnSlnILY5nFWBJA,Calle Tepa,6151 E Broadway,Tucson,AZ,32.2220412599,-110.8609629602,4.0,721,"Beer, Wine & Spirits, Mexican, Food, Restaurants",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3
pqHCY2NE8_aVl0EsDRbUtg,Famous Dave's Bar-B-Que,3007 East Speedway Blvd,Tucson,AZ,32.2365006015,-110.9278679,3.0,184,"Barbeque, Restaurants, Comfort Food, American (Traditional)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
0z-pNv_92L_-LiYV_XlcSw,Brawley's Restaurant,7848 E Wrightstown Rd,Tucson,AZ,32.2502273843,-110.8243817836,3.5,90,"Food, Do-It-Yourself Food, Breakfast & Brunch, Restaurants",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3
p8Lbf6wqRJwRasSh12G09Q,Burger King,454 W Grant,Tucson,AZ,32.2506844,-110.9798387092,2.5,13,"Hot Dogs, Burgers, Restaurants, Fast Food",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
QOc3pCNWs8Z7o-w4bgY6AQ,New China Sushi Grill Buffet,1160 N Wilmot Rd,Tucson,AZ,32.2368983,-110.8572943,2.5,136,"Sushi Bars, Restaurants, Asian Fusion, Chinese, Buffets",1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3
HJ59vXwm0gsS-w6lY9MEXA,Pei Wei Asian Kitchen,"5285 E Broadway Blvd, Ste 151",Tucson,AZ,32.2220548147,-110.8796491822,3.0,135,"Chinese, Asian Fusion, Restaurants, Fast Food, Gluten-Free",1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,3
4jkH3istYst8zxLxb-QVmg,La Parrilla Suiza,5602 E Speedway Blvd,Tucson,AZ,32.236014,-110.872951,3.0,340,"Mexican, Restaurants",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4
jpLJ79SPYXMpbvZ0py3uiw,Sullivan's Eatery and Creamery,6444 N Oracle Rd,Tucson,AZ,32.3231932,-110.9730401,4.0,256,"American (Traditional), Food, Sandwiches, Restaurants, Ice Cream & Frozen Yogurt, Burgers, Diners",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4
mvXtwW5Cj7u_CRaHQpTghg,Village Inn,9560 E 22nd St,Tucson,AZ,32.2058814,-110.7886566,3.0,69,"Restaurants, Breakfast & Brunch, Diners, American (New), American (Traditional)",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
