,name,address,city,state,latitude,longitude,stars,review_count,categories,is_American,is_Dessert,is_Bar,"is_Beer,Wine,Spirits",is_Breakfast,is_Coffee & Tea,is_Asian,is_Italian,"is_Healthy,Specialty Food",is_Latin American,is_Mediterranean,is_Western European,is_Slavic Food,is_African,is_Food Markets/Shops,rating
rH0FgPdxWWhH4YFz4mempg,McDonald's,4620 S Kingshighway,St. Louis,MO,38.586257,-90.276034,1.5,39,"Burgers, Fast Food, Food, Restaurants, Coffee & Tea",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
eORwNQsgjeJGrUPnQFJ9xA,Neveria La Vallesana,2801 Cherokee St,St. Louis,MO,38.5940349,-90.2302256,3.5,373,"Mexican, Restaurants, Ice Cream & Frozen Yogurt, Caterers, Food, Event Planning & Services",0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,2
cEgsHkAnpYQbA60pIIZYKQ,The Taco and Ice Cream Joint,2738 Cherokee St,St. Louis,MO,38.59368,-90.22933,3.5,197,"Specialty Food, Ice Cream & Frozen Yogurt, Food, Restaurants, Mexican",0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2
cQIh4YJlVtZI9TLF5_smOg,The Shaved Duck,2900 Virginia Ave,St Louis,MO,38.60363,-90.235876,4.5,1722,"Barbeque, Restaurants, Soul Food, American (New), American (Traditional), Smokehouse, Food",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
nn5tvvgFtnoyCocACvXmJQ,Molly's in Soulard,816 Geyer Ave,Saint Louis,MO,38.6081234,-90.2040811,3.5,300,"Bars, Pubs, Nightlife, Breakfast & Brunch, Cajun/Creole, American (New), Arts & Entertainment, French, Music Venues, Restaurants, Lounges",1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,3
BlI-twxwJnvqELP5tRCR7Q,Favazza's,5201 Southwest Ave,Saint Louis,MO,38.6114474,-90.2739125,4.0,354,"Pizza, Italian, Restaurants, Venues & Event Spaces, Gluten-Free, Event Planning & Services, Caterers",0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,3
tAmeC0DSyxoi3NDsxZbl-w,City Park Grill,3157 Morganford Rd,Saint Louis,MO,38.60242,-90.261621,4.5,148,"Sports Bars, American (Traditional), Nightlife, American (New), Bars, Restaurants",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
SJEtfe8kL60bh3D40KTRMw,Frazer's Restaurant & Lounge,1811 Pestalozzi St,Saint Louis,MO,38.5990991,-90.2165807,4.5,270,"Restaurants, Bars, Seafood, Nightlife, Lounges, American (New), Mediterranean, Breakfast & Brunch",1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,3
rBdG_23USc7DletfZ11xGA,Olio,1634 Tower Grove Ave,Saint Louis,MO,38.6195426345,-90.2558054466,4.0,398,"Wine Bars, Bars, Nightlife, American (New), Mediterranean, Restaurants",1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,3
GqyOrF5X21ciTjnuSCH5PQ,Square One Brewery & Distillery,1727 Park Ave,Saint Louis,MO,38.6170166,-90.2110242,4.0,658,"Restaurants, American (New), Distilleries, Breweries, Brewpubs, Nightlife, Food, Bars, Gastropubs, American (Traditional)",1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,4
QAdaeyJlY8deDP_QbN9ycA,Chava's Mexican Restaurant,925 Geyer Ave,Saint Louis,MO,38.6088527,-90.2054727,4.0,431,"Tex-Mex, Mexican, Restaurants",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4
L-VNs3YquPGKVsXl2Ze-Yg,Peacemaker Lobster and Crab,1831 Sidney St,Saint Louis,MO,38.6031936399,-90.2154949751,4.0,822,"Seafood, Restaurants",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
