,name,address,city,state,latitude,longitude,stars,review_count,categories,is_American,is_Dessert,is_Bar,"is_Beer,Wine,Spirits",is_Breakfast,is_Coffee & Tea,is_Asian,is_Italian,"is_Healthy,Specialty Food",is_Latin American,is_Mediterranean,is_Western European,is_Slavic Food,is_African,is_Food Markets/Shops,rating
eVnItf7xUwMn0HzRVcFY6A,Soprano's Pizzeria & Restaurant,1380 Easton Rd,Warrington,PA,40.2516048013,-75.1349821888,3.0,48,"Pizza, Burgers, Restaurants, Italian",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Lswb5BgtMTWCsSw_blU4oA,Starbucks,10 North Main St,Doylestown,PA,40.3101828,-75.130745,3.0,32,"Coffee & Tea, Food, Restaurants",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
x4o0RXGhFhGRs5oE74q83A,86 West,86 W State St,Doylestown,PA,40.3087426,-75.1324417,3.5,231,"Sushi Bars, Tapas/Small Plates, Steakhouses, American (New), Restaurants, Seafood",1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,1
Yv9KUZ-N3otoKUtToPPxAg,The Hattery Stove & Still,18 W State St,Doylestown,PA,40.3096366381,-75.1309594139,4.0,274,"Breakfast & Brunch, American (Traditional), Bars, Restaurants, Nightlife",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
TREeB3OyL2YvyoenMjWTLg,Karla's Restaurant,5 W Mechanic St,New Hope,PA,40.3618585056,-74.950730421,4.0,532,"Sandwiches, American (New), Restaurants",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
qgAIg5FCQl5bUNpYvg_SbQ,Perkins Restaurant & Bakery,705 York Rd,Warminster,PA,40.2108932216,-75.0985452533,3.0,37,"Cafes, Food, Sandwiches, American (Traditional), Breakfast & Brunch, Restaurants, Bakeries, American (New)",1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
MsgWKX-hUG35a0nLcCAKrg,Currito,"8500 Essington Ave, Philadelphia International Airport, Terminal A",Philadelphia,PA,39.874423,-75.247136,3.5,125,"Mexican, Food Trucks, American (New), Salad, Juice Bars & Smoothies, Food, Restaurants",1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1
_nSL2u-ZzX6kkAF2D2EZgQ,Roof Top Bistro & Bar,6878 Hollister Ave,Goleta,CA,34.4309968,-119.868548,3.5,77,"American (New), Restaurants, Bars, Nightlife, Burgers, Tapas/Small Plates",1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1
ksIxYQ7hlBbGu9Mw8vpRZQ,Isaac Newton's Fun Food & Drink,18 S State St,Newtown,PA,40.228719,-74.9370207,3.5,376,"Bars, American (Traditional), Restaurants, Nightlife, Pubs, American (New)",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
Td1xw31b7pGiShjpzc5hJw,Buttonwood Grill,Peddler's Village,New Hope,PA,40.3477957,-75.0314495,3.5,350,"Burgers, Restaurants, Breakfast & Brunch, Gastropubs, American (New)",1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,2
uKK_8fcwaV5JuCv3Nj-OIw,Jules Thin Crust,78 S Main St,Doylestown,PA,40.3082443,-75.1297963,4.0,185,"Pizza, Restaurants",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
Z47HyCOQC6D3kWYZGqe6RQ,Manhattan Bagel,1456 Ferry Road,Doylestown,PA,40.34149,-75.152281,2.5,22,"Bagels, Breakfast & Brunch, Coffee & Tea, Food, Sandwiches, Restaurants",1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2
k9CwhDTFoInTVUvmvYKZPg,Hawkeye's Country Tavern,1100 PA-113,Perkasie,PA,40.3557652,-75.2639936,3.5,100,"Restaurants, Bars, Nightlife, Pubs, American (Traditional)",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
8Ck78FmeRO7W9iy1-5eCeg,Logan Inn,10 W Ferry St,New Hope,PA,40.3634673,-74.9514504,3.0,153,"Caterers, Hotels & Travel, Mediterranean, Hotels, Event Planning & Services, American (New), Bars, Nightlife, Whiskey Bars, Restaurants, Seafood, Bed & Breakfast, Venues & Event Spaces",1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,2
w4_14pVOLW2Tdm9LTczORg,Corner Bakery,100 Welsh Rd,Horsham,PA,40.158386,-75.14291,3.0,91,"Restaurants, Food Delivery Services, Sandwiches, Cafes, Bakeries, Food",1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2
9BX1tdW9i7Droi7tbI8Xqg,The Rockhill Filling Station,1710 N Ridge Rd,Perkasie,PA,40.398399,-75.270874,4.0,36,"Restaurants, Breakfast & Brunch, American (New), American (Traditional), Seafood",1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2
PHw_cG0STuRtrI0cEWieUg,C & C Cafe,609 W Market St,Perkasie,PA,40.3742013,-75.2947285,3.5,33,"Restaurants, Breakfast & Brunch, Sandwiches",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
In1Tv6ozaFB6xWGDgbqHQw,Roman Delight of Fountainville,1456 Ferry Rd,Doylestown,PA,40.340726,-75.152352,3.5,70,"Pizza, Restaurants",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
GcdnRUlL97pSycc1WEOybQ,Tacos El Tio,200 Tuckerton Rd,Medford,NJ,39.869032,-74.847934,3.5,118,"Mexican, Bars, Breakfast & Brunch, Nightlife, Restaurants, Cocktail Bars",0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2
HpCsADSPPSoCghfcZeT55w,Iron Hill Brewery & Restaurant,1460 Bethlehem Pike,North Wales,PA,40.207844,-75.2235665,3.5,283,"Breweries, American (New), Restaurants, Food",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
0lmSRR0d40CaStcTYsnSHQ,Station Tap House,194 W Ashland St,Doylestown,PA,40.3059425695,-75.1312709015,3.5,126,"American (Traditional), Restaurants",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
F43ox1eEedpvt6968xp0sA,Perkins Restaurant & Bakery,4319 Swamp Rd,Doylestown,PA,40.3311493437,-75.1330652833,2.5,35,"Food, Bakeries, American (Traditional), Restaurants, Breakfast & Brunch, Cafes",1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,3
O888TgG49aEsY7DsgZrckg,Mesquito Grille,128 W State St,Doylestown,PA,40.3083618,-75.1336731,3.5,142,"Restaurants, Sports Bars, Bars, Nightlife, Barbeque",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4
549RHbvwLZ6l7ht5Le7Sug,M.O.M.'s  Maxwell's on Main,37 N Main St,Doylestown,PA,40.3101261,-75.1305267,3.5,233,"Music Venues, Nightlife, American (New), Food, Southern, Arts & Entertainment, Restaurants",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4
GUuX7S-cF-iPLyJ01ZxKZA,Porterhouse Restaurant & Brew Pub,5775 Lower York Rd,Lahaska,PA,40.3457562693,-75.0336737491,3.5,172,"Beer Bar, American (Traditional), American (New), Breweries, Bars, Nightlife, Restaurants, Wine Bars, Food",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4
NR3sTKxiiNG0ua9w0GeMEQ,Aunt Judy's Family Restaurant,120 Veterans Ln,Doylestown,PA,40.318919,-75.131669,3.5,61,"Restaurants, American (Traditional), Breakfast & Brunch",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
RUxl01tNeQtSZ2gFJPR3LA,Penn Taproom,80 W State St,Doylestown,PA,40.3095142,-75.1314242,3.5,104,"Beer Bar, Gastropubs, Bars, Beer, Wine & Spirits, Restaurants, American (New), Food, American (Traditional), Nightlife, Pubs",1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,4
kMiriyUO_EuYm6OB53gfIg,Tijuana Tacos,216 W Broad St,Quakertown,PA,40.4410437083,-75.3354406357,4.5,103,"Mexican, Pizza, Restaurants",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5
BZ66BWIrrNcQTqI9g_Musw,Luna Y Sol Mexican Restaurant,61 E Main St,Moorestown,NJ,39.9650578,-74.944327,4.0,85,"Restaurants, Mexican",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5
3VKYbajPpszKNFv32ey2dA,Dam Good Cafe,161 N Main St,Dublin,PA,40.392058,-75.23622399999999,4.0,60,"American (Traditional), Breakfast & Brunch, Tacos, Mexican, Cafes, Restaurants",1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,5
NKp6tMagbe2vLSJ-YoQwyw,Heller's Seafood Market,"1380 Easton Rd, Ste 6",Warrington,PA,40.2513474021,-75.13466916,4.0,19,"Food, Restaurants, Seafood, Specialty Food, Seafood Markets",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,5
9gC4jaqjByuSh7AeSPE8kg,Farmhouse Tavern,380 N Main St,Doylestown,PA,40.31869,-75.1308909,4.0,78,"American (Traditional), Restaurants, Bars, Cocktail Bars, Beer Bar, Nightlife",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5
V9pSmHb0c-9SSqx5GJbYPg,"OOKA Sushi, Bar, Hibachi Steak house",110 Veterans Ln,Doylestown,PA,40.318923,-75.1312111,4.0,253,"Sushi Bars, Restaurants, Japanese",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,5
wKKEeP1eH4vjzQ72NCl04Q,Crossroads Tavern,2004 Hilltown Pike,Perkasie,PA,40.3304826,-75.2375599,3.5,43,"Nightlife, Music Venues, American (New), Restaurants, Arts & Entertainment, American (Traditional), Pizza",1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,5
7mCP8zNAT2g_yJ4jbX13eA,It's Nutts,1382 River Rd,Titusville,NJ,40.3022192066,-74.8709232504,3.5,206,"Diners, Event Planning & Services, Caterers, American (Traditional), Pizza, Restaurants",1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,5
