,name,address,city,state,latitude,longitude,stars,review_count,categories,is_American,is_Dessert,is_Bar,"is_Beer,Wine,Spirits",is_Breakfast,is_Coffee & Tea,is_Asian,is_Italian,"is_Healthy,Specialty Food",is_Latin American,is_Mediterranean,is_Western European,is_Slavic Food,is_African,is_Food Markets/Shops,rating
uThu1t3DGVJ1AgTwP4QKzA,Hooters,25 W Georgia St,Indianapolis,IN,39.7641159,-86.158945,2.5,101,"Nightlife, Restaurants, Sports Bars, Bars, Chicken Wings, American (Traditional)",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
A4TqQ_8lBVjO5OvsrjB_mw,Capriotti's Sandwich Shop,"5320 E 82nd St, Ste 105",Indianapolis,IN,39.9057065141,-86.0774074266,4.0,149,"Sandwiches, Restaurants, Cheesesteaks",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
t3WHK94PhrqPHwxEq7c_jQ,Red Lobster,1752 N Shadeland Ave,Indianapolis,IN,39.791797,-86.046225,2.5,66,"American (Traditional), Seafood, Restaurants",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
l0YyLVlPt2zI7srCUu2oFQ,TGI Fridays,501 W Washington St,Indianapolis,IN,39.766847,-86.168323,2.0,158,"Restaurants, Burgers, American (Traditional), Sports Bars, Nightlife, Bars",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
j_udZkQ0VG4xpJr8MVZn9w,McCormick & Schmick's Seafood & Steaks,110 N Illinois St,Indianapolis,IN,39.7687066,-86.1602721,3.0,272,"Seafood, Bars, Nightlife, American (Traditional), Restaurants, Wine Bars, Steakhouses",1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2
nSsNTnwOMMFZ6vggivBvIw,OP Italian,10 S W St,Indianapolis,IN,39.7667093388,-86.1674810859,4.0,282,"Restaurants, Bars, Italian, Wine Bars, Nightlife",0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,2
B0Vbec9zFG6J-NbnUgaItA,Muldoon's of Carmel,"111 W Main St, Ste 100",Carmel,IN,39.978258,-86.128673,3.5,169,"Bars, Irish, American (New), Restaurants, Pubs, Nightlife",1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3
yTxUljktDCBe8UHcZTyxfQ,Chicago Deli,"2820 Scherer Dr N, Ste 250",Saint Petersburg,FL,27.8851147,-82.6714869,3.5,26,"Restaurants, Delis",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
3C9l3PNoadQ9U2JEb-Qtpg,Bar Louie - Carmel,"1111 W Main St, Ste 140",Carmel,IN,39.97782529,-86.14639061,3.5,186,"Restaurants, Sports Bars, Gastropubs, Bars, Nightlife, American (New), American (Traditional)",1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3
yeZfgAw4LvWnri7ecPkiYA,Cafe Audrey at the Fort,9134 Otis Ave,Indianapolis,IN,39.8567658,-86.0082307,4.0,324,"Restaurants, Food, Coffee & Tea, Desserts, Cafes, Sandwiches, American (New), Breakfast & Brunch",1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,3
nSsNTnwOMMFZ6vggivBvIw,OP Italian,10 S W St,Indianapolis,IN,39.7667093388,-86.1674810859,4.0,282,"Restaurants, Bars, Italian, Wine Bars, Nightlife",0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,3
ejDrtuWQRGY0a3zjdWO4xg,Tavern on South,423 W South St,Indianapolis,IN,39.761608,-86.166158,3.5,260,"Nightlife, American (New), Bars, Restaurants, Pubs",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
u6a9VgA3zyvthtU0rd2REg,Grille 39,11925 N Meridian St,Carmel,IN,39.9647784,-86.1566554,3.5,46,"American (New), Restaurants",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
iNiAJAtsbV5xOQGRtce-NQ,Cooper's Hawk Winery & Restaurant - Indianapolis,3815 E 96th St,Indianapolis,IN,39.926361,-86.101675,4.0,669,"American (New), Venues & Event Spaces, Seafood, Restaurants, Beer, Wine & Spirits, Nightlife, Wine Bars, Event Planning & Services, Bars, Wine Tasting Room, Food, Gluten-Free, Arts & Entertainment, Wineries, American (Traditional)",1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,3
it3HFWgbN-c9m5QRWCerhA,Rosie’s Place,"1111 W Main Ave, Ste 100",Carmel,IN,39.9778658,-86.1469209,4.0,141,"Restaurants, Breakfast & Brunch",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
My9NAWShKtNqBYw7200qOw,Conner's Kitchen + Bar,350 West Maryland St,Indianapolis,IN,39.766624,-86.1648434,4.0,365,"Restaurants, Breakfast & Brunch, American (Traditional), Bars, Nightlife, American (New)",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3
E3Qk7xTznkT0SABL2ltpHA,Bascom's Chop House,3665 Ulmerton Rd,Clearwater,FL,27.8946067,-82.6838316817,4.0,605,"Lounges, Seafood, American (Traditional), Restaurants, Bars, Nightlife, Steakhouses",1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4
PrVDvV4QcA-ymZv7pJR5YQ,The Breakroom Bar & Grill,13575 58th St N,Clearwater,FL,27.8953188,-82.7116527,4.5,193,"Cocktail Bars, Bars, American (Traditional), Salad, Chicken Wings, American (New), Nightlife, Restaurants",1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4
khnNWa_my3oQQghGPuILhg,Divvy,71 W City Center Dr,Carmel,IN,39.9702988943,-86.1283815114,4.0,343,"American (New), Tapas/Small Plates, Nightlife, Bars, Restaurants",1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,4
