,name,address,city,state,latitude,longitude,stars,review_count,categories,is_American,is_Dessert,is_Bar,"is_Beer,Wine,Spirits",is_Breakfast,is_Coffee & Tea,is_Asian,is_Italian,"is_Healthy,Specialty Food",is_Latin American,is_Mediterranean,is_Western European,is_Slavic Food,is_African,is_Food Markets/Shops,rating
FD7gMovIYQmhdn23Iq91zQ,Lorenzo & Sons Pizza,305 S St,Philadelphia,PA,39.941596,-75.1478101,4.0,657,"Pizza, Italian, Restaurants",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
sTPueJEwcRDj7ZJmG7okYA,Jim's South St,400 S St,Philadelphia,PA,39.941498,-75.149272,3.5,2736,"Bars, Restaurants, Pizza, Cheesesteaks, Italian, Beer Bar, American (Traditional), Local Flavor, Nightlife, Sandwiches",1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,2
-v8dtO9BZmKidXLMohiQhQ,Urban Saloon,2120 Fairmount Ave,Philadelphia,PA,39.9670245,-75.1729544,3.0,320,"Bars, Nightlife, Restaurants, Barbeque, Whiskey Bars, American (New), Sports Bars",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
9PZxjhTIU7OgPIzuGi89Ew,El Vez,121 S 13th St,Philadelphia,PA,39.9497020026,-75.1617702842,4.0,3187,"Lounges, Bars, Nightlife, Breakfast & Brunch, Mexican, Restaurants",0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2
gdyMIBAitsQubj0OEJoiMg,Fairmount Pizza and Grill,2000 Fairmount Ave,Philadelphia,PA,39.9670886,-75.1703389,3.5,222,"Restaurants, Pizza, Italian, Sandwiches",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
ELY0HI8GDEx0jkmREVna0A,Frankford Hall,1210 Frankford Ave,Philadelphia,PA,39.969439,-75.134647,4.0,981,"German, Restaurants, Nightlife, Food, Bars, Pretzels, Beer Gardens, Pubs",1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,3
GrRrxHK9dWgibvUpcotxtw,Joe's Pizza,122 S 16th St,Philadelphia,PA,39.9503868,-75.1675629,3.5,183,"Pizza, Restaurants",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
oHiaVt8SG3EgVyyJlzhlwg,O'Neals Pub,611 S 3rd St,Philadelphia,PA,39.941026,-75.147402,4.0,134,"Sports Bars, Bars, Nightlife, Irish, Food, Restaurants, Beer, Wine & Spirits, Pubs",0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,3
bmJgvpuf2GBXd62ELK0Q2w,Luigi’s Pizza Fresca,2401 Fairmount Ave,Philadelphia,PA,39.9675505,-75.1771216,4.0,249,"Italian, Pizza, Restaurants, Hawaiian",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
JrDLf5e-awIC0suNlK39Zw,Locust Rendezvous,1415 Locust St,Philadelphia,PA,39.9484648948,-75.1658053,4.0,230,"Bars, Beer Bar, Restaurants, Salad, Dive Bars, Nightlife",0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,3
9ggTidLF9LPNdyWdCGtrYg,Gooey Looie's,231 McClellan St,Philadelphia,PA,39.925315,-75.1507189,4.5,251,"Sandwiches, Cheesesteaks, Restaurants, Delis",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
REiAM73RkOxFqCVlEFiRWA,Tattooed Mom,530 South St,Philadelphia,PA,39.9416802,-75.1519159,4.0,692,"Lounges, Nightlife, Bars, Restaurants, Vegan, American (New), Dive Bars, Sandwiches, Cocktail Bars, Burgers, Local Flavor",1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4
7QVS6kcmc2vfp3TDCGX-Cw,Colonial Pizza,400 S 43rd St,Philadelphia,PA,39.9513336,-75.2095376,4.0,106,"Restaurants, Pizza",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
6FJOC5YTJOBeF6fSedqOOA,Franco's Pizza,2573 Tulip St,Philadelphia,PA,39.9820407,-75.1215841,4.0,141,"Restaurants, Pizza",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
eLAd1Jw-g1NKymBx1XPDoA,Stogie Joe's Tavern,1801 E Passyunk Ave,Philadelphia,PA,39.927559,-75.166057,3.5,295,"Burgers, Pasta Shops, Pizza, Pubs, Specialty Food, Restaurants, Food, Nightlife, American (New), Bars, Italian",1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,4
oHiaVt8SG3EgVyyJlzhlwg,O'Neals Pub,611 S 3rd St,Philadelphia,PA,39.941026,-75.147402,4.0,134,"Sports Bars, Bars, Nightlife, Irish, Food, Restaurants, Beer, Wine & Spirits, Pubs",0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,4
RUfWgnSSQKjRNBpK0wSxfg,Isabella Pizza,1824 E Passyunk Ave,Philadelphia,PA,39.9271608,-75.1668506,3.0,149,"Burgers, Italian, Restaurants, Pizza, Breakfast & Brunch",1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4
bmJgvpuf2GBXd62ELK0Q2w,Luigi’s Pizza Fresca,2401 Fairmount Ave,Philadelphia,PA,39.9675505,-75.1771216,4.0,249,"Italian, Pizza, Restaurants, Hawaiian",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
17Y8circEnkMMXKfLo8Ztg,Bitar's,947 Federal St,Philadelphia,PA,39.9346516,-75.1602726,4.0,154,"Restaurants, Middle Eastern, Falafel, Bakeries, Food, Greek, Mediterranean",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4
NYj8uB9-u0SmRMNDNktb1g,Oscar's Tavern,1524 Sansom St,Philadelphia,PA,39.9502531,-75.1668064,4.0,328,"Nightlife, Restaurants, Bars, Dive Bars",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4
5Fm6khB-De-OdqATep9J9Q,NYPD Pizza,140 S 11th St,Philadelphia,PA,39.9489444,-75.1590443,3.5,198,"Pizza, Restaurants",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5
WMkiheTT-8kRslImVLWMVw,Standard Tap,901 N 2nd St,Philadelphia,PA,39.96414,-75.1405144,4.0,785,"Local Flavor, American (Traditional), Restaurants, Burgers, Desserts, Breakfast & Brunch, Food, American (New), Gastropubs, Beer, Wine & Spirits, Nightlife, Bars, Pubs",1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,5
Iw8uqNPxviwcgxtruAx_LA,Good Dog Bar,224 S 15th St,Philadelphia,PA,39.948793,-75.1662055,4.0,1279,"American (Traditional), Restaurants, Bars, Nightlife, Burgers, Sandwiches, Soup, Pubs",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5
T85Ck4uybby0-klUlxF_nw,The Satellite Cafe,701 S 50th St,Philadelphia,PA,39.9476547,-75.2227069,3.5,158,"Coffee & Tea, Vegan, Vegetarian, Restaurants, Food, Bagels, Wraps",0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,5
eXKblEHP3YJYU1Awz08hVw,Tacos Don Memo,270 S 38th St,Philadelphia,PA,39.951988,-75.199123,4.5,200,"Food Trucks, Specialty Food, Food, Restaurants, Ethnic Food, Mexican",0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,5
Oun4NN-u5yiHIxDqtJnxgA,Federal Donuts,1219 S 2nd St,Philadelphia,PA,39.932223,-75.147463,4.0,530,"Restaurants, Korean, American (Traditional), Breakfast & Brunch, Donuts, Food, Coffee & Tea",1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,5
ziMvN9iVXWQJrBtzcEONMg,Philly Pretzel Factory,1532 Sansom St,Philadelphia,PA,39.950452,-75.1670215,4.0,117,"Food, Pretzels, Hot Dogs, Bakeries, Restaurants, Local Flavor",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
GKohndn_sMk2nWCh1jkAfg,Terryin,358 Snyder Ave,Philadelphia,PA,39.9219375,-75.1528432,4.0,159,"Restaurants, Chinese, Sushi Bars, Asian Fusion, Japanese",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,5
GVZUe3iXg75_Zp9ZS91y9g,El Fuego,723 Walnut St,Philadelphia,PA,39.9481,-75.1535615,3.5,258,"Tex-Mex, Restaurants, Specialty Food, Mexican, Ethnic Food, Soup, Bars, Food, Nightlife",1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,5
_Co6_3dVnerzFLSe2s4W9Q,Bobby Chez Crabcakes,1990 Marlton Pike E,Cherry Hill,NJ,39.8996609,-74.9532997,3.5,30,"Seafood, Restaurants",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
