,name,address,city,state,latitude,longitude,stars,review_count,categories,is_American,is_Dessert,is_Bar,"is_Beer,Wine,Spirits",is_Breakfast,is_Coffee & Tea,is_Asian,is_Italian,"is_Healthy,Specialty Food",is_Latin American,is_Mediterranean,is_Western European,is_Slavic Food,is_African,is_Food Markets/Shops,rating
gnEyjxoBYQcP9Bz72C95YA,Maloney's,213 North 4th Ave,Tucson,AZ,32.2265233298,-110.9658273239,2.0,86,"Nightlife, Restaurants, Diners, Bars, Local Flavor, Food",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
dEMsUFNB4ckBFdB90jKLEA,Fuku Sushi,940 E University Blvd,Tucson,AZ,32.2316562,-110.9574698,2.5,294,"Restaurants, Sushi Bars, Nightlife, Japanese, Bars",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2
yl0yqngQGbW2hPmf5L427g,Rusty's Family Restaurant & Sports Grille,2075 W Grant Rd,Tucson,AZ,32.250342,-111.0114339,3.5,108,"Bars, Sports Bars, Nightlife, Restaurants, American (Traditional), Italian",1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3
KAk07Tbv0UsoY-s7RYfepg,C.I. Chu's Mongolian Barbeque,4540 E Broadway Blvd,Tucson,AZ,32.2210111,-110.8955944,3.5,177,"Restaurants, Barbeque, Mongolian",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
z2VVTgZ0aEYmxN4n6RHMJA,Smashburger,"4821 E Grant Rd, Ste 115",Tucson,AZ,32.2509601,-110.890264,3.0,167,"Burgers, Restaurants, American (New)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Hi4AgS-uR-lEOF4oZl546g,China Pasta House,430 N Park Ave,Tucson,AZ,32.227359,-110.9560773,4.0,219,"Restaurants, Chinese",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
enXvNN8pFfz76KT1PZFlPQ,Pollo Feliz,2634 E Broadway Blvd,Tucson,AZ,32.2212121,-110.9327577,3.5,57,"Restaurants, Mexican",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
2h0D_jeKy81uZgpZGZmGPA,Mama's Hawaiian Bar-B-Cue,"4016 N 1st Ave, Ste 100",Tucson,AZ,32.2799453,-110.9597447,3.0,272,"Caterers, Hawaiian, Restaurants, Burgers, Barbeque, Event Planning & Services",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
5z7N0Ih926XkkRW5-ZljuA,Espresso Art Cafe,942 E University Blvd,Tucson,AZ,32.231462,-110.957245,4.0,89,"Bars, Nightlife, Cocktail Bars, Restaurants, Hookah Bars, Food, Cafes, Coffee & Tea",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3
KbSpEQ_54ovgNxOoxKP79g,Time Market,444 E University Blvd,Tucson,AZ,32.2314089,-110.9643085,4.0,368,"Restaurants, Food, Pizza, Delis, Beer, Wine & Spirits, Grocery",1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,3
UtVrrnZjUh29lcZZz7gFmQ,Gentle Ben’s Brewery,865 E University Blvd,Tucson,AZ,32.2320319,-110.9582544,3.5,359,"American (Traditional), Food, Nightlife, Event Planning & Services, Mexican, Restaurants, Breweries, Cocktail Bars, Venues & Event Spaces, Bars",1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,3
otQS34_MymijPTdNBoBdCw,BK Tacos,2680 N 1st Ave,Tucson,AZ,32.2558336,-110.9605596,4.0,492,"Restaurants, Tacos, Mexican, Hot Dogs, Breakfast & Brunch, Steakhouses",1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,4
h2-mPUMYJ5pF_gVurDL3lw,Azian Restaurant Sushi & Korean BBQ,15 N Alvernon Way,Tucson,AZ,32.2222753,-110.9098924,2.5,467,"Food, Korean, Japanese, Beer, Wine & Spirits, Restaurants, Barbeque, Sushi Bars",1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,4
no8Sj8Eflgka2LFdrYFG_Q,Beyond Bread,3026 N Campbell Ave,Tucson,AZ,32.2619227,-110.9435384,4.5,439,"Bakeries, Sandwiches, Cafes, Restaurants, Food",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4
P4xS-KH7IlD-n-bQewefnA,King's Restaurant,10 W Grant Rd,Tucson,AZ,32.2510355,-110.9727871,4.0,78,"Vietnamese, Chinese, Restaurants",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4
JVdRFZ0fZmd36f-s3FtS5A,Choice Greens,2829 E Speedway Blvd,Tucson,AZ,32.236452,-110.9303361,4.0,273,"Sandwiches, Salad, Restaurants, Vegetarian",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4
wJmyu7W1K9A_gE8Ed4Bc9w,Trident Grill,"2033 E Speedway Blvd, Ste 101",Tucson,AZ,32.236334,-110.941738,4.0,370,"Bars, Seafood, Sports Bars, American (Traditional), Sandwiches, Nightlife, Restaurants",1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4
gciMEyy9sIcwSMREEvNiXA,Roma Imports,627 S Vine Ave,Tucson,AZ,32.2142387,-110.9488241,4.5,358,"Cheese Shops, Delis, Specialty Food, Restaurants, Food, Caterers, Event Planning & Services, Italian",1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,4
8wkPLsDbGU3GcW8CoD-4aA,Caffe Luce,245 E Congress St,Tucson,AZ,32.222231,-110.967274,4.5,321,"Coffee & Tea, Food, Vegetarian, Beer, Wine & Spirits, Sandwiches, Specialty Food, Fruits & Veggies, Restaurants",1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,4
z2VVTgZ0aEYmxN4n6RHMJA,Smashburger,"4821 E Grant Rd, Ste 115",Tucson,AZ,32.2509601,-110.890264,3.0,167,"Burgers, Restaurants, American (New)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
AhVvuzwWQU__CligbY4r0Q,Juan's Flying Burrito,2018 Magazine St,New Orleans,LA,29.930506,-90.0750713,4.0,794,"Restaurants, Mexican, Mass Media, Cajun/Creole",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4
LmZWlvPJBwj5WG2KHV-v1Q,Sushi Garden,3048 E Broadway Blvd,Tucson,AZ,32.2211445,-110.9270293,3.0,589,"Buffets, Sushi Bars, Financial Services, Japanese, Tax Services, Restaurants",1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4
8Mzu_wczdzv9dU_Gr6OR8A,Kazoku,4210 E Speedway Blvd,Tucson,AZ,32.2358219,-110.9029305,4.0,439,"Sushi Bars, Japanese, Restaurants",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4
CjJaDHMfIHqaIKvBVABAJQ,Laverna's Coffee Shop,220 S Plumer Ave,Tucson,AZ,32.2194481,-110.9397896,4.0,140,"Diners, Coffee & Tea, Restaurants, Breakfast & Brunch, Cafes, Food",1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4
FEXhWNCMkv22qG04E83Qjg,Café Du Monde,800 Decatur St,New Orleans,LA,29.957525,-90.061861,4.0,1880,"Flowers & Gifts, Gift Shops, Cafes, Restaurants, Coffee & Tea, Donuts, Food, Souvenir Shops, Shopping",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4
RRcpqq6D4WS4jZ3HK8tckQ,The Taco Shop Company,1350 E Broadway Blvd,Tucson,AZ,32.2209809,-110.9512457,3.5,184,"Restaurants, Fast Food, Mexican",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4
wK0st2QWGin3shaIYHG0Xg,Oriental Express,982 E University Blvd,Tucson,AZ,32.231539,-110.95687,4.0,54,"Restaurants, Chinese, Bubble Tea, Food, Fast Food, Soup",1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4
Rv8bW3pkzpi5dZu5ckbgtA,Guadalajara Original Grill,1220 E Prince Rd,Tucson,AZ,32.271774,-110.953235,4.0,1117,"Bars, Seafood, Breakfast & Brunch, Mexican, Nightlife, Restaurants",0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,4
2njTjQ35skXN171KoobeGg,Raging Sage,2458 N Campbell Ave,Tucson,AZ,32.2513729,-110.9434686,4.0,345,"Food, Restaurants, Coffee & Tea",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4
lS1dmSXpAtQqT04eRm9kiA,No Anchovies,870 E University Blvd,Tucson,AZ,32.2314107,-110.9584407,3.5,271,"Restaurants, Sports Bars, Nightlife, Salad, Bars, Sandwiches, Pizza, Chicken Wings",1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,4
0ghzROkZWKWwQKDt1fkPAQ,El Guero Canelo,2480 N Oracle Rd,Tucson,AZ,32.2518973,-110.9775249,4.0,681,"Mexican, Restaurants",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4
3BjBtmb_DRCwSx39sC2NSw,Old Peking,2522 E Speedway Blvd,Tucson,AZ,32.2358351463,-110.9343807319,3.0,203,"Chinese, Restaurants, Seafood, Soup",1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4
EIKbEHnsVg6dcsWopW4lkg,Lindy's On 4th,500 N 4th Ave,Tucson,AZ,32.228073,-110.965406,4.0,577,"Beer, Wine & Spirits, American (Traditional), Restaurants, American (New), Burgers, Food, Diners",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4
otQS34_MymijPTdNBoBdCw,BK Tacos,2680 N 1st Ave,Tucson,AZ,32.2558336,-110.9605596,4.0,492,"Restaurants, Tacos, Mexican, Hot Dogs, Breakfast & Brunch, Steakhouses",1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,5
n7Zfx_oB_NjLTQZ2z5KhmQ,Peking Palace,"6970 E 22nd St, Ste 100",Tucson,AZ,32.2061347961,-110.8431015015,4.0,134,"Restaurants, Chinese",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5
dMGWB4TEfEhgInQefGimAw,Sushi On Oracle,6449 N Oracle Rd,Tucson,AZ,32.3243979831,-110.975856185,4.5,327,"Sushi Bars, Japanese, Restaurants",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,5
atZ_olNKXOG4rEr6mccN8g,Beiler's Bakery,51 N 12th St,Philadelphia,PA,39.953764,-75.159218,4.5,1368,"Food, Donuts, Food Stands, Restaurants, Specialty Food, Bakeries, Breakfast & Brunch",0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,5
FWaU544E0DNj3mkjlKif_Q,Sushi-Ten,"4500 E Speedway Blvd, Ste 1",Tucson,AZ,32.2358485982,-110.897375478,3.5,353,"Restaurants, Sushi Bars, Japanese",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,5
Xv5QKR3DMOhIS4V187yj2Q,La Botana Tacos,3200 N 1st Ave,Tucson,AZ,32.2650355116,-110.961163044,4.0,358,"Tacos, Hot Dogs, Restaurants, Beer, Wine & Spirits, Seafood, Mexican, Caterers, Vegetarian, Food, Event Planning & Services, Specialty Food, Breakfast & Brunch",0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,5
HTqXI5S2XcSlh_ylx9sE6g,Termini Bros Bakery,12th St & Filbert St,Philadelphia,PA,39.9530477103,-75.1590135265,4.0,263,"Food, Restaurants, Bakeries",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Sv1MEZP-mMfp8SmE0hwYEA,Terakawa Ramen,204 N 9th St,Philadelphia,PA,39.955402,-75.154484,4.5,1693,"Japanese, Ramen, Ethnic Food, Restaurants, Local Flavor, Food, Specialty Food",1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5
OxBZqeYH5xuusEPp9ml7-g,El Guero Canelo,5201 S 12th Ave,Tucson,AZ,32.1575975,-110.9771386,4.0,636,"Mexican, Hot Dogs, Restaurants",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5
