,name,address,city,state,latitude,longitude,stars,review_count,categories,is_American,is_Dessert,is_Bar,"is_Beer,Wine,Spirits",is_Breakfast,is_Coffee & Tea,is_Asian,is_Italian,"is_Healthy,Specialty Food",is_Latin American,is_Mediterranean,is_Western European,is_Slavic Food,is_African,is_Food Markets/Shops,rating
1MpCSA9931OUqvZ3vTqzvg,McDonald's,37 W 38th St,Indianapolis,IN,39.8244387471,-86.1584731936,1.5,20,"Coffee & Tea, Food, Burgers, Restaurants, Fast Food",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
S_jfDqc2TUhkraTpeZgqjg,Bakersfield,334 Massachusetts Ave,Indianapolis,IN,39.7719812,-86.1535945,4.5,1642,"Bars, Mexican, Nightlife, Cocktail Bars, Restaurants, Tacos",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3
vYv9PhpNZGhrU8t_pvdlCw,Mori Sushi,"231 S College Ave, Ste 200",Indianapolis,IN,39.7631934,-86.1454843,4.5,149,"Sushi Bars, Restaurants, Japanese, Ramen, Izakaya, Asian Fusion, Beer, Wine & Spirits, Food, Bubble Tea, Noodles",0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,3
0wsLnToWQYB71TyWE_zOHw,The Living Room Lounge,934 N Pennsylvania St,Indianapolis,IN,39.7801766,-86.1559797,3.5,74,"American (New), Karaoke, Lounges, Bars, Nightlife, American (Traditional), Pubs, Restaurants",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
RUXpRtfCDs7l49m0SpSkRQ,Tick Tock Lounge,2602 E 10th St,Indianapolis,IN,39.7814814,-86.1178838,4.5,151,"Bars, Lounges, Nightlife, American (Traditional), Beer, Wine & Spirits, Food, Restaurants",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3
PHqeN9MKNA_TfIUfmpBeRw,Tastings A Wine Experience,50 W Washington St,Indianapolis,IN,39.767434,-86.1594464,4.0,272,"Tapas Bars, Wine Bars, Beer, Wine & Spirits, Food, Bars, Restaurants, Nightlife",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3
tRy555bB3co3ur3VCHy3zw,The Falls Bar & Lounge,2800 Opryland Dr,Nashville,TN,36.21280888,-86.6961847558,3.0,31,"Lounges, Hotels & Travel, Bars, Nightlife, Tapas/Small Plates, Cocktail Bars, Restaurants",0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,3
Zs4WXGhLfDra5jKTXeF1Qw,Hotcakes Emporium Pancake House & Restaurant,8555 Ditch Rd,Indianapolis,IN,39.9111986,-86.1834007,3.5,142,"Salad, Restaurants, Sandwiches, Breakfast & Brunch",1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3
XiATUgtzkuxn1IoOwFy1Wg,Chef Oya's The Trap,3355 North Keystone Ave,Indianapolis,IN,39.8178006,-86.1211799,4.5,149,"Restaurants, Soul Food, American (Traditional), Seafood",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
teFjQxUqT8c-yxQdoILDVQ,Nada,11 W Maryland St,Indianapolis,IN,39.7654786,-86.1587013,4.5,1619,"New Mexican Cuisine, Breakfast & Brunch, Desserts, Nightlife, Bars, Cocktail Bars, Mexican, Latin American, Restaurants, Food, Tacos",0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,3
qvhz-oTyKjpFsYUBy0Uz0Q,Cascades American Cafe,2800 Opryland Dr,Nashville,TN,36.2114295485,-86.6947118193,3.0,236,"Tapas/Small Plates, Restaurants, Breakfast & Brunch, Sushi Bars, Seafood, American (New)",1,0,1,0,1,0,1,0,0,1,0,1,0,0,1,3
As6rZWiimkoaV5mCAzf2tQ,Bando Korean Restaurant,8015 Pendleton Pike,Indianapolis,IN,39.8365382,-86.0253227,4.0,202,"Barbeque, Vietnamese, Restaurants, Korean",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
uH7EepS3kXC-63NI0DDbYw,Piada Italian Street Food,8601 River Crossing Blvd,Indianapolis,IN,39.912704,-86.10623,4.0,263,"Salad, Italian, Restaurants, Wraps",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3
xne1l7I2166PbF59qQUxGg,Next Door American Eatery,4573 N College Ave,Indianapolis,IN,39.8394748,-86.1446959,4.0,443,"Bars, Burgers, Restaurants, Nightlife, American (Traditional), American (New), Cocktail Bars",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
2z1kSiZIk16f1uSD7jG9aw,Ramen Ray,5628 E 71st St,Indianapolis,IN,39.8836213,-86.0723328,4.0,464,"Japanese, Restaurants, Ramen",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4
