,name,address,city,state,latitude,longitude,stars,review_count,categories,is_American,is_Dessert,is_Bar,"is_Beer,Wine,Spirits",is_Breakfast,is_Coffee & Tea,is_Asian,is_Italian,"is_Healthy,Specialty Food",is_Latin American,is_Mediterranean,is_Western European,is_Slavic Food,is_African,is_Food Markets/Shops,rating
8IBVhpwSRtnbUhrNb7W8xg,Panera Bread,278 E Lancaster Ave,Wynnewood,PA,40.00336,-75.2837,3.0,55,"Coffee & Tea, Restaurants, Salad, Soup, Breakfast & Brunch, Sandwiches, Bakeries, Food, Bagels",1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1
dgGuvdysSuWOv2dKqZTbVA,Chipotle Mexican Grill,4030 City Ave,Philadelphia,PA,40.0075055545,-75.212248984,2.5,186,"Mexican, Restaurants, Fast Food",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2ELifQE_fR6p4Yt96dxlOA,Saladworks,"1991 Sproul Rd, Ste 45",Broomall,PA,39.9620631794,-75.3562739978,2.5,50,"American (Traditional), Soup, Restaurants, Vegetarian, Sandwiches, Salad, American (New), Food",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1e__0VDUwZ2Jb6pt65NjgA,Chickie's & Pete's,5035 Township Line Rd,Drexel Hill,PA,39.9536618,-75.3235909,2.5,172,"American (Traditional), Sports Bars, Nightlife, Restaurants, Bars",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
wCluBbW9nzS7MEMFltMwJw,Tasties,1212 N 52nd St,Philadelphia,PA,39.9717941,-75.2261989,2.5,106,"Food, Imported Food, Food Trucks, Desserts, Seafood, Steakhouses, Ethnic Food, Sandwiches, Soul Food, Specialty Food, Restaurants",1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1
OoM2j5LPJC4Mofl2XQjBvQ,Legacy Kitchen's Craft Tavern,700 Tchoupitoulas St,New Orleans,LA,29.9462908224,-90.0672569282,3.5,495,"Seafood, American (Traditional), Nightlife, Breakfast & Brunch, Bars, Cocktail Bars, Restaurants, Cajun/Creole",1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1
zURA9RblljcvEOoeZec3KA,Panera Bread,"3554 W Chester Pike, Unit 14",Newtown Square,PA,39.984722,-75.396721171,2.5,38,"Soup, Salad, Restaurants, Sandwiches",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
pWzrmh1oiU9ngWXGHKnnwQ,Down Home Diner,51 N 12th St,Philadelphia,PA,39.9530183899,-75.1594000959,3.0,362,"Restaurants, American (New), Breakfast & Brunch, Diners",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
XahxHmkaFOAwXix2VGRAUQ,Richie's,"1835 N 12th St, Ste 9, Temple University Main Campus",Philadelphia,PA,39.9809158,-75.153284,4.5,50,"Food Stands, Restaurants, Sandwiches, Pizza, Burgers, Breakfast & Brunch, Delis, Food, Coffee & Tea",1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1
voedsXPlAFPHdvjAgIV2zw,Alaska King Crab House,4834 Lancaster Ave,Philadelphia,PA,39.9730713726,-75.2188593214,2.5,25,"Seafood, Restaurants",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
6LYmMCltMzSMK-gMjqWTCw,Zesty's,4382 Main St,Philadelphia,PA,40.0257037,-75.2245921,3.5,171,"Mediterranean, Seafood, Restaurants, Greek",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3
ZfVE14oObX2_xcmHZSqXBQ,Creed's Seafood & Steaks,499 N Gulph Rd,King of Prussia,PA,40.0897783354,-75.4137930726,3.5,210,"Seafood, Restaurants, Steakhouses, Bars, Nightlife",1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3
EVkUOkQgnhPzuvfmAZh0rQ,The Original Thunderbird Steakhouse and Catering,2323 W Chester Pike,Broomall,PA,39.9806678,-75.351261,4.0,170,"Pizza, Sandwiches, Chicken Wings, Caterers, Diners, Food, Breakfast & Brunch, Restaurants, Cheesesteaks, Food Delivery Services, Steakhouses, Event Planning & Services",1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,3
AlyKaJRNi_2lj5y96QtjCw,First Watch,31 East Wynnewood Rd,Wynnewood,PA,40.002316,-75.27448,3.5,197,"Breakfast & Brunch, American (Traditional), Restaurants, Cafes",1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3
SUqw8hyb4MtNYzhh6LqcsA,Casey's Public House,3529 W Chester Pike,Newtown Square,PA,39.9866381783,-75.3967145665,3.0,59,"Nightlife, Restaurants, Salad, Desserts, Sports Bars, American (Traditional), Pubs, Food, Seafood, Bars, Fish & Chips",1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,3
oyA87-Q_vqnmxVOn_auJQQ,Spice C,131 N 10th St,Philadelphia,PA,39.9543751,-75.155929,4.0,453,"Restaurants, Chinese, Comfort Food",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
nFKATkd_j1iwFK9r6s0duQ,Applebee's Grill + Bar,7650 City Line,Philadelphia,PA,39.977529,-75.272689,2.0,71,"Furniture Reupholstery, Nightlife, Restaurants, Steakhouses, Bars, Local Services, Burgers, American (Traditional), Sports Bars, Chicken Wings",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
B6qHZCAs7Nka-1zdjCzAIQ,Butter's Soul Food,2730 W Girard Ave,Philadelphia,PA,39.9741307,-75.1815903,3.0,77,"Food, Caterers, Event Planning & Services, Restaurants, Soul Food",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
GQXUb6yNoQWZwjS2LsBniw,China Wok,16 Alpha Dr,Newtown Square,PA,39.9844866,-75.3975624,3.5,20,"Restaurants, Chinese",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
OChSrnaj5tQ1-wm7zoVT4w,Gyu-Kaku Japanese BBQ,1901 Callowhill St,Philadelphia,PA,39.9607160127,-75.1701319521,3.5,569,"Tapas/Small Plates, Restaurants, Barbeque, Japanese, Asian Fusion",1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,3
CdiIirSjwWzfX7XsSCk-1g,Ruby Tuesday,8680 Bartram Ave,Philadelphia,PA,39.8877891,-75.2470401,2.5,168,"American (Traditional), Restaurants, Burgers",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1G2ioVP2reLd73NQroGONg,Outback Steakhouse,1118 Baltimore Pike,Springfield,PA,39.914421,-75.3453842,3.0,153,"American (Traditional), Restaurants, Steakhouses",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Wg3OzU6Zw25A8MqbqP0GtQ,First Watch,"3735 West Chester Pike, Ste 202",Newtown Square,PA,39.986904,-75.40329,3.5,150,"American (Traditional), Cafes, Restaurants, Breakfast & Brunch",1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3
