,name,address,city,state,latitude,longitude,stars,review_count,categories,is_American,is_Dessert,is_Bar,"is_Beer,Wine,Spirits",is_Breakfast,is_Coffee & Tea,is_Asian,is_Italian,"is_Healthy,Specialty Food",is_Latin American,is_Mediterranean,is_Western European,is_Slavic Food,is_African,is_Food Markets/Shops,rating
qibDo7L7chTUKMMaMsXKzg,Red Pavilion Mandarin Cuisine,"1760 S Meridian Rd, Ste 102",Meridian,ID,43.5889037,-116.3930607,4.0,309,"Restaurants, Chinese",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
uLM1kVK3-gYuUYkgnCoTyw,Addie's,1221 W Boise Ave,Boise,ID,43.59249,-116.1971303,3.0,133,"Burgers, American (New), Breakfast & Brunch, Restaurants, Food, Coffee & Tea",1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
000idd-3sMexavEppbUqHg,Barrigas Mexican Restaurant,3447 W Chinden Blvd,Garden City,ID,43.622878539,-116.2404692173,4.5,46,"Restaurants, Mexican",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
l6Fzsau2TbPQxuaF8d804g,Smoky Mountain Pizzeria Grill,1805 W State St,Boise,ID,43.6246315,-116.2128394,3.0,71,"Italian, Burgers, Restaurants, Pizza",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
ugubnQSdlQOGyyBMx7a_Vw,Lucky 13,3662 S Eckert Rd,Boise,ID,43.5685269,-116.1210895,3.0,99,"Restaurants, Pizza",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
WD4pr7n-gqcYlyluI3J-Vw,Kyoto Japanese Steak House,6002 W Fairview Ave,Boise,ID,43.6194,-116.2558204,4.0,150,"Restaurants, Specialty Food, Ethnic Food, Japanese, Food, Steakhouses",1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2
l86c7xYxAIztpGILAddmvg,The Kilted Kod,,Boise,ID,43.5516566,-116.29879,4.0,78,"Seafood, Street Vendors, Restaurants, Food Trucks, Food",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
vJeHUxMZEXiET3ucrts0dA,Bad Boy Burgers 2,7000 W Fairview Ave,Boise,ID,43.6195442,-116.2689627,3.0,68,"Fast Food, Burgers, Restaurants",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ZRt958yOwhl8vFVO56vMxg,KFC,8440 W Overland Rd,Boise,ID,43.5906166672,-116.287,1.5,34,"Chicken Wings, Restaurants, Chicken Shop, Fast Food",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
dN2Bg65U8AcPmKG1RSYYfw,Shari's - Boise,8521 W Franklin Rd,Boise,ID,43.60465296,-116.28790379,2.5,63,"Breakfast & Brunch, Diners, Restaurants, American (Traditional)",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
neo3yvjRuRCp9tyq2DahUA,Golden Star Restaurant,1142 N Orchard St,Boise,ID,43.6149037,-116.2427695,3.0,73,"Chinese, Restaurants",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
bW8MxvFrRnZnJoU25dvdig,Quik-Wok,4858 W Overland Rd,Boise,ID,43.5900841975,-116.2419744769,2.0,53,"Restaurants, Chinese",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
ivwXw2QmPVrDE_hXxSRHyw,Fiesta Chicken,1450 S Orchard St,Boise,ID,43.5910441831,-116.2432385981,4.0,40,"Mexican, Restaurants",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
_Wjb3f1ueoKVzd5ra_gsHw,Pizza Twist,1505 Bdwy Ave,Boise,ID,43.5942084607,-116.1940403136,4.0,12,"Restaurants, Pizza, Chicken Wings, Salad",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
bzvxt0sP9OMwwks1vLSzKw,Cafe Ole,210 N Milwaukee St,Boise,ID,43.6068908,-116.2814285,2.5,95,"Mexican, Restaurants, Venues & Event Spaces, Spanish, Cafes, Event Planning & Services",0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,3
yEVRdb-9sBqzRiPC5BxwWw,Tupelo Honey,"150 N 8th St, Ste 200",Boise,ID,43.6157759,-116.2029378,4.5,412,"American (New), Restaurants, Southern, Waffles, Breakfast & Brunch",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3
27E7RwQPv8XFzzIXjwPJ1Q,Red Robin Gourmet Burgers and Brews,211 W Parkcenter Blvd,Boise,ID,43.5982728,-116.183575,2.5,91,"Restaurants, American (Traditional), Burgers",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
eUXaJEUbOWh2FThTD2xj7A,The Habit Burger Grill,2206 N Eagle Rd,Meridian,ID,43.62511,-116.3533,4.0,163,"Sandwiches, Restaurants, Salad, Fast Food, Food, Burgers",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
wiK3MN-Ep4m6tDNHV2uxrw,Jack in the Box,3220 W State St,Boise,ID,43.636206,-116.2289939,2.0,21,"Restaurants, Burgers, Mexican, Tacos, Breakfast & Brunch, Fast Food",1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3
bnf_heNHK8s9RUc0prursQ,Jalapeño's Bar & Grill - Franklin,8799 W Franklin Rd,Boise,ID,43.604676,-116.2915681,3.5,119,"Restaurants, Mexican, Nightlife, Bars, Beer Bar",0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,3
JtE-xxZRBYyWKWaooUye9A,Dickey's Barbecue Pit,"2845 E Overland Rd, Ste 190",Meridian,ID,43.58982,-116.3592187,2.5,95,"Restaurants, Caterers, American (Traditional), Barbeque, Event Planning & Services, Southern, Chicken Wings",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
nrFmQUHZQVCsrg1mue0_DA,P.F. Chang's,391 S 8th St,Boise,ID,43.613671298,-116.2057372928,3.0,211,"Chinese, Restaurants, Asian Fusion, Gluten-Free",0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,3
JdhXCnAG77iY6f0TLPaQ6A,Solid Grill and Bar,405 S 8th St,Boise,ID,43.613286,-116.205998,3.5,187,"American (Traditional), Bars, Barbeque, Restaurants, Nightlife",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
AzylMkpWl-OLWQLMKVRoVg,Pho Nouveau,780 W Idaho St,Boise,ID,43.616496,-116.2022303,4.0,217,"Restaurants, Vietnamese, Beer, Wine & Spirits, Food, American (Traditional)",1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3
