,name,address,city,state,latitude,longitude,stars,review_count,categories,is_American,is_Dessert,is_Bar,"is_Beer,Wine,Spirits",is_Breakfast,is_Coffee & Tea,is_Asian,is_Italian,"is_Healthy,Specialty Food",is_Latin American,is_Mediterranean,is_Western European,is_Slavic Food,is_African,is_Food Markets/Shops,rating
xFk0apIOljR2DL5Zj-VNOA,Chinese American Cafe,1228 Jefferson Hwy,New Orleans,LA,29.962097,-90.1428072,3.5,34,"Restaurants, Chinese",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
iRTwUQk4fIgUUAWa101r1w,Stixx,361 Indiana Ave,Indianapolis,IN,39.7726576,-86.1627966,4.0,60,"Bars, Restaurants, Nightlife, Cigar Bars, Asian Fusion, Lounges",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
cwHoYlBw7QRZLSbu9hLcbg,Jockamo Upper Crust Pizza,9165 Otis Ave,Indianapolis,IN,39.855953345,-86.0076616743,4.0,189,"Restaurants, Pizza, Salad, Sandwiches",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
aXcjf0vL1U4FmWANWyf1nQ,Subway,"11135 Pendleton Pike, Ste 600",Indianapolis,IN,39.8629999804,-85.9695317945,2.0,5,"Restaurants, Sandwiches, Fast Food",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
BBeVhrrXMBJQccoWD8_aqA,IHOP,9115 East 56th St,Indianapolis,IN,39.85492,-86.00769,2.0,59,"American (Traditional), American (New), Burgers, Breakfast & Brunch, Restaurants",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
dUAw3a1UQq5ojCLq8JM7IQ,Burger King,11741 Pendleton Pike,Indianapolis,IN,39.8708958278,-85.9579780698,3.5,7,"Restaurants, Burgers, Fast Food",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
3pc7aRkKohVPRPlwDac3tQ,Crab99 Bar & Restaurant,14 E Washington St,Indianapolis,IN,39.7673681,-86.1574902,3.5,180,"Nightlife, Cajun/Creole, Sushi Bars, Bars, Sports Bars, Restaurants, Seafood",1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,3
nCprivwMhexIl0yPQwsJjw,Go Stir Fry,38 E Washington St,Indianapolis,IN,39.7673641,-86.1567539,5.0,21,"Food, Japanese, Salad, Restaurants, Teppanyaki, Poke, Steakhouses, Bubble Tea, Sushi Bars",1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,3
3wCimnUYytN05knMh1_7pA,Chuck E. Cheese,5501 E 82nd St,Indianapolis,IN,39.9043657,-86.0746357,2.5,41,"Restaurants, Active Life, Pizza, Indoor Playcentre, Kids Activities, Arts & Entertainment, Arcades",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
fca3A91WbGQGUf8-5N0tXA,Havana Cigar Lounge,"9707 District N Dr, Ste 1110",Fishers,IN,39.955027,-86.0014319,3.5,40,"Lounges, Latin American, Restaurants, Cigar Bars, Bars, Nightlife",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3
HH9x7WcNQR3cnwkHo_YL0w,Mimi Blue Meatballs,870 Massachusetts Ave,Indianapolis,IN,39.779627,-86.142661,4.0,567,"Restaurants, Italian, Breakfast & Brunch, American (Traditional), American (New), Sandwiches",1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3
gyrWGcs5-kXkvWcS6e42ZA,Applebee's Grill + Bar,10655 Pendleton Pike,Indianapolis,IN,39.859265,-85.978163,2.5,47,"Sports Bars, Nightlife, Bars, Burgers, Steakhouses, American (Traditional), Sandwiches, Restaurants, Salad",1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3
R3h2cGGF_h-2vnvazbPU2Q,Texas Roadhouse,1405 N Shadeland Ave,Indianapolis,IN,39.787594,-86.044914,3.0,115,"Barbeque, Steakhouses, American (Traditional), Restaurants",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
maVF1aq5M469P41B1GF3Wg,Sultana Cafe & Hookah Bar,1107 N College Ave,Indianapolis,IN,39.7819495,-86.1444276,4.0,128,"Restaurants, Gay Bars, Nightlife, Bars, Mediterranean, Hookah Bars, Middle Eastern",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3
dOk9uk7GKqKr7e4juSiEfg,Bubba's 33,9770 North By Ne Blvd,Fishers,IN,39.93009,-86.026007,4.0,322,"American (Traditional), Bars, Sandwiches, Nightlife, Salad, Restaurants, Burgers, Pizza, Sports Bars",1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,3
5hAUdFPi1QFJJOlFReVexg,Fogo de Chao Brazilian Steakhouse,117 E Washington St,Indianapolis,IN,39.7667119938,-86.1555469969,4.0,781,"Steakhouses, Brazilian, Restaurants, Seafood",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
XwElaqpvIW70qJVCqpVubw,Matt the Miller's Tavern,11 W City Center Dr,Carmel,IN,39.9702962,-86.1274512,4.0,499,"Restaurants, Gastropubs, American (New)",1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3
eFiM5r-Nk30749dNKQXkfg,Boathouse Grill,6225 W 56th St,Indianapolis,IN,39.852335,-86.2694157,4.0,149,"Restaurants, American (New), American (Traditional)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
lYdmx6mXhD5jyXXpdjNFRA,Smokey Bones,780 US Highway 31,Greenwood,IN,39.626847,-86.121427,3.0,106,"Chicken Wings, Barbeque, Restaurants, American (Traditional), Seafood, Burgers",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
v17tgCRjuPQiFOq4uvEI-w,Omoni Fresh Fast Korean Grill,13710 N Meridian St,Carmel,IN,39.9876897,-86.1386452,4.5,362,"Restaurants, Asian Fusion, Food, Burgers, Fast Food, Vegetarian, Korean",1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,4
-3Mc8R5c23FxrxlJn3ivww,Art's Skillet,8255 Pendleton Pike,Indianapolis,IN,39.8381736,-86.0225089,4.5,194,"Restaurants, Breakfast & Brunch",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
oGdbvXKXVCQ8WC_GQePDkQ,3 Sisters Café,6223 N Guilford Ave,Indianapolis,IN,39.8690303,-86.1427806,4.0,358,"Cafes, Restaurants",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4
Xx0u7UOqsqouSz_XGOWX3A,Hotcakes Emporium East,11915 Pendleton Pike,Indianapolis,IN,39.8723299654,-85.9553191,4.0,71,"Breakfast & Brunch, Restaurants",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
bzldjIZDjIvS8vHTMRqNOQ,BJ's Restaurant & Brewhouse,1251 US Hwy 31 N,Greenwood,IN,39.633992,-86.121517,3.5,267,"Breweries, Pizza, American (New), Nightlife, Food, American (Traditional), Bars, Restaurants",1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,4
NhXS2YbDi3N1IrIl0bcnpg,Bazbeaux Pizza,333 Massachusetts Ave,Indianapolis,IN,39.7716674,-86.1533709,4.0,652,"Nightlife, Restaurants, Pizza, Bars, Local Flavor",1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4
ejDrtuWQRGY0a3zjdWO4xg,Tavern on South,423 W South St,Indianapolis,IN,39.761608,-86.166158,3.5,260,"Nightlife, American (New), Bars, Restaurants, Pubs",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4
qDHb_iuDuflIslhS49te0Q,Panera Bread,1346 S Range Line Rd,Carmel,IN,39.9593071,-86.127061,2.5,69,"Restaurants, Sandwiches, Soup, Salad",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4
9xPOQKtIDVaI_fN3ns35LA,Fat Dan's Deli,410 E Michigan St,Indianapolis,IN,39.7741331,-86.1496178,4.0,213,"Delis, Burgers, Nightlife, Sandwiches, American (Traditional), Bars, Restaurants, Barbeque",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4
iNiAJAtsbV5xOQGRtce-NQ,Cooper's Hawk Winery & Restaurant - Indianapolis,3815 E 96th St,Indianapolis,IN,39.926361,-86.101675,4.0,669,"American (New), Venues & Event Spaces, Seafood, Restaurants, Beer, Wine & Spirits, Nightlife, Wine Bars, Event Planning & Services, Bars, Wine Tasting Room, Food, Gluten-Free, Arts & Entertainment, Wineries, American (Traditional)",1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,4
XJ1KN2kQGBIo8h1nWvZNzw,Rick's Cafe Boatyard,4050 Dandy Trl,Indianapolis,IN,39.8276859,-86.3009382,3.5,774,"Cafes, Bars, American (Traditional), Nightlife, Seafood, Restaurants",1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,4
iRTwUQk4fIgUUAWa101r1w,Stixx,361 Indiana Ave,Indianapolis,IN,39.7726576,-86.1627966,4.0,60,"Bars, Restaurants, Nightlife, Cigar Bars, Asian Fusion, Lounges",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4
oT5Bidkfa7cGOp1806ryXQ,Starbucks,1250 E 86th St,Indianapolis,IN,39.9136654,-86.1391224,3.5,28,"Cafes, Restaurants, Food, Coffee & Tea",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4
