,name,address,city,state,latitude,longitude,stars,review_count,categories,is_American,is_Dessert,is_Bar,"is_Beer,Wine,Spirits",is_Breakfast,is_Coffee & Tea,is_Asian,is_Italian,"is_Healthy,Specialty Food",is_Latin American,is_Mediterranean,is_Western European,is_Slavic Food,is_African,is_Food Markets/Shops,rating
wWNsibZNI14jKygnsOpu6w,Panda Express,5870 East Broadway Boulevard.,Tucson,AZ,32.2198444,-110.8655177,1.5,14,"Fast Food, Chinese, Restaurants",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
UIlOq8dHsaqOqTZJVvI8tQ,McDonald's,9130 E Valencia Rd,Tucson,AZ,32.118618,-110.7980859,2.0,41,"Fast Food, Restaurants, Burgers, Coffee & Tea, Food",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
stVRd3d_LVfhAhmExvx1kA,Domino's Pizza,8045 S Rita Rd,Tucson,AZ,32.1059652,-110.8018111,2.0,26,"Sandwiches, Pizza, Restaurants, Chicken Wings",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
7McQCpcpjyAA_TaQPlsirg,Miller's Ale House,554 Fellowship Rd,Mount Laurel,NJ,39.9316742355,-74.9592295843,3.0,362,"Beauty & Spas, Massage, Hair Salons, Restaurants, Nightlife, Bars, Day Spas, Sports Bars, American (Traditional), Seafood, American (New)",1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
wZqZRDkBf4IECiiALKV9PQ,Olive Garden Italian Restaurant,5410 E Broadway Blvd,Tucson,AZ,32.2212288275,-110.8767418861,3.0,190,"Italian, Salad, Nightlife, Restaurants, Bars, Soup, Wine Bars",1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1
nWecZrhDuoS8XpSABpd6nA,Popeyes Louisiana Kitchen,9230 South Houghton Road,Tucson,AZ,32.084633,-110.773268,2.0,78,"Chicken Wings, Fast Food, Restaurants",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
vC2vhaJmX1RpExoHcPOb_A,IHOP,1500 W Grant Rd,Tucson,AZ,32.25094,-110.9988638,2.5,66,"Restaurants, Breakfast & Brunch, Burgers, American (New), American (Traditional)",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
5yjHCLzwHgjKNNHgAaUC8Q,Buffalo Wild Wings,1390 West Irvington Rd,Tucson,AZ,32.1637246709,-110.994393,2.0,134,"American (Traditional), Chicken Wings, Sports Bars, Nightlife, Bars, Restaurants",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0kEyHYpI6ixtq87LV6I1Aw,Cheddar's Scratch Kitchen,3455 E. Broadway Blvd,Tucson,AZ,32.2220365462,-110.9178293294,3.5,530,"Comfort Food, American (Traditional), Southern, Restaurants",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
u9VBun-zmcF59afKELs_NQ,Bruegger's Bagels,8140 S Houghton Rd,Tucson,AZ,32.1039014774,-110.7746873,3.0,36,"Coffee & Tea, Sandwiches, Breakfast & Brunch, Bagels, Food, Restaurants, Burgers",1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
SJPnC_1BEXUxvU2Xvn9rug,Arizona Pizza Company,"13190 E Colossal Cave Rd, Ste 160",Vail,AZ,32.0447770772,-110.7128869344,4.0,168,"Restaurants, Pizza, Salad",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
_umVyfHrU42z4Mak-ixCmA,Filibertos,10221 E Old Vail Rd,Tucson,AZ,32.0886494425,-110.7747166742,2.5,27,"Restaurants, Mexican",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
iuftKhlrXImvtz-OngBJtw,McDonald's,540 W Valencia Rd,Tucson,AZ,32.1343930679,-110.9769668383,1.5,28,"Coffee & Tea, Fast Food, Food, Burgers, Restaurants",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
kldw3rf8_T6J2LxsetQ5UA,Native Grill & Wings,3100 E Speedway Blvd,Tucson,AZ,32.2357497851,-110.9266027808,2.5,220,"Sports Bars, Nightlife, American (New), Restaurants, Pizza, Chicken Wings, Bars, Burgers",1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
jMStvE-tQzSpRCAO0nAE6g,Red Robin Gourmet Burgers and Brews,4605 S Landing Way,Tucson,AZ,32.167311,-110.986422,3.0,159,"Restaurants, Burgers, American (Traditional)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
u6P6I5PZnSlnILY5nFWBJA,Calle Tepa,6151 E Broadway,Tucson,AZ,32.2220412599,-110.8609629602,4.0,721,"Beer, Wine & Spirits, Mexican, Food, Restaurants",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2
HoKH4Rk7wHfVT-60aYIYwA,Hotrods Old Vail,10500 E Old Vail Rd,Tucson,AZ,32.0808791906,-110.7689881325,2.5,283,"Automotive, Bars, Restaurants, American (Traditional), American (New), Nightlife",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
PvClAHXbI_DzGA5mmmUqAg,Toss-Fried Chicken and Ramen,1655 S Alvernon Way,Tucson,AZ,32.2020043,-110.9090542,4.5,79,"Ramen, Burgers, Japanese, Restaurants",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
zfw03c1jP7sYkIfu1da64w,Panda Express,"9565 E. 22nd Street, SUITE 155",Tucson,AZ,32.2068456,-110.7884703,2.0,45,"Restaurants, Fast Food, Chinese",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
hy5GpGXAna-5qrb3zNub6g,On The Border Mexican Grill & Cantina,4160 Church Rd,Mt. Laurel,NJ,39.9235950202,-74.9518829779,3.0,168,"Mexican, Restaurants, Food, Tex-Mex",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
U4K7zPfbp9igbmmJfOyW_Q,Carl's Jr,1880 E Broadway Blvd,Tucson,AZ,32.2211167285,-110.9445511431,2.0,23,"Restaurants, Fast Food, Burgers",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
MWWtxj3R0WGqPzZg1uFmQA,Starbucks,550 Fellowship Rd,Mount Laurel,NJ,39.932395,-74.959232,2.5,67,"Restaurants, Coffee & Tea, Food, Cafes",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
