,name,address,city,state,latitude,longitude,stars,review_count,categories,is_American,is_Dessert,is_Bar,"is_Beer,Wine,Spirits",is_Breakfast,is_Coffee & Tea,is_Asian,is_Italian,"is_Healthy,Specialty Food",is_Latin American,is_Mediterranean,is_Western European,is_Slavic Food,is_African,is_Food Markets/Shops,rating
teFjQxUqT8c-yxQdoILDVQ,Nada,11 W Maryland St,Indianapolis,IN,39.7654786,-86.1587013,4.5,1619,"New Mexican Cuisine, Breakfast & Brunch, Desserts, Nightlife, Bars, Cocktail Bars, Mexican, Latin American, Restaurants, Food, Tacos",0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,3
YafU-Kipt3QbHbHznyqHnQ,Blaze Pizza,11669 Commercial Dr,Fishers,IN,39.958679,-86.011272,3.5,149,"Fast Food, Salad, Restaurants, Pizza",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3
9Ys1CvuL7GFwRdhudvWWfQ,Metro Diner,3954 E 82nd St,Indianapolis,IN,39.909377,-86.098622,4.0,471,"Breakfast & Brunch, Diners, American (Traditional), Restaurants",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
2z1kSiZIk16f1uSD7jG9aw,Ramen Ray,5628 E 71st St,Indianapolis,IN,39.8836213,-86.0723328,4.0,464,"Japanese, Restaurants, Ramen",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4
GXjN3c0swlIfH5kbVxATFQ,101 Beer Kitchen,"9708 District North Dr, Ste 910",Fishers,IN,39.9552384,-86.0010938,4.5,214,"American (New), Gastropubs, Restaurants",1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4
5cPUlTajKaqy4Fo7wKlw5w,The Original Pancake House,8395 E 116th St,Fishers,IN,39.9561557788,-86.0189610162,3.5,131,"Breakfast & Brunch, Restaurants",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
tPYkrHdTsYe_-Ty5EPiP2Q,Iaria's Italian Restaurant,317 S College Ave,Indianapolis,IN,39.761866,-86.145585,4.0,396,"Bars, Restaurants, Nightlife, Italian, Pizza",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4
4Cal2AE6cr7m6nL20Rz2kQ,Ryman Auditorium,116 Rep John Lewis Way N,Nashville,TN,36.1612472,-86.7784711,4.5,574,"Local Flavor, Hotels & Travel, Music Venues, Nightlife, Tours, Historical Tours, Arts & Entertainment, Cinema, Restaurants, Museums, American (Traditional)",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4
LTJdixwQW9VftZNkaMeheQ,El Lago Mexican Restaurant,10150 Brooks School Rd,Fishers,IN,39.935604,-85.9481849,4.0,50,"Restaurants, Mexican",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4
5zqvErekexa_89W6-6uZ4g,LouVino - Fishers,8626 E 116th St,Fishers,IN,39.9571758,-86.016542,4.0,434,"Southern, Wine Bars, Nightlife, Restaurants, Bars, Tapas/Small Plates, Breakfast & Brunch",1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,4
IvcJaZdDDar1dYpiBzJq2w,Flamme Burger - Keystone,8487 Union Chapel Rd,Indianapolis,IN,39.908811,-86.106876,4.0,439,"Restaurants, Seafood, Bars, Nightlife, Burgers, Salad",1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,4
uu0YLm3zfZ1EyNInLFlt9g,Woody's Library Restaurant,40 E Main St,Carmel,IN,39.9786581,-86.125959,3.5,237,"Nightlife, Bars, Restaurants, American (New), Vegetarian",1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4
gqCHiQ0OiDkARDQzlEFUiA,Topgolf,9200 E 116th St,Fishers,IN,39.958485,-86.004865,4.0,389,"Fitness & Instruction, Nightlife, American (New), Golf, Sports Bars, Active Life, Bars, Golf Lessons, Restaurants",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4
pwMejZZUizAZ4aOADafVPg,One World Market,8466 Castleton Corner Dr,Indianapolis,IN,39.9101586567,-86.0733542094,4.5,398,"Japanese, Restaurants, Grocery, Sushi Bars, Food, International Grocery",0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,4
sr-5EY6bmp4jINhea06MjA,The Cake Bake Shop by Gwendolyn Rogers-Broad Ripple Village,6515 Carrollton Ave,Indianapolis,IN,39.8739995,-86.1444306,4.0,996,"Restaurants, Bakeries, Desserts, Patisserie/Cake Shop, American (Traditional), Cafes, Coffee & Tea, Cupcakes, French, Sandwiches, Food, American (New), Breakfast & Brunch",1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,4
uH7EepS3kXC-63NI0DDbYw,Piada Italian Street Food,8601 River Crossing Blvd,Indianapolis,IN,39.912704,-86.10623,4.0,263,"Salad, Italian, Restaurants, Wraps",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4
pp7n4Oiexz69Beg7Xl8Tjw,Blu Moon Eats Catering,"200 S Rangeline Rd, Ste 115",Carmel,IN,39.9766,-86.127255,4.0,136,"Caterers, Event Planning & Services, Delis, Restaurants, American (New), Food, Cafes, Desserts, Coffee & Tea",1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,4
1KpNlu8VM8ukw3uOzmMFPA,BB King's Blues Club,152 2nd Ave N,Nashville,TN,36.1634244309,-86.7760296865,3.5,583,"Music Venues, American (Traditional), Wine Bars, Restaurants, Jazz & Blues, Nightlife, Bars, Arts & Entertainment",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4
yG6xPzw5PAaIqEOigt3jtQ,Sahm's Restaurant,11505 Allisonville Rd,Fishers,IN,39.9550167,-86.0394852,4.0,116,"American (Traditional), Food, Nightlife, Beer, Wine & Spirits, Restaurants, Bars, Cocktail Bars, Comfort Food",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4
oThWInL6gUCt2d98fSIAfA,Chatham Tap Fishers,"8211 E 116th St, Ste 120",Fishers,IN,39.9565163876,-86.0230119251,3.5,262,"Restaurants, Food, Beer, Wine & Spirits, Nightlife, British, American (Traditional), American (New), Chicken Wings, Bars, Pubs",1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,4
_m0mp3Wjcteysto6azQ9iA,Seasons 52,8650 Keystone Crossing,Indianapolis,IN,39.9129602292,-86.1120176283,4.5,574,"Bars, Vegetarian, American (Traditional), Nightlife, American (New), Wine Bars, Gluten-Free, Restaurants, Seafood, Breakfast & Brunch",1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,4
B0Vbec9zFG6J-NbnUgaItA,Muldoon's of Carmel,"111 W Main St, Ste 100",Carmel,IN,39.978258,-86.128673,3.5,169,"Bars, Irish, American (New), Restaurants, Pubs, Nightlife",1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4
Xv5rxZGfOQvhJHhsBLjW-Q,Mimi Blue,8702 Keystone Crossing,Indianapolis,IN,39.9146201,-86.11124,4.0,127,"Restaurants, Breakfast & Brunch, American (New), Sandwiches",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
cGsewW-9GdycDS3YT_eUMA,The Cheesecake Factory - Indianapolis,"8701 Keystone Crossing, Ste 4A",Indianapolis,IN,39.9135560495,-86.1083935818,3.0,555,"Salad, Desserts, Restaurants, Food, American (Traditional), Seafood, American (New)",1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,4
4LG0U_Gxc45-FanbjwoBvw,Four Day Ray Brewing,11671 Lantern Rd,Fishers,IN,39.9580802,-86.0137119,4.0,644,"Restaurants, Food, Breweries, Bars, Gastropubs, Pubs, Nightlife, American (Traditional)",1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,4
Iszshjj6I_02Okm5sPpsnw,Wolfies Grill -- Geist,11699 Fall Creek Rd,Indianapolis,IN,39.9301758662,-85.9420043376,3.5,207,"Nightlife, Burgers, Bars, Sports Bars, American (Traditional), Restaurants",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4
-B_2jHrwV2nWNqdoWtBC8A,RIZE - Indianapolis,"2721 E 86th St, Ste 120",Indianapolis,IN,39.9119906,-86.1177247,4.5,344,"Breakfast & Brunch, Restaurants, Juice Bars & Smoothies, Food, American (New)",1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,4
8yR12PNSMo6FBYx1u5KPlw,Bru Burger Bar - Indianapolis,410 Massachusetts Ave,Indianapolis,IN,39.7733071672,-86.1520911055,4.0,1608,"Restaurants, Gluten-Free, Bars, Food, Nightlife, Sandwiches, Burgers",1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,4
