,name,address,city,state,latitude,longitude,stars,review_count,categories,is_American,is_Dessert,is_Bar,"is_Beer,Wine,Spirits",is_Breakfast,is_Coffee & Tea,is_Asian,is_Italian,"is_Healthy,Specialty Food",is_Latin American,is_Mediterranean,is_Western European,is_Slavic Food,is_African,is_Food Markets/Shops,rating
WNqqyUtEmrqCBEHNV9sj5Q,Marcello's Coal Fired Restaurant & Pizza,206 Farnsworth Ave,Bordentown,NJ,40.1468302361,-74.7126052318,4.0,390,"Italian, Nightlife, Restaurants, Bars, Pizza, Beer Bar",0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,2
1hPvAr6D7yPpGbD_4RMqmQ,Treno Pizza Bar,233 Haddon Ave,Westmont,NJ,39.908728,-75.046305,3.5,304,"Restaurants, Bars, Italian, Pizza, Nightlife",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3
NLVsIjPW6ungGB4k1QenfQ,Joe's Crab Shack,2000 Clements Bridge Rd,Deptford,NJ,39.8409638544,-75.092099905,3.0,119,"Restaurants, Seafood",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
6JHO6E6brnJOPK5476QY6A,P.J. Whelihan's Pub + Restaurant - Cherry Hill,1854 Marlton Pike E,Cherry Hill,NJ,39.90542871,-74.97215267,2.5,217,"Nightlife, Chicken Wings, Gastropubs, Bars, Pubs, American (New), Sports Bars, Restaurants, Burgers, American (Traditional)",1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3
HdYyrc45219Hg1YneqOyvg,Red Robin Gourmet Burgers and Brews,2100 Rte 38,Cherry Hill,NJ,39.939942,-75.020122,3.0,130,"American (Traditional), Burgers, Restaurants",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
GC8ie0IBCv9hOAgpmQIqAw,Boston Market,1201 Nixon Dr,Moorestown,NJ,39.9406476,-74.9622847872,3.0,28,"Caterers, Restaurants, Event Planning & Services, American (Traditional), Comfort Food, Sandwiches, Chicken Shop",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
EtKSTHV5Qx_Q7Aur9o4kQQ,Village Whiskey,118 S 20th St,Philadelphia,PA,39.9514165949,-75.1737677917,4.0,1553,"Bars, Nightlife, Whiskey Bars, Burgers, Restaurants, American (New)",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
aUoMG97DMJG4nmwhT6z1zA,Devon Seafood Grill,225 S 18th St,Philadelphia,PA,39.94949,-75.17066,3.5,1159,"Bars, Restaurants, Nightlife, Seafood",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3
jczcj0QDuSF8L0eHgc8b8Q,Pho Barclay,65 Barclay Pavilion,Cherry Hill,NJ,39.9103788219,-74.9972194317,3.5,201,"Bubble Tea, Asian Fusion, Thai, Restaurants, Food, Juice Bars & Smoothies, Vietnamese",0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,3
p8ao29A31ijNwDXuAxQxjA,Maggiano's Little Italy,"2000 Route 38, Ste 1180",Cherry Hill,NJ,39.9403458573,-75.0244843243,3.5,326,"Restaurants, Nightlife, Italian, Bars",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3
BxfvdHqETU8jWYUjx5OL2A,Shake Shack,2000 Sansom St,Philadelphia,PA,39.9512256328,-75.1737892628,3.5,777,"Food, Hot Dogs, Burgers, Ice Cream & Frozen Yogurt, Fast Food, American (Traditional), Restaurants",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
z6W9yJJAl2uYLNi_N8-OBg,Panera Bread,500 Route 73 S,Marlton,NJ,39.876194,-74.919723,2.5,58,"Breakfast & Brunch, Bakeries, Restaurants, Food, Sandwiches, Salad, Soup, Bagels",1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,3
ZabkbBzscq6GJNtsYZZwrg,Amici Restaurant,312 Kresson Rd,Cherry Hill,NJ,39.8928549,-75.0149529,4.0,100,"Breakfast & Brunch, Seafood, Restaurants, Tuscan, Steakhouses, Italian",1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,3
DWVh69pl7bV3tBT0UV1stA,Central Taco & Tequila,350 Haddon Ave,Haddon Township,NJ,39.90571856,-75.04368026,3.5,289,"Tacos, Restaurants, Mexican, Nightlife, Cocktail Bars, Bars",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3
7McQCpcpjyAA_TaQPlsirg,Miller's Ale House,554 Fellowship Rd,Mount Laurel,NJ,39.9316742355,-74.9592295843,3.0,362,"Beauty & Spas, Massage, Hair Salons, Restaurants, Nightlife, Bars, Day Spas, Sports Bars, American (Traditional), Seafood, American (New)",1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3
v72qGvd53IxhM2m8aatOpg,Kanella Grill,1001 Spruce St,Philadelphia,PA,39.9463188,-75.1579609,4.0,242,"Falafel, American (Traditional), Greek, Mediterranean, Breakfast & Brunch, Restaurants, Middle Eastern",1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3
RjPZKKPjQtOyi2qRPOeAUA,Five Guys,161 Rt 73 S,Marlton,NJ,39.890347,-74.9270545,3.5,29,"Burgers, Food, Fast Food, American (New), Restaurants",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
U4ALy9epZHEwFl3FnGun6w,Whole Hog Cafe,1811 Rte 70 W,Cherry Hill,NJ,39.9184526796,-75.0327791954,4.0,246,"Restaurants, Event Planning & Services, Caterers, American (Traditional), Barbeque, Salad, Sandwiches",1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
g2zwbLIqxtN9nGGuL43trg,Pizza Brain,2313 Frankford Ave,Philadelphia,PA,39.9806746,-75.1280968,4.0,575,"Restaurants, Pizza, Specialty Food, Museums, Food, Arts & Entertainment",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3
i_FlDEF0ajMd8y8UFrsJJg,Shake Shack,321 Rte W 70,Marlton,NJ,39.8952645328,-74.9301140528,3.5,144,"American (Traditional), Fast Food, Restaurants, Hot Dogs",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
nKpWUL3kMt4cnNQhye2WqA,The Red Hen,1301 Kings Hwy,Swedesboro,NJ,39.7491659402,-75.3087272847,3.0,265,"Food, Sandwiches, American (Traditional), Restaurants, Candy Stores, Specialty Food, American (New), Cheese Shops",1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
sTPueJEwcRDj7ZJmG7okYA,Jim's South St,400 S St,Philadelphia,PA,39.941498,-75.149272,3.5,2736,"Bars, Restaurants, Pizza, Cheesesteaks, Italian, Beer Bar, American (Traditional), Local Flavor, Nightlife, Sandwiches",1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,3
9KBYd2U-in2lToO98Z8lRg,Allora,892 Rt 73 N Marlton,Evesham Township,NJ,39.9064729388,-74.9366934,4.0,110,"Event Planning & Services, Restaurants, Caterers, Italian",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3
s3E_OAafutZHslDkkMnDQA,Prospector's Grille & Saloon,3050 Rt 38 At Ark Rd,Mount Laurel,NJ,39.9699952704,-74.8707640415,3.0,262,"Music Venues, Bars, Nightlife, Arts & Entertainment, Restaurants, American (Traditional)",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
kWrk1WoNlgn0mT-CUxQtfw,Luigis Pizza Fresca,529 Old Marlton Pike W,Marlton,NJ,39.8939316753,-74.9352559675,3.5,98,"Italian, Restaurants, Pizza",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
uzgusWzm-psFn4mD24pEDw,Vito's Pizza,1500 Berlin Rd,Cherry Hill,NJ,39.877912988,-75.0058973076,3.0,92,"Sandwiches, Pizza, Restaurants",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
i1WPpsuD5gyLppyB71vv6A,Bahama Breeze,"2000 Nj-38, Ste 1170",Cherry Hill,NJ,39.9401898723,-75.0257360693,3.5,380,"Nightlife, Latin American, Bars, Laotian, Seafood, Caribbean, Restaurants",0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,3
d3jvj0_Bll5Tck4jkp6KGw,Mission BBQ,545 Route 73 N,Marlton,NJ,39.902288,-74.935145,4.0,87,"Barbeque, American (Traditional), Restaurants",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
vOzo4wlUNty2NQuylDrqKA,The British Chip Shop,146 Kings Hwy E,Haddonfield,NJ,39.8974689,-75.0323236,3.5,246,"Fish & Chips, Bakeries, Desserts, Food, Fast Food, British, Restaurants, American (Traditional)",1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3
S2cKcdtOIDFyUfXYNPJUIw,The Turning Point of Marlton,300 Rte 73 S,Marlton,NJ,39.8904456623,-74.923508074,4.0,410,"American (Traditional), Food, Breakfast & Brunch, Juice Bars & Smoothies, Coffee & Tea, Restaurants",1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,3
my8iGnzOiOO3__WCuRRlbQ,Bricco Coal Fired Pizza,128 Haddon Ave,Westmont,NJ,39.9104640797,-75.0499493508,4.0,286,"Food, Caterers, Italian, Specialty Food, Restaurants, Event Planning & Services, Pizza",0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,3
9RiIQA4M2Y0AU3TkASJn3A,Nunzio Ristorante Rustico,706 Haddon Ave,Collingswood,NJ,39.9158469,-75.068842,4.0,237,"Restaurants, Italian",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
NWF16GKQyZNVHo086gIVzQ,Kamals Middle Eastern Specialties,51 N 12th St,Philadelphia,PA,39.9528558776,-75.1586364432,3.5,187,"Middle Eastern, Food, Restaurants, Mediterranean, Juice Bars & Smoothies",0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,3
YH4q3-gWnglR1vstuEM8nA,Carlucci's Waterfront,876 Centerton Rd,Mount Laurel,NJ,39.9969954,-74.8757947,3.5,359,"Seafood, Restaurants, Steakhouses, Italian, Caterers, Event Planning & Services",1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3
5KS5b5-ip8znhJS_CYdzeQ,Iron Hill Brewery & Restaurant,124 East Kings Hwy,Maple Shade,NJ,39.9471691258,-74.973307339,4.0,384,"Breweries, American (New), Restaurants, Food",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
4e9tguRcMc4S5hzBlfC62A,The Farm and Fisherman Tavern,1442 Marlton Pike E,Cherry Hill,NJ,39.9102067,-74.9905768,4.0,709,"Restaurants, American (New)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
8voMje9Zf6Li_FKVha4dLg,Villa Barone,753 Haddon Ave,Collingswood,NJ,39.9159156473,-75.0673384767,4.0,173,"Restaurants, Italian",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
b6qRWQWf1bEA7wcRwNLu0g,King of Pizza,2300 Marlton Pike W,Cherry Hill,NJ,39.9251549809,-75.0472113012,3.5,141,"Restaurants, Chicken Wings, Pizza, Cheesesteaks",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
0aflm9H-XNg8eUAoeWmh9Q,P.F. Chang's,"500 Route 73 S Spc G1, Spc G1",Marlton,NJ,39.8802878616,-74.9210900019,3.0,260,"Asian Fusion, Chinese, Restaurants, Gluten-Free",0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,3
Wr2k0Vz8RbcumYulp-jIrA,Han Dynasty,404 Rt 70 E,Cherry Hill,NJ,39.91302,-75.0023132,4.0,411,"Restaurants, Chinese, Szechuan",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
KzzIvPIIutBg8wDPPGHJBQ,Francos,65 Rt 70 E,Marlton,NJ,39.8926582338,-74.9186027707,4.0,58,"Restaurants, Pizza, Sandwiches, Italian",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
Tl24lMv2aCuLs4u45NquJQ,Lamberti's Tutti Toscani,1491 Brace Rd,Cherry Hill,NJ,39.8892184,-75.0168699,4.5,163,"Italian, Restaurants",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
wb_z1h7XR5IQhVRZHlMuLQ,Redstone American Grill,500 Rte 73 S,Marlton,NJ,39.879070452,-74.9208447975,4.0,554,"Restaurants, Diners, American (New), American (Traditional), Salad",1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3
0RmN5d21noHAkiDYL0j5Xw,Sang Kee Noodle Cafe,1601 Kings Hwy N,Cherry Hill,NJ,39.9162198,-75.0070253,4.0,232,"American (New), Chinese, Restaurants, Noodles",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
9UqcR1w5JMS7uuiI8d3gVQ,Cacia's Bakery - Cherry Hill,2081 Old Marlton Pike E Rte 70,Cherry Hill,NJ,39.896137,-74.9491325028,3.5,15,"Restaurants, Pizza, Bakeries, Food, Sandwiches, Italian",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3
I4GAOtrRYbinmI3zEwqxVQ,Under the Moon Cafe,210 Farnsworth Ave,Bordentown,NJ,40.146705,-74.712599,4.0,275,"Cafes, Latin American, Argentine, Basque, Bakeries, American (New), Restaurants, Comfort Food, Italian, Food, Breakfast & Brunch, Tapas/Small Plates, Asian Fusion",1,1,0,0,1,1,1,1,0,1,0,1,0,0,0,3
O1kxISHZDJj55d4G2Xoevg,Harvest Seasonal Grill - Moorestown,400 NJ-38,Moorestown,NJ,39.9444645818,-74.9622941415,4.0,333,"Local Flavor, Nightlife, Wine Bars, Restaurants, Caterers, Event Planning & Services, Seafood, Bars, American (New)",1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,3
