,name,address,city,state,latitude,longitude,stars,review_count,categories,is_American,is_Dessert,is_Bar,"is_Beer,Wine,Spirits",is_Breakfast,is_Coffee & Tea,is_Asian,is_Italian,"is_Healthy,Specialty Food",is_Latin American,is_Mediterranean,is_Western European,is_Slavic Food,is_African,is_Food Markets/Shops,rating
4ABQAbdbd7jx5ZEhLFn2HQ,Chili's,901 Arnold Commons Dr,Arnold,MO,38.4385729838,-90.3847897053,3.0,41,"Mexican, Tex-Mex, Nightlife, American (Traditional), Sports Bars, Bars, Restaurants",1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
7lKqbic_KKm1urrp5tC8nw,Smokee Mo's Arnold BBQ,606 Jeffco Blvd,Arnold,MO,38.4511617,-90.3638215,4.0,218,"Barbeque, Sandwiches, Italian, Restaurants, Caterers, Event Planning & Services, Food, Food Delivery Services",1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2
xafbpaLav1JniOyoLlhHrA,Frankie Gianino's,1209 Main St,Imperial,MO,38.3706153281,-90.3857827862,3.5,119,"American (New), Italian, Restaurants, Sandwiches",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
drmfvMch9rjoi_yV8I9ywA,Arbys,224 Arnold Crossroads Ctr,Arnold,MO,38.4451852,-90.3751113,2.0,8,"Sandwiches, Burgers, American (Traditional), Restaurants, Food, Fast Food",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
z5BLSMc92pwbGEqeaUPmDg,Syberg's Arnold,249 Arnold Crossroads Ctr,Arnold,MO,38.4446671,-90.3767904,4.0,166,"Chicken Wings, American (New), Restaurants, Bars, Sandwiches, Nightlife, Sports Bars",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
5CTHq4_zCjPi56h3c7Fmtg,Texas Roadhouse,806 Arnold Commons Dr,Arnold,MO,38.439346,-90.38206,3.5,131,"Steakhouses, Restaurants, American (Traditional), Barbeque",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
n4PdRDOWgBOhke7AqCW3FA,Shake Shack,60 North Euclid,St. Louis,MO,38.641616,-90.261793,3.5,359,"Ice Cream & Frozen Yogurt, American (Traditional), Food, Bars, Nightlife, Restaurants",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3
ujGvu5TdENPnAsarAw2x6w,The Concord Grill,11427 Concord Village Ave,Saint Louis,MO,38.525034,-90.3562098,3.5,160,"Pubs, Burgers, American (Traditional), Restaurants, American (New), Sandwiches, Bars, Nightlife, Barbeque",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
lSUUTSNZSINJizxjBQORpQ,Pomodoro's Pasta & Subs,3618 Jeffco Blvd,Arnold,MO,38.4109442,-90.3807578,4.0,17,"Restaurants, Italian, Caterers, Event Planning & Services",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4
jhT1Ifc8BuTv2fQoIchYjw,Weber's Front Row,3930 Vogel Rd,Arnold,MO,38.4165840149,-90.393081665,3.0,79,"American (Traditional), Restaurants, Nightlife, Bars",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4
7_mN08RcG_2S0Q4qMT2BdQ,Domino's Pizza,1271 Main St,Imperial,MO,38.37051,-90.387393,2.0,13,"Sandwiches, Italian, Restaurants, Chicken Wings, Pizza",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
