,name,address,city,state,latitude,longitude,stars,review_count,categories,is_American,is_Dessert,is_Bar,"is_Beer,Wine,Spirits",is_Breakfast,is_Coffee & Tea,is_Asian,is_Italian,"is_Healthy,Specialty Food",is_Latin American,is_Mediterranean,is_Western European,is_Slavic Food,is_African,is_Food Markets/Shops,rating
c9Toxujofd1JvFySG-t_MA,Sonic Drive-In,4936 Linder Rd,Meridian,ID,43.6494345,-116.4132111,1.5,46,"Burgers, Food, Restaurants, Fast Food, Ice Cream & Frozen Yogurt",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BoIt6TtgioNRp8zCRXMWzg,Diablo & Sons Saloon,246 N 8th St,Boise,ID,43.6165919,-116.2023165,4.0,196,"Bars, Whiskey Bars, Nightlife, American (Traditional), Mexican, Breakfast & Brunch, Tacos, Restaurants, Beer Bar, American (New), Cocktail Bars",1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1
Pz4BjuaA6cjF0FeC6j-dmw,Amsterdam Lounge,609 W Main St,Boise,ID,43.6144917,-116.2017761,3.5,60,"Coffee & Tea, Cocktail Bars, Nightlife, Tapas/Small Plates, Bars, Food, Dive Bars, Lounges, Restaurants",0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1
uphS02F1l3Nfp0wD6l8E_A,Carl's Jr,1320 N Eagle Rd,Meridian,ID,43.6168998904,-116.3539182479,2.0,21,"Salad, Breakfast & Brunch, Burgers, Restaurants, Fast Food",1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2
PSy-g99cUhi0FRyTKmPRQg,Taco Bell,6560 N. Linder Road,Eagle,ID,43.664327,-116.413251,1.5,52,"Tex-Mex, Restaurants, Fast Food, Breakfast & Brunch, Mexican, Tacos",1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2
66pIa8VXmTQIHkMxMv_f0w,McDonald's,1460 W Chinden Blvd,Eagle,ID,43.663389609,-116.4110630751,2.0,25,"Restaurants, Burgers, Fast Food, Coffee & Tea, Salad, Food",1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2
vZp4m4jinDVR9q-o6a-Bag,Jersey Mike's Subs,"1511 W Mcmillan Rd, Ste 170",Meridian,ID,43.648388,-116.412445,3.0,25,"Fast Food, Restaurants, Sandwiches, Delis",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
hjts5I-AFBjhNIeJuyU8ZQ,Louie's Pizza and Italian Restaurant,2500 E Fairview Ave,Meridian,ID,43.6199003,-116.3633899,3.5,147,"Italian, Pizza, Restaurants",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
p7xYhOyY5JSEVqrbNT4pCA,Applebee's Grill + Bar,1460 N Eagle Rd,Meridian,ID,43.618103,-116.3538569,2.5,59,"Sports Bars, Steakhouses, Restaurants, Nightlife, Bars, American (Traditional), Burgers",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
Cc2WkBGuXwTD5axRxcWHRw,Riverside Grill,2900 W Chinden Blvd,Boise,ID,43.6196196,-116.2349316,3.5,33,"Restaurants, American (Traditional), American (New), Beer, Wine & Spirits, Breakfast & Brunch, Food",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2
uSWRsoxYkvryKttOHZHDiw,Yogurtz Grill,1560 N Locust Grove Rd,Meridian,ID,43.6191717359,-116.3737082467,3.5,64,"Food, Salad, Ice Cream & Frozen Yogurt, Restaurants, American (Traditional), Burgers",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3
Dnlg9XT7FlruWq7B-V88Cw,Red Robin Gourmet Burgers and Brews,1475 N Eagle Rd,Meridian,ID,43.618449,-116.3554545,2.5,162,"Food, Burgers, Restaurants, American (Traditional)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
yZkxrcoh0vE4-HCeRG47Zw,Waffle Love,"4698 N Linder Rd, Ste 110",Meridian,ID,43.6474066,-116.4132976,4.0,75,"Waffles, Fast Food, Breakfast & Brunch, Restaurants",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3
Vsbe7-4gt485ri-WQOsP2A,BACON,121 N 9th St,Boise,ID,43.616865,-116.204535,3.5,339,"Nightlife, Breakfast & Brunch, Restaurants, Food Delivery Services, Food, Bars, Cocktail Bars, Southern",1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,3
mUhdrtcDU9ane-kaxMHlWA,The Cheesecake Factory,330 N Milwaukee,Boise,ID,43.6071322,-116.2785123,3.0,289,"Food, Restaurants, Seafood, Desserts, American (Traditional), Salad, American (New)",1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,3
YSJZZ1_8uHIIV4w44RSllA,Flying Pie Pizzaria,601 S Main St,Meridian,ID,43.598946,-116.3929,3.0,160,"Restaurants, Pizza",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
0MRxCrYwOVdza3lEa4_Plg,Flatbread Neapolitan Pizzeria,"800 W Main St, Ste 230",Boise,ID,43.6161421,-116.2034852,4.0,189,"Beer, Wine & Spirits, Sandwiches, Pizza, Salad, Food, Restaurants",1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,4
ByTGgZOy9QLWwsPh5RKkfw,Sarah's Bagel Cafe Meridian,"450 S Meridian Rd, Ste 15",Meridian,ID,43.6008257,-116.3929636,3.5,45,"Delis, Restaurants, Bagels, Bakeries, Juice Bars & Smoothies, Sandwiches, Food",1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,4
fN36I-dXUjXCEgDKRi2hjg,Treasure Valley Coffee - Boise,11875 W President Dr,Boise,ID,43.6105116,-116.329738,4.0,42,"Food, Restaurants, Coffee & Tea",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4
TZpGfN1prJBu7ldErjL50A,Red Robin Gourmet Burgers and Brews,267 N Milwaukee St,Boise,ID,43.607424,-116.283725,2.5,107,"Restaurants, American (Traditional), Burgers",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
iElAd7zHOR9ytv3SQ6fMew,Smoky Mountain Pizzeria Grill,127 E State St,Eagle,ID,43.6949217,-116.3523655,4.0,156,"Pizza, Restaurants, Sandwiches, Italian, Burgers",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
hjts5I-AFBjhNIeJuyU8ZQ,Louie's Pizza and Italian Restaurant,2500 E Fairview Ave,Meridian,ID,43.6199003,-116.3633899,3.5,147,"Italian, Pizza, Restaurants",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
BxveKq0rKp52EWooIDK54w,Denny's,3155 E Fairview Ave,Meridian,ID,43.6188094156,-116.3567735568,2.0,88,"Breakfast & Brunch, American (Traditional), Restaurants, Diners",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
dB0h6ULGQiFuhE2G3zh-uQ,McDonald's,3415 W Cherry Ln,Meridian,ID,43.6189221432,-116.4358717444,2.0,16,"Restaurants, Coffee & Tea, Food, Burgers, Fast Food",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4
kgeiJzWSiXPnf-3wx7LHIQ,Panera Bread,3421 N Eagle Rd,Meridian,ID,43.6361060294,-116.3547924344,3.0,81,"Sandwiches, Salad, Soup, Restaurants",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4
dl1QHd3dx_iMB0nz3P0rEg,Fiesta Guadalajara A Family Mexican Restaurant,"3210 E Chinden Blvd, Ste 100",Eagle,ID,43.664240496,-116.3538855229,3.0,39,"Mexican, Restaurants",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4
csswkEg0FxRKnNIp3Y_VNg,Smoky Mountain Pizzeria Grill,980 E Fairview Ave,Meridian,ID,43.6197496,-116.381469,3.5,115,"Italian, Burgers, Pizza, Restaurants",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5
OWBaCrkOf6ezjf4OA_Q5vQ,KJ's American Grille,1565 S Meridian Rd,Meridian,ID,43.5910652,-116.3943618,3.5,50,"Seafood, Salad, Breakfast & Brunch, Restaurants",0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,5
BvRJCEqexcpYjNTB-C388A,Kona Grill,"3573 E Longwing Ln, Ste 140",Meridian,ID,43.6213377,-116.3496744,3.5,517,"Restaurants, Sushi Bars, American (New)",1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,5
CMiTXglTH36Z1Crwpf8nNQ,McDonald's,1710 E Fairview Ave,Meridian,ID,43.6198172922,-116.3729855253,2.0,18,"Coffee & Tea, Food, Burgers, Restaurants, Fast Food",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5
jgOgj1gvfPy3DEIpSjQiOQ,McDonald's,18200 Wedge Pkwy,Reno,NV,39.3938416506,-119.7654397041,2.0,37,"Restaurants, Burgers, Fast Food, Coffee & Tea, Food",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5
-wDFSijpAhNAuKXnp6q_-A,Taco Bell,3680 N Eagle Rd,Boise,ID,43.638353,-116.354061,1.5,37,"Restaurants, Breakfast & Brunch, Tacos, Mexican, Fast Food, Tex-Mex",1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,5
wwneev53BfrW7iVuS4pzrA,"The Human Bean Meridian, N. Meridian Rd",1635 N Meridian Rd,Meridian,ID,43.61885301,-116.39391046,4.0,29,"Food, Bakeries, Bagels, Coffee & Tea, Restaurants",0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,5
wjfMz__91zzbMvuArE6dwA,Big Daddy's BBQ,"1551 W Cherry Ln, Ste 102",Meridian,ID,43.6187062,-116.4126263,4.0,204,"Caterers, Beer Bar, Salad, Nightlife, Restaurants, Event Planning & Services, Barbeque, Burgers, American (Traditional), Sandwiches, Specialty Food, Bars, Food",1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,5
zgdGeg4L13C2Rbm4UARtHw,Island Sushi & Ramen,8716 W Fairview Ave,Boise,ID,43.619719,-116.290423,4.5,313,"Restaurants, Desserts, Japanese, Ramen, Food, Sushi Bars",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,5
IUlY_doA5B-EQzvrwyqzIA,Dairy Queen Grill & Chill,4849 N Meridian Rd,Meridian,ID,43.6487518955,-116.3945031166,2.5,15,"Restaurants, Food, Fast Food, Automotive, Ice Cream & Frozen Yogurt, Burgers, Convenience Stores, Gas Stations",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1U5ZqhfQZXPw0v_Fa29WBw,The Original Sunrise Cafe,805 N Main St,Meridian,ID,43.6112207,-116.3918303,3.5,81,"Cafes, Restaurants, Food, Coffee & Tea, Bakeries, Breakfast & Brunch",0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,5
DU8PdyQtHBm2ldi9Sp4K4A,Coned Pizza,"2976 E Overland Rd, Ste 110",Meridian,ID,43.5907408831,-116.3573179767,4.5,83,"Restaurants, Fast Food, Pizza",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5
o1XFkEB34jUry4Vk_L1xdg,Joe's Crab Shack,2288 N Garden St,Boise,ID,43.6208,-116.232737,3.0,141,"American (Traditional), Restaurants, Seafood, Gluten-Free",1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,5
EZuIzN2oAdZt-dkbdwH0pw,Sockeye Brewing,12542 W Fairview Ave,Boise,ID,43.6204010336,-116.3383125233,4.0,236,"Sandwiches, American (Traditional), Restaurants, Nightlife, Salad, American (New), Breweries, Bars, Food, Gastropubs, Pubs",1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,5
TzgPHuqYMaU2hafYkJDRgQ,McDonald's,3251 E Ustick Rd,Meridian,ID,43.6335264296,-116.3535112896,3.0,15,"Food, Burgers, Coffee & Tea, Fast Food, Restaurants",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5
0xqJHSZLQGj0L3VGrh80ng,Gandolfos New York Deli,"1410 W McMilan Rd, Ste 110",Meridian,ID,43.6486689,-116.4123235508,4.0,22,"Restaurants, Delis",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
SDF1usj2mnUNqbIy4JBQTQ,Lucky Perk Coffee,1551 W Cherry Ln,Meridian,ID,43.6186942,-116.4124079,4.0,24,"Food, Restaurants, Coffee & Tea",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5
AK6-1pokrB84QV8fFL-z0w,The Rusty Dog,,Boise,ID,43.6320897,-116.2863998,4.5,13,"Event Planning & Services, Food, Street Vendors, Caterers, Restaurants, Food Trucks, Food Stands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
3zpqHMQV-XrBm_h2UDIzHg,SlyceBox,916 N Main St,Meridian,ID,43.6123387,-116.3912902,3.5,35,"Restaurants, Pizza, Salad, Bars, Sandwiches, Nightlife",1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,5
pOhfM0OlLdG-XcKaGk-LYg,Main Street Burger,1615 N Main St,Meridian,ID,43.6184629,-116.3919133,4.0,143,"Burgers, Salad, Restaurants, Fast Food, Food",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5
tExeZMS1okUFX5yttstYvg,Capri Restaurant - Meridian,1407 W McMillan Rd,Meridian,ID,43.648009,-116.411785,4.0,19,"Restaurants, American (Traditional), Breakfast & Brunch, Food, Diners, Ice Cream & Frozen Yogurt",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,5
