,name,address,city,state,latitude,longitude,stars,review_count,categories,is_American,is_Dessert,is_Bar,"is_Beer,Wine,Spirits",is_Breakfast,is_Coffee & Tea,is_Asian,is_Italian,"is_Healthy,Specialty Food",is_Latin American,is_Mediterranean,is_Western European,is_Slavic Food,is_African,is_Food Markets/Shops,rating
4jkH3istYst8zxLxb-QVmg,La Parrilla Suiza,5602 E Speedway Blvd,Tucson,AZ,32.236014,-110.872951,3.0,340,"Mexican, Restaurants",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
WQ0Hn0QaJZpygRyr3ALWSg,The Grill at Hacienda Del Sol,5501 N Hacienda Del Sol Rd,Tucson,AZ,32.308080259,-110.9144787513,3.5,344,"Breakfast & Brunch, Event Planning & Services, Hotels, Nightlife, American (New), Resorts, Wine Bars, Hotels & Travel, Restaurants, American (Traditional), Bars",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,2
plYw0lBpAIBdwqH8FY1H_A,Casa Molina,6225 E Speedway Blvd,Tucson,AZ,32.236514,-110.8595295,3.0,251,"Mexican, Latin American, Restaurants",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
ltmenUcFgNv7fPOU2BiwKw,El Minuto Cafe,354 S Main Ave,Tucson,AZ,32.2165809,-110.974654,3.5,224,"Food, Restaurants, Mexican",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
HUhlFVMjZOgj1-N0JmCo-g,Brother John's Beer Bourbon & BBQ,1801 N Stone Ave,Tucson,AZ,32.243993,-110.972209,3.5,555,"Arts & Entertainment, Nightlife, Bars, Music Venues, Beer Gardens, American (Traditional), Restaurants, Sandwiches, Barbeque",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2
yl0yqngQGbW2hPmf5L427g,Rusty's Family Restaurant & Sports Grille,2075 W Grant Rd,Tucson,AZ,32.250342,-111.0114339,3.5,108,"Bars, Sports Bars, Nightlife, Restaurants, American (Traditional), Italian",1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2
iOFbMitGdfU6i5xm4nZ8Ww,Blue Willow Restaurant & Gift Shop,2616 N Campbell Ave,Tucson,AZ,32.2544129,-110.9435152,4.0,625,"Cards & Stationery, Event Planning & Services, Food, Bakeries, Flowers & Gifts, Nightlife, Breakfast & Brunch, Cocktail Bars, Bars, Shopping, Vegetarian, Gift Shops, Cafes, Beer Bar, Mexican, Gluten-Free, Restaurants, Wine Bars, Arts & Crafts, American (Traditional), American (New), Souvenir Shops",1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,2
AUBQPQ8wftMBbP2Q3Lbn0w,Sakura,6534 E Tanque Verde Rd,Tucson,AZ,32.24547,-110.853369,2.5,217,"Seafood, Restaurants, Teppanyaki, Japanese, Nightlife, Sushi Bars",0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2
NagkUmgLHFd1s8RTk1tcKw,Old Father Inn,4080 W Ina Rd,Marana,AZ,32.3381201,-111.0530731,3.0,38,"Karaoke, Steakhouses, Hotels, Hotels & Travel, American (Traditional), Event Planning & Services, Nightlife, Restaurants",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
hAZgCi6lPrO3jk6SAyWgKg,Noble Hops Gastropub,1335 W Lambert Ln,Oro Valley,AZ,32.3941663379,-110.9946405043,3.5,545,"Bars, Restaurants, Gastropubs, Food, Specialty Food, Nightlife, Beer, Wine & Spirits, American (New)",1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,2
