,name,address,city,state,latitude,longitude,stars,review_count,categories,is_American,is_Dessert,is_Bar,"is_Beer,Wine,Spirits",is_Breakfast,is_Coffee & Tea,is_Asian,is_Italian,"is_Healthy,Specialty Food",is_Latin American,is_Mediterranean,is_Western European,is_Slavic Food,is_African,is_Food Markets/Shops,rating
iObrU6cim0l3exsPzaIYvg,Cabana Taps,1910 Belcourt Ave,Nashville,TN,36.1369851,-86.7992986,3.5,409,"Lounges, Nightlife, Southern, American (New), Restaurants, Bars",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
BAIETJ6VZyjuVcog_kQVFw,Taziki's Mediterranean Cafe,230 11th Ave South,Nashville,TN,36.1540366,-86.7839525,4.0,67,"Restaurants, Greek, Caterers, Mediterranean, Food, Desserts, Event Planning & Services",0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1
BAIETJ6VZyjuVcog_kQVFw,Taziki's Mediterranean Cafe,230 11th Ave South,Nashville,TN,36.1540366,-86.7839525,4.0,67,"Restaurants, Greek, Caterers, Mediterranean, Food, Desserts, Event Planning & Services",0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,2
4szMVHmGXodrVGw4Zhev9g,Bartaco,2526 12th Ave S,Nashville,TN,36.1237424511,-86.7895937356,4.5,1447,"Mexican, Nightlife, Bars, Restaurants",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3
PwbeSKSCBnqXJlAxEaUrnA,Rosepepper Mexican Grill,1907 Eastland Ave,Nashville,TN,36.1827471,-86.7352329,3.0,777,"Nightlife, Bars, Restaurants, Dive Bars, Mexican",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3
dNFGbezaxeBR71BdpspKqQ,Proper Bagel,2011 Belmont Blvd,Nashville,TN,36.1318862,-86.7958451,4.5,517,"Bagels, Food, Restaurants, Delis, Breakfast & Brunch",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
EnGnfn_6KMTY2enUD3hqdw,Suzy Wong's House of Yum,1515 Church St,Nashville,TN,36.1568684,-86.7931757,3.5,466,"Restaurants, Nightlife, Cocktail Bars, Breakfast & Brunch, Lounges, Pop-Up Restaurants, Bars, Asian Fusion, Tapas/Small Plates",0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,3
gGK9oTurV0N5UxPGUs3_sw,Saint Stephen,1300 3rd Ave N,Nashville,TN,36.1780225,-86.7862881,4.0,142,"Restaurants, American (New)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
i9TdM513qBCnSDpPttoKOQ,"The Stillery, Midtown",1921 Broadway,Nashville,TN,36.1495723,-86.7977289,4.0,323,"Gastropubs, Bars, Burgers, Pizza, Restaurants, Nightlife, Breakfast & Brunch, American (Traditional), Cocktail Bars",1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,3
gqq_UziZzsW25cNu6pXvzg,Chuy's,1901 Broadway,Nashville,TN,36.1505758,-86.7964142,3.5,431,"Tex-Mex, Salad, Mexican, Restaurants, Bars, Nightlife",1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,3
-ejuzGbu3ZHUndhLTQafJg,Saint Anejo,1120 Mcgavock St,Nashville,TN,36.1560886,-86.7863707,3.5,851,"Nightlife, Breakfast & Brunch, Bars, Desserts, Restaurants, Adult Entertainment, Food, Cocktail Bars, Mexican",0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,4
ReX09lhufLTAx19krkltDA,Fido,1812 21st Ave S,Nashville,TN,36.136344,-86.800672,4.0,1260,"Bakeries, American (Traditional), American (New), Restaurants, Breakfast & Brunch, Sandwiches, Coffee & Tea, Food, Desserts, Cafes",1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,4
1b5mnK8bMnnju_cvU65GqQ,Biscuit Love: Gulch,316 11th Ave S,Nashville,TN,36.1530503,-86.7832308,4.0,4207,"Burgers, American (Traditional), Breakfast & Brunch, Restaurants, Southern",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
dYYkzkiAQoOtRjdR0kcspw,Tennessee Brew Works,809 Ewing Ave,Nashville,TN,36.1504112236,-86.7759260162,4.5,421,"Breweries, Venues & Event Spaces, Beer Bar, Food, Pubs, Tours, Nightlife, Restaurants, Event Planning & Services, Hotels & Travel, Bars, Beer Tours, Arts & Entertainment, American (Traditional), Gastropubs, Music Venues, American (New)",1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,4
f8WKIeT7HMAOedo54Nrd7Q,Edley's Bar-B-Que - Sylvan Park,4500 Murphy Rd,Nashville,TN,36.1410498619,-86.8404972553,4.0,225,"Barbeque, Cocktail Bars, Bars, Nightlife, Restaurants, Southern",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4
