,name,address,city,state,latitude,longitude,stars,review_count,categories,is_American,is_Dessert,is_Bar,"is_Beer,Wine,Spirits",is_Breakfast,is_Coffee & Tea,is_Asian,is_Italian,"is_Healthy,Specialty Food",is_Latin American,is_Mediterranean,is_Western European,is_Slavic Food,is_African,is_Food Markets/Shops,rating
_k1CIuPkY-uLFm8lABFG8Q,Bonchon Philadelphia,1020 Cherry St,Philadelphia,PA,39.954502,-75.15699,3.5,613,"Nightlife, Restaurants, Bars, Asian Fusion, Chicken Wings, Korean",1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
vVfy055EfLMdd0yJYHxiMQ,A La Mousse,145 N 11th St,Philadelphia,PA,39.9552167,-75.1574268,4.5,691,"Food, Coffee & Tea, Cafes, Bakeries, Desserts, Restaurants",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
9c7MUiE6VI8NesjPdj5FkA,Bubblefish,909 Arch St,Philadelphia,PA,39.9536791,-75.1551081,4.0,544,"Restaurants, Sushi Bars, Japanese, Bubble Tea, Taiwanese, Food",0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1
pqN11loWgNHqSWxESd4Uwg,Kostas Bar Restaurant,15 W Girard Ave,Philadelphia,PA,39.9689515,-75.134916,4.0,112,"Restaurants, Bars, Greek, Nightlife",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
838bEDzZSPveDkAGrhVWYQ,Ocean Harbor,1023 Race St,Philadelphia,PA,39.9557218,-75.1567726,3.0,524,"Restaurants, Chinese, Dim Sum, Seafood",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
Ldch7Nc5gaZrhcIRd7mcjw,Kabuki Sushi,45 N 13th St,Philadelphia,PA,39.9535852,-75.1609794,4.0,400,"Japanese, Sushi Bars, Restaurants",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2
AGlh4ZDv6jnoiYfz7At9mw,Dim Sum Garden,1020 Race St,Philadelphia,PA,39.955399,-75.156727,4.0,2672,"Chinese, Restaurants, Dim Sum, Asian Fusion, Shanghainese",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
gwxNttwUgmOn3vsHYe0pDQ,OCF Coffee House,2100 Fairmount Ave,Philadelphia,PA,39.967128,-75.172378,4.0,390,"Restaurants, Coffee & Tea, Gluten-Free, Food, Bagels",0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,2
9c7MUiE6VI8NesjPdj5FkA,Bubblefish,909 Arch St,Philadelphia,PA,39.9536791,-75.1551081,4.0,544,"Restaurants, Sushi Bars, Japanese, Bubble Tea, Taiwanese, Food",0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,2
1klRUBB6LfKCotq75BVmbA,Thirsty Dice,1642 Fairmount Ave,Philadelphia,PA,39.9669206348,-75.1651801826,4.0,114,"Themed Cafes, Eatertainment, Bars, Nightlife, Restaurants, Arts & Entertainment, Cafes, Pubs",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2
vUkiYPpbkMXA99WneLSGkQ,Banana Leaf,1009 Arch St,Philadelphia,PA,39.9537784576,-75.157045316,3.5,706,"Singaporean, Malaysian, Restaurants, Sushi Bars, Thai, Asian Fusion",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3
vUrTGX_7HxqeoQ_6QCVz6g,Suraya,1528 Frankford Ave,Philadelphia,PA,39.9736865005,-75.1339557767,4.5,1121,"Active Life, Beer Gardens, Grocery, Middle Eastern, Specialty Food, American (New), Parks, Cafes, Food, Nightlife, Restaurants, Coffee & Tea, Lebanese",1,0,1,1,0,1,0,0,1,0,1,0,0,0,1,3
8iXVU-DFq1r_a3QTn24T8w,The Bao Bar,1016 Race St,Philadelphia,PA,39.9551734924,-75.1566696167,3.5,34,"Barbeque, Nightlife, Sandwiches, Bars, Restaurants",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
GOSVLhjUT6TnrPhkkmDOpw,Vineyards Cafe,847 N 16th St,Philadelphia,PA,39.969939,-75.163026,4.5,192,"Coffee & Tea, Cafes, Food, Creperies, Internet Cafes, Restaurants, Breakfast & Brunch",0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,3
-DGsnMlRrR_tv8avrpQLQw,Sam's Morning Glory Diner,735 S 10th St,Philadelphia,PA,39.9408607,-75.1589045,4.0,741,"Breakfast & Brunch, Restaurants, Diners",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
cXSyVvOr9YRN9diDkaWs0Q,Honey's Sit-N-Eat,800 N 4th St,Philadelphia,PA,39.96399,-75.1444822,4.0,1396,"Southern, Restaurants, American (Traditional)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
qY-BUQY-SFBaSrFHowF3nA,Nine Ting,926 Race St,Philadelphia,PA,39.9550836837,-75.1552917273,4.0,1213,"Korean, Restaurants, Chinese, Barbeque, Hot Pot",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4
TwnzM8mJn_nT2PJf1x-9kQ,Cafe Lift,428 N 13th St,Philadelphia,PA,39.960346,-75.159706,4.0,1189,"Caterers, American (New), Breakfast & Brunch, Event Planning & Services, Diners, Restaurants",1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
ntiIq1FNqduOyyowMFGh5A,Nan Zhou Hand Drawn Noodle House,1022 Race St,Philadelphia,PA,39.9554005671,-75.1569010986,4.0,2188,"Specialty Food, Noodles, Ethnic Food, Chinese, Comfort Food, Restaurants, Food",1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5
pQ-oo8Bai2VuTqxy0bhLgQ,Kurry Korner,1016-18 Race St,Philadelphia,PA,39.9553668,-75.1566243,4.0,75,"Restaurants, Japanese, Asian Fusion, Japanese Curry, Thai",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5
MUTTqe8uqyMdBl186RmNeA,Tuna Bar,205 Race St,Philadelphia,PA,39.953949,-75.1432262,4.0,245,"Sushi Bars, Restaurants, Japanese",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,5
eFvzHawVJofxSnD7TgbZtg,Good Karma Cafe,928 Pine St,Philadelphia,PA,39.9446092,-75.1578331,4.0,249,"Food, Cafes, Coffee & Tea, Restaurants",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5
3ldp8B52AOzNSFnPMAY0ww,Fette Sau,1208 Frankford Ave,Philadelphia,PA,39.9692358,-75.134788,4.0,631,"Barbeque, Restaurants",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
LQZdcwfqneUIrZTy1VvWfg,Baan Thai,1030 N American St,Philadelphia,PA,39.9671988,-75.140984,4.0,235,"Restaurants, Thai, Desserts, Salad, Food",0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,5
SYJ_7skUPMHBPIWK88uM9w,Zuzu's Kitchen,1500 Ridge Ave,Philadelphia,PA,39.9678965,-75.1620853,4.0,118,"Restaurants, Pizza, Salad, Sandwiches, Food Delivery Services, Food",1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,5
K7KHmHzxNwzqiijSJeKe_A,Cafe La Maude,816 N 4th St,Philadelphia,PA,39.963948,-75.144364,4.5,1485,"Sandwiches, Cafes, Coffee & Tea, Restaurants, Food, Breakfast & Brunch, Mediterranean, American (New)",1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,5
