,name,address,city,state,latitude,longitude,stars,review_count,categories,is_American,is_Dessert,is_Bar,"is_Beer,Wine,Spirits",is_Breakfast,is_Coffee & Tea,is_Asian,is_Italian,"is_Healthy,Specialty Food",is_Latin American,is_Mediterranean,is_Western European,is_Slavic Food,is_African,is_Food Markets/Shops,rating
Iw8uqNPxviwcgxtruAx_LA,Good Dog Bar,224 S 15th St,Philadelphia,PA,39.948793,-75.1662055,4.0,1279,"American (Traditional), Restaurants, Bars, Nightlife, Burgers, Sandwiches, Soup, Pubs",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
OdIBX09glfXNVSyd0RnIeg,Monk's Cafe,264 S 16th St,Philadelphia,PA,39.947701,-75.1682869,4.0,2184,"Nightlife, Pubs, Bars, Belgian, Restaurants, Gastropubs",0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1
Duf-k9b1xpuK33BGCLWQ6w,Quetzally,1225 Fitzwater St,Philadelphia,PA,39.9416062,-75.163026,4.0,241,"Restaurants, Latin American, Tex-Mex, Mexican",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
kj3Lyh9KooU8GcRBbMDQWQ,Le Pain Quotidien,1425 Walnut St,Philadelphia,PA,39.949621,-75.165252,3.5,312,"Restaurants, Bakeries, Breakfast & Brunch, Coffee & Tea, Food, Belgian, French",0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,1
ekxvAyD2T5v3GS7n4X_3dQ,Jay's Deli,1228 Spruce St,Philadelphia,PA,39.9465533063,-75.1624734497,4.0,70,"Food, Restaurants, Grocery, Sandwiches, Delis",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0zf4KKZqbqoxiuKzeZLDdg,PrimoHoagies,128 S 11th St,Philadelphia,PA,39.949216187,-75.1590522333,3.5,65,"Italian, Sandwiches, Restaurants",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Y0rFv6dOrKmgRNdYzBGBtA,Bruegger's Bagels,968 County Line Rd,Bryn Mawr,PA,40.0214451,-75.3254231,2.5,73,"Food, Sandwiches, Bagels, Restaurants, Breakfast & Brunch",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
k6xc8FiZp2hppWcQJzNVpQ,CinCin Restaurant,7838 Germantown Ave,Philadelphia,PA,40.069231,-75.199751,3.5,199,"Restaurants, Event Planning & Services, Pan Asian, Venues & Event Spaces, Chinese, Caterers, Asian Fusion",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
q1VOESxR99qJvpubnNxyJQ,Caribou Cafe,1126 Walnut St,Philadelphia,PA,39.9487531332,-75.1600949582,3.0,341,"French, Coffee & Tea, Cafes, Food, Restaurants",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
OGAyP5gDzvdqeDNXE9vvbQ,Kumo Asian Bistro,"1460 Bethlehem Pike, Ste 200",North Wales,PA,40.209229,-75.223392,4.0,134,"Sushi Bars, Japanese, Restaurants, Asian Fusion",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
jkGQQ4_LgJx3hwPtCFkzbQ,Max Brenner - Philadelphia,1500 Walnut St,Philadelphia,PA,39.9491000076,-75.1661748827,3.5,1358,"American (Traditional), Restaurants, Desserts, Food, Chocolatiers & Shops, American (New), Specialty Food, Breakfast & Brunch",1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
QKVX66UREuD6aQ0x_F17wA,Slice,1180 S 10th St,Philadelphia,PA,39.934678,-75.160539,3.5,302,"Restaurants, Food, Pizza, Italian",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
T9nNz9-3mfNga0T0Nfzvsw,Otto's Brauhaus,233 Easton Rd,Horsham,PA,40.1751634429,-75.1286849992,3.0,223,"Bars, German, Restaurants, Nightlife, American (Traditional), Pubs",1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2
1AQhRXA6GhMp6FjpS4T8lQ,The Great American Pub,123 Fayette St,Conshohocken,PA,40.074429,-75.3053339,3.0,242,"Bars, Nightlife, Restaurants, Pubs, American (New)",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
V8we7-uCa-SouadZmZ9Ieg,The Cheesecake Factory,1430 Walnut St,Philadelphia,PA,39.9491039,-75.1658813,3.0,381,"Restaurants, Salad, American (Traditional), American (New), Seafood, Food, Desserts",1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,2
OTNPMzKPb8LVQxX3fXJaqw,Uncle Oogie's,2119 W Oregon Ave,Philadelphia,PA,39.9189548,-75.1835926,3.0,116,"Pizza, Food, Restaurants, Sandwiches, Burgers",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
6ajnOk0GcY9xbb5Ocaw8Gw,Barbuzzo,110 S 13th St,Philadelphia,PA,39.950007,-75.1621577,4.5,2893,"Mediterranean, Restaurants, Pizza, Italian",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2
pXRrRf8fDv6yU3xp1E25hA,Bud & Marilyn's,1234 Locust St,Philadelphia,PA,39.947787,-75.162293,4.0,1303,"Breakfast & Brunch, Nightlife, Bars, Restaurants, American (Traditional)",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2
mJ_itjZYQ_OA71q2NaWE4Q,Carangi Baking,2655 S Iseminger St,Philadelphia,PA,39.9166328,-75.1685035,4.5,34,"Bakeries, Cafes, Food, Sandwiches, Restaurants, Italian",1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,2
rAe-1HU5Z-DuUXEbzASXDA,Mad Mex - Willow Grove,2862 W Moreland Rd,Willow Grove,PA,40.147965,-75.1282592,3.0,442,"Nightlife, Restaurants, Mexican, Tex-Mex, Bars",1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2
e3Y3hDpwHc9RmQlJtIgHuw,Lacroix Restaurant at The Rittenhouse,210 W Rittenhouse Sq,Philadelphia,PA,39.9499125,-75.1736448,4.5,434,"Restaurants, Breakfast & Brunch, Brazilian, American (New), French, Asian Fusion",1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,2
IkY2ticzHEn4QFn8hQLSWg,Geno's Steaks,1219 S 9th St,Philadelphia,PA,39.933836785,-75.1588137524,2.5,3401,"Sandwiches, Cheesesteaks, Steakhouses, Restaurants",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0RuvlgTnKFbX3IK0ZOOocA,Green Eggs Café,212 S 13th St,Philadelphia,PA,39.9481225533,-75.1624631121,4.0,2679,"Restaurants, American (New), Diners, Breakfast & Brunch",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
rowZsHs7UFgiL4Okqnk_Jg,ShopRite of Morrell Plaza,9910 Frankford Ave,Philadelphia,PA,40.0649469,-74.9837669,4.0,24,"Grocery, Bakeries, Delis, Restaurants, Food",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2
JrDLf5e-awIC0suNlK39Zw,Locust Rendezvous,1415 Locust St,Philadelphia,PA,39.9484648948,-75.1658053,4.0,230,"Bars, Beer Bar, Restaurants, Salad, Dive Bars, Nightlife",0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,2
y_JZFlF-4fwSIn4RJ2vMGw,Italiano's,2551 S 12th St,Philadelphia,PA,39.917764,-75.1671583,4.5,51,"Desserts, Restaurants, Italian, Food, Ice Cream & Frozen Yogurt",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2
sNOzfwyTZDwKtMiTwjQobA,Vintage Bar and Grill,1116 Old York Rd,Abington,PA,40.1150951,-75.1217458,4.0,154,"Bars, American (Traditional), Nightlife, Sports Bars, Restaurants, Sandwiches",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
QY9h6QIaBFeExPGNPqiOMg,New China,2354 S 7th St,Philadelphia,PA,39.9192864,-75.1591554,3.5,9,"Chinese, Restaurants",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
1qw5dIsQPNGLOwnuP7Wj1g,South Bowl,19 E Oregon Ave,Philadelphia,PA,39.9142928,-75.1471501,3.5,249,"American (Traditional), Bars, Nightlife, Restaurants, American (New), Sports Bars, Active Life, Bowling, Pizza",1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3
rAe-1HU5Z-DuUXEbzASXDA,Mad Mex - Willow Grove,2862 W Moreland Rd,Willow Grove,PA,40.147965,-75.1282592,3.0,442,"Nightlife, Restaurants, Mexican, Tex-Mex, Bars",1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3
mOAzyqS3WLZsXAuLzrktWA,Peppers By Amedeo's,175 Town Center Rd,King of Prussia,PA,40.0943622371,-75.3694325288,3.0,131,"Restaurants, Venues & Event Spaces, Italian, Event Planning & Services, Bars, Nightlife",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3
kbXpjBSweedxQ1WrlJ5i7Q,Dan Dan,126 S 16th St,Philadelphia,PA,39.950247,-75.167598,4.0,860,"Taiwanese, Restaurants, Noodles, Szechuan, Chinese",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
nXx6nOAqC0DqVCUObuUsMA,Lee's Hoagie House,1656 Old York Rd,Abington,PA,40.1312893,-75.1164318,3.0,103,"Wraps, Sandwiches, Chicken Wings, Restaurants, Cheesesteaks, Delis",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
DNjgxBAUdya4sIAvy15b8A,Jarrettown Hotel Italian Restaurant,1425 Limekiln Pike,Dresher,PA,40.155097,-75.1756562,3.0,105,"Restaurants, Italian",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
VIYvcX9SScnqmoI0so1KZA,PrimoHoagies,2043 Chestnut St,Philadelphia,PA,39.9523626789,-75.1750177145,4.0,154,"Sandwiches, Restaurants, Italian",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
hh6t95hiS-RqRt6bEz1SPw,Union League of Philadelphia,140 S Broad St,Philadelphia,PA,39.949988,-75.1645963,4.0,72,"Hotels & Travel, Restaurants, Arts & Entertainment, American (Traditional), Hotels, American (New), Venues & Event Spaces, Social Clubs, Event Planning & Services",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
2pLIQ0RHSmUbF0eIRT0LYg,Vintage Wine Bar,129 S 13th St,Philadelphia,PA,39.9495566,-75.1617091,4.0,406,"Wine Bars, Bars, Nightlife, French, Restaurants",0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,3
UDD4X5TLUMARishbXUQA2w,Cadillac Grille,3601 S Broad St,Philadelphia,PA,39.9011799,-75.1719716,3.0,46,"Restaurants, Steakhouses",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
cOXc8c85Ms6dMEAJazLXHQ,McGillin's Olde Ale House,1310 Drury St,Philadelphia,PA,39.950168,-75.162607,4.0,979,"Bars, Nightlife, Pubs, American (Traditional), Event Planning & Services, Karaoke, Restaurants, Venues & Event Spaces, Irish Pub, Sports Bars, Irish",1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3
2CDI713ATuxHfnB5b-sBdw,Vedge,1221 Locust St,Philadelphia,PA,39.9479310476,-75.1614279837,4.5,1447,"Restaurants, Vegetarian, Beer, Wine & Spirits, Vegan, Food",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3
kZ1q0K13tFYG_ZJrVvsJHA,Sampan,124 S 13th St,Philadelphia,PA,39.9495313759,-75.1621570259,4.0,2000,"Thai, American (New), Restaurants, Chinese, Asian Fusion, Tapas/Small Plates, Pan Asian",1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,3
KZ2V1ZPnrwoT0zcJunyIQw,Schlesinger's,1521 Locust St,Philadelphia,PA,39.94867722,-75.1674140655,3.5,258,"Wraps, Sandwiches, Restaurants, Delis, Breakfast & Brunch",1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3
S21Myaj831l5rG4AKEyekA,Dos Tacos,120 S 15th St,Philadelphia,PA,39.9505718077,-75.1657929609,3.0,258,"Mexican, Restaurants",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
lKU_kljhbEQKIPaM1Zbqiw,Little Nonna's,1234 Locust St,Philadelphia,PA,39.947786438,-75.1618928091,4.0,1147,"Restaurants, Italian",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
xxL2_-oExRCwKs_Nyr0KiQ,Fadó Irish Pub,1500 Locust St,Philadelphia,PA,39.9483513654,-75.1666795343,3.5,454,"Pubs, Restaurants, Bars, Nightlife, Irish, Irish Pub",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3
pXRrRf8fDv6yU3xp1E25hA,Bud & Marilyn's,1234 Locust St,Philadelphia,PA,39.947787,-75.162293,4.0,1303,"Breakfast & Brunch, Nightlife, Bars, Restaurants, American (Traditional)",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3
