,name,address,city,state,latitude,longitude,stars,review_count,categories,is_American,is_Dessert,is_Bar,"is_Beer,Wine,Spirits",is_Breakfast,is_Coffee & Tea,is_Asian,is_Italian,"is_Healthy,Specialty Food",is_Latin American,is_Mediterranean,is_Western European,is_Slavic Food,is_African,is_Food Markets/Shops,rating
k-tHn9uxgWdq1ROHqwc-lw,Shells Seafood  - St Pete Beach,7081 Gulf Blvd,St. Pete Beach,FL,27.739489,-82.749481,4.5,965,"Breakfast & Brunch, Seafood, Sandwiches, Restaurants",1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2
6f8dXcqMrNPMHm1fXFQQbg,General American Donut Company,827 S East St,Indianapolis,IN,39.7556227519,-86.1494192209,4.0,309,"Coffee & Tea, Bakeries, Donuts, American (Traditional), Food, Restaurants, Fast Food",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
DXDoh8MNrqjtXsZnkuk4hA,Frenchy's Rockaway Grill,7 Rockaway St,Clearwater Beach,FL,27.9834667,-82.8278346,4.0,2301,"Sandwiches, American (Traditional), Restaurants, Seafood",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
sjosv3U_wxN3Zigr7gIx2g,Nature's Food Patch Market & Café,1225 Cleveland St,Clearwater,FL,27.9644465,-82.786234,4.5,177,"Seafood Markets, Delis, Restaurants, Health Markets, Food, Specialty Food, Cafes, Grocery",1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,3
yzlnxBGlHphac8QtzbIE6g,Cooters Restaurant & Bar,423 Poinsettia Ave,Clearwater Beach,FL,27.979194,-82.826166,3.5,647,"American (Traditional), American (New), Sports Bars, Restaurants, Burgers, Chicken Wings, Sandwiches, Seafood, Local Flavor, Bars, Nightlife",1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3
3SsKfATOn7ABb5E5jKX4Iw,JIMMY’S PLACE,11335 Starkey Rd,Largo,FL,27.8764458,-82.7619668736,3.5,35,"Breakfast & Brunch, Greek, Restaurants, American (Traditional), Diners",1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3
UfVoHBiKUGya5UhXFOqiLg,ABC Seafood Chinese Restaurant,"2705 54th Ave N, Ste 3",St. Petersburg,FL,27.821559,-82.670032,4.0,245,"Cantonese, Chinese, Seafood, Restaurants",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3
AYvvx-AeplhRrER9MP5gcA,Bonefish Grill,2939 W Bay Dr,Belleair Bluffs,FL,27.9174024,-82.819542,3.5,160,"Bars, Seafood, Cocktail Bars, American (New), Restaurants, Nightlife",1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3
XwElaqpvIW70qJVCqpVubw,Matt the Miller's Tavern,11 W City Center Dr,Carmel,IN,39.9702962,-86.1274512,4.0,499,"Restaurants, Gastropubs, American (New)",1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3
YCPhdj_9t7o_NdN76WKJVg,Cafe de Paris Bakery,2300 Gulf Blvd,Indian Rocks Beach,FL,27.9051434,-82.8473201,4.5,395,"French, Food, Bakeries, Restaurants",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4
