,name,address,city,state,latitude,longitude,stars,review_count,categories,is_American,is_Dessert,is_Bar,"is_Beer,Wine,Spirits",is_Breakfast,is_Coffee & Tea,is_Asian,is_Italian,"is_Healthy,Specialty Food",is_Latin American,is_Mediterranean,is_Western European,is_Slavic Food,is_African,is_Food Markets/Shops,rating
5L918sNOVHcCJKZ7RWATBw,Washington Street Ale House,1206 Washington St,Wilmington,DE,39.74911468,-75.55026861,3.5,238,"Nightlife, Bars, Restaurants, American (Traditional), Burgers",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Td1xw31b7pGiShjpzc5hJw,Buttonwood Grill,Peddler's Village,New Hope,PA,40.3477957,-75.0314495,3.5,350,"Burgers, Restaurants, Breakfast & Brunch, Gastropubs, American (New)",1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1
9o55tW2eCwxRvwWVQSzj5g,Trio,2601 Pennsylvania Ave,Philadelphia,PA,39.9689060509,-75.1810369268,3.5,184,"Restaurants, Seafood, Thai",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
GVZUe3iXg75_Zp9ZS91y9g,El Fuego,723 Walnut St,Philadelphia,PA,39.9481,-75.1535615,3.5,258,"Tex-Mex, Restaurants, Specialty Food, Mexican, Ethnic Food, Soup, Bars, Food, Nightlife",1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,2
LtLbT776NOAjva1ttA2h3w,The QUICK FIXX,1511 South St,Philadelphia,PA,39.944064,-75.1676029,4.0,324,"Restaurants, Pizza, Vegetarian, Salad, Italian",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3
JHRlwxxKY0JJcU97rJ-Bug,Cuba Libre Restaurant & Rum Bar - Philadelphia,10 S 2nd St,Philadelphia,PA,39.949589,-75.14391,3.5,1195,"Nightlife, Cuban, Breakfast & Brunch, Latin American, Restaurants, Dance Clubs, Shopping, Bars, Beer, Wine & Spirits, Food",0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,3
2FnoLyEO0nq7g2Wz8x7Z5A,honeygrow,169 E City Ave,Bala Cynwyd,PA,40.0036661668,-75.2218453609,3.5,344,"Juice Bars & Smoothies, Noodles, Restaurants, Asian Fusion, Food, Salad, Vegetarian, Vegan",0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,3
gOrJeoLDOiW7muWuoE-sMg,Morgan's Pier,221 N Columbus Blvd,Philadelphia,PA,39.9549030181,-75.1389125268,3.0,710,"Restaurants, Nightlife, Arts & Entertainment, Seafood, Music Venues, American (New), Paint & Sip, Dance Clubs, Sandwiches, Bars",1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,4
73UjNbSoQjQAOS45rcihFg,Cantina Dos Segundos,931 N 2nd St,Philadelphia,PA,39.9648195,-75.1402322,4.0,904,"Nightlife, Restaurants, Breakfast & Brunch, Bars, Mexican",0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,4
YvAlYzVkvZnWYch61sy00g,Rice & Curry,521 Limekiln Pike,Maple Glen,PA,40.1780038,-75.1834708,4.5,37,"Thai, Asian Fusion, Restaurants, Japanese",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4
