,name,address,city,state,latitude,longitude,stars,review_count,categories,is_American,is_Dessert,is_Bar,"is_Beer,Wine,Spirits",is_Breakfast,is_Coffee & Tea,is_Asian,is_Italian,"is_Healthy,Specialty Food",is_Latin American,is_Mediterranean,is_Western European,is_Slavic Food,is_African,is_Food Markets/Shops,rating
XBlwldJfMJPzgEatHKFx8w,James Joyce Irish Pub & Eatery,1724 E 8th Ave,Tampa,FL,27.9611208202,-82.4393979067,4.0,335,"Nightlife, Bars, Irish Pub, Pubs, Irish, Restaurants",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
qaQc-Gnl_Sd0WZZMxcB7Bg,Fuzzy's Taco Shop,2874 Providence Lake Blvd,Brandon,FL,27.9210023153,-82.32773,3.5,294,"Bars, Nightlife, Restaurants, Tex-Mex, Mexican, Sports Bars",1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
WQ832PDnsDshhbQFm83ISg,Villagio Cinemas,11778 N Dale Mabry Hwy,Tampa,FL,28.055282,-82.506247,3.0,285,"Cinema, Nightlife, Pizza, Italian, Arts & Entertainment, Burgers, Restaurants, Lounges, Bars",1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
ymi8Cb93TUSN6wwlvMjV6A,Smokey Bones,136 Brandon Town Center Dr,Brandon,FL,27.9383213,-82.3251522216,3.0,230,"Restaurants, American (Traditional), Barbeque, Carpet Cleaning, Burgers, Chicken Wings, Local Services",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8dQipKeDtudvHm7pBOClGA,Heavy's Food Truck,2243 11th St S,St Petersburg,FL,27.7475557,-82.6504331,4.5,49,"Food, Food Trucks, Soul Food, Event Planning & Services, Caterers, Restaurants",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
hM611cPF2RlyqDHq7NACog,Royal Palace Thai,811 S Howard Ave,Tampa,FL,27.935384,-82.4832077,3.5,154,"Restaurants, Chinese, Vegetarian, Sushi Bars, Thai, Asian Fusion",0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
_0QZGrg91aaiMhh7tQyYYg,Jacksons Bistro Bar & Sushi,"601 S Harbour Island Blvd, Ste 100",Tampa,FL,27.9387237,-82.4548811,3.5,1115,"Seafood, Japanese, Nightlife, Dance Clubs, Bars, American (New), Restaurants, Sushi Bars",1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1
cNH8949aoGjotaR1LvbGPw,Red Robin Gourmet Burgers and Brews,450 Brandon Town Center Mall,Brandon,FL,27.9323110069,-82.3260788749,3.0,208,"American (Traditional), Comfort Food, Desserts, Food, Restaurants, Salad, Burgers",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
iSRTaT9WngzB8JJ2YKJUig,Mother's Restaurant,401 Poydras St,New Orleans,LA,29.9490569,-90.0670492,3.5,5185,"Cajun/Creole, Restaurants, Event Planning & Services, Southern, Specialty Food, Soul Food, Food, Ethnic Food, American (New), Caterers, Breakfast & Brunch, Sandwiches",1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1
U3NcXVw8s3z5eDJ1GoCxjA,J C's Sandwich Shop,1911 N US Hwy 301,Tampa,FL,27.964792,-82.35964799999999,4.5,38,"Sandwiches, Restaurants",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27m-xVHWyrY0unyvBnWz4Q,Island Crew,2208 E Hillsborough Ave,Tampa,FL,27.9963487882,-82.4341227114,4.0,58,"Bars, Restaurants, Lounges, Caribbean, Nightlife, Cajun/Creole",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
dIpTuL2T1L98GQGU17IeSw,The Bricks,1327 E 7th Ave,Tampa,FL,27.9600238,-82.4444005,4.0,548,"Bars, Breakfast & Brunch, Restaurants, American (New), Coffee & Tea, Food, Nightlife, Vegetarian",1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1
lRkJG5xxHpvoV3mkQhbNhQ,Gigi's Cupcakes of Tampa,"3810 Neptune Ave., B-2",Tampa,FL,27.92996,-82.5065759,4.0,123,"Food, Cafes, Bakeries, Cupcakes, Desserts, Local Flavor, Restaurants",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
eQPX1bLy7UA7aFvZHwkfPQ,EVOS Feel Great Food-St. Petersburg,2631 4th St N,St Petersburg,FL,27.7963615,-82.63811,3.5,153,"Restaurants, Burgers, American (New), Food, Salad, American (Traditional), Fast Food, Organic Stores",1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
isRg8RrE1iIv1ks27A1FuA,Wood Fired Pizza Wine Bar,2822 E Bearss Ave,Tampa,FL,28.0810030241,-82.4276801889,4.0,329,"Nightlife, Food, Restaurants, Wine Bars, Bars, Salad, Italian, Desserts, Pizza",0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1
L5LLN0RafiV1Z9cddzvuCw,Ulele,1810 N Highland Ave,Tampa,FL,27.9601605512,-82.4625296518,4.0,3064,"Breweries, Food, American (New), Beer, Wine & Spirits, Restaurants, Seafood",1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2
vWRdL8B9o2CmUmfJgNgMqQ,Rick's On the River,2305 N Willow Ave,Tampa,FL,27.962838,-82.473629,3.0,398,"Restaurants, Music Venues, American (New), Nightlife, Arts & Entertainment, Bars",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
HgPTy_OGoaxllb2EXkC1sQ,Happy Fish,4046 N Armenia Ave,Tampa,FL,27.9753864,-82.4862712,4.5,541,"Restaurants, Latin American, Peruvian, Seafood",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2
z_7TZeTXsDH6MmkPHQN8nQ,Ella's Americana Folk Art Cafe,5119 N Nebraska Ave,Tampa,FL,27.9936015,-82.4508818,4.0,961,"American (New), Cafes, Restaurants, Food",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
5RN4m3XO66jK4ThoDX3VnA,PDQ Waters,5706 W Waters Ave,Tampa,FL,28.0252357062,-82.5429962971,4.0,93,"Food, American (New), Restaurants, Coffee & Tea, Sandwiches, Chicken Shop, Fast Food, Salad",1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2
FTnY5qY1ftgODV0gGYbI6w,Tampa Pizza Company,777 N Ashley Dr,Tampa,FL,27.9497748753,-82.4600632251,4.0,289,"Pizza, Restaurants, Vegetarian, Gluten-Free",0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,2
leXPdmhrrc9Uov1B-zn-WA,Steak ’n Shake,2315 S Dale Mabry,Tampa,FL,27.9240143,-82.5064370781,2.0,143,"Food, Restaurants, Burgers, Ice Cream & Frozen Yogurt, American (New), American (Traditional), Breakfast & Brunch, Fast Food, Diners",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2
vJTPB_SzizizBs8P-wV2cA,Waffle House,509 Westshore Plz,Tampa,FL,27.94945,-82.523954,3.5,124,"Diners, Breakfast & Brunch, Chicken Shop, Restaurants, Waffles, American (Traditional)",1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2
ny1N_Py01kVoGOvL9oKjMQ,Cask Social Kitchen,208 S Howard Ave,Tampa,FL,27.9426685,-82.4827162,4.0,578,"Breakfast & Brunch, Restaurants, Southern, American (New)",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
