,name,address,city,state,latitude,longitude,stars,review_count,categories,is_American,is_Dessert,is_Bar,"is_Beer,Wine,Spirits",is_Breakfast,is_Coffee & Tea,is_Asian,is_Italian,"is_Healthy,Specialty Food",is_Latin American,is_Mediterranean,is_Western European,is_Slavic Food,is_African,is_Food Markets/Shops,rating
TnDyCA5CvrBt2HKouXCa8w,The Burger's Priest,10148 109th Street NW,Edmonton,AB,53.541255,-113.509875,3.5,146,"Restaurants, American (Traditional), Fast Food, Burgers",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
uHFnlYqRinpyS-EozlZFAA,It' Dog,8621 109th Street NW,Edmonton,AB,53.5224936596,-113.5118113963,3.5,70,"Chicken Shop, Chicken Wings, Hot Dogs, Food, Restaurants, Korean",1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
GpFRwCHN0RI8yFbcfXjfUg,V Sandwiches,10127 100A Street NW,Edmonton,AB,53.5417173,-113.4919398,3.5,9,"Vietnamese, Sandwiches, Restaurants",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
MBtoji84lhvTCRTjfLwTDw,Tim Hortons,10310 31ST Avenue NW,Edmonton,AB,53.4637602,-113.4931564,2.5,6,"Delis, Sandwiches, Food, Restaurants, Coffee & Tea",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
5bcngipnLPwSR9mDbA2ahA,Greta,10141 109 Street NW,Edmonton,AB,53.542038,-113.5080027,3.0,8,"Bars, Arts & Entertainment, Nightlife, Arcades, Restaurants",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
ivpULDSBS4mP3mJqmziKQw,Cafe Amore Bistro,10807 106 Avenue NW,Edmonton,AB,53.5496883,-113.5068932,4.5,123,"Italian, Restaurants, Cafes",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2
2rt7k-vLmXXqzP2UForL2w,Yokozuna Japanese Restaurant,4121 106 Street NW,Edmonton,AB,53.4783873,-113.5040267,4.0,95,"Sushi Bars, Japanese, Restaurants",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3
F5b99wMsfB_TpUBye-iOeg,Kobe Japanese Bistro,516-6655-178 Street NW,Edmonton,AB,53.502949826,-113.628151625,4.0,50,"Sushi Bars, Japanese, Restaurants",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3
42zgRbWS-2t6DkENW_rOzw,Watari,10108 124 Street,Edmonton,AB,53.5422833785,-113.5360898393,3.0,70,"Buffets, Japanese, Sushi Bars, Restaurants",1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4
YNcVAMg2u10Bad8qiFE-tw,Teriyaki Corner Japanese Bistro,1064-91 Street SW,Edmonton,AB,53.4232221789,-113.4767168058,3.5,29,"Japanese, Restaurants",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4
XnI4rF-RUzJaRhogyVxIEA,The Burger's Priest,2125 98th Street NW,Edmonton,AB,53.452251,-113.4837136,3.0,56,"Restaurants, Burgers",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
n6up3A47D8FIyKcdPDWzuQ,Jumbo Dim Sum Dining,10451 170 Street NW,Edmonton,AB,53.548429,-113.614088,4.0,104,"Restaurants, Chinese, Dim Sum",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4
a-dvm-J7qPKGRRxFXBG56Q,Kazoku Ramen,16518 100 Avenue NW,Edmonton,AB,53.539669,-113.607027,3.5,91,"Japanese, Restaurants, Ramen, Asian Fusion",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4
ZcYFylbiFArKxpOQWxkIBQ,Mikado - Downtown,10350 109 Street NW,Edmonton,AB,53.5457663,-113.5088813,4.0,81,"Japanese, Restaurants, Sushi Bars",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4
7SrKS3L6lRAfDU8FFqQe_g,Freshii,"8882 170 St NW, Phase 3, Food Court",Edmonton,AB,53.5224397,-113.6218712,3.0,21,"Restaurants, Fast Food, Vegetarian, Soup, Sandwiches, Salad",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4
TJjQFgDUSR_B5ndK_T_6_w,JOEY South Common,9911 19 Ave NW,Edmonton,AB,53.447395,-113.485626,3.5,98,"Mediterranean, American (Traditional), Restaurants, Lounges, Bars, Nightlife, Canadian (New)",1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4
7lYEpGuGKqh69ik7_ZKbpQ,The Keg Steakhouse + Bar,9960 170 St Nw,Edmonton,AB,53.5374674,-113.6161144,4.5,66,"Nightlife, Steakhouses, Bars, Restaurants, Seafood",1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4
KkIHmOm9rl-2sQ63Ixdwhg,Ichiban Restaurant Japanese Cuisine,8750 149 Street NW,Edmonton,AB,53.520778,-113.578488,4.0,48,"Restaurants, Japanese, Sushi Bars",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4
hO1I7SjpY-DopwNgRvbFuQ,Earls Kitchen + Bar,"8882 170th Street, Bourbon Street, Unit W-143 (#1667)",Edmonton,AB,53.523957,-113.623788,3.5,81,"Comfort Food, American (Traditional), Bars, Nightlife, Cocktail Bars, Canadian (New), American (New), Restaurants",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4
Cr-uaPrfvG7tvqzLGAGErA,Kyoto Japanese Cuisine,8701 109 Street NW,Edmonton,AB,53.5231333193,-113.5113531433,3.5,58,"Japanese, Restaurants, Sushi Bars, Asian Fusion",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4
swUT7AsP776D0XEBQrSznA,Bubba Gump Shrimp Co.,2393-8882 170 St NW,Edmonton,AB,53.5224467245,-113.627608,2.5,132,"Restaurants, Seafood",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
36F6K3PGGV2ICZBNDoh0wg,Baijiu,103-10359 104 Street NW,Edmonton,AB,53.545881,-113.499053,4.5,44,"Restaurants, Nightlife, Cocktail Bars, Asian Fusion, Bars",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4
Qx32u-8jRlbDEXCQrRT-RA,Tanuki Kyoto Japanese Cuisine,10128 109 Street NW,Edmonton,AB,53.5411894276,-113.509348603,3.5,102,"Japanese, Sushi Bars, Restaurants",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,5
I2Ipf82-rbAwh0I-X9T0gg,Lotus Cafe,10321 124 Street NorthWest,Edmonton,AB,53.5452679833,-113.5357645154,4.5,6,"Restaurants, Cafes, Persian/Iranian, Grocery, Food, Caterers, Middle Eastern, Bakeries, Event Planning & Services, Venues & Event Spaces",0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,5
FM81cYp1irTPZTKD-bXWzw,Sunbake Pita Bakery,10728 134 Ave NW,Edmonton,AB,53.5952957,-113.5063065,4.5,63,"Middle Eastern, Pizza, Bakeries, Food, Lebanese, Restaurants, Halal",0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,5
TnDyCA5CvrBt2HKouXCa8w,The Burger's Priest,10148 109th Street NW,Edmonton,AB,53.541255,-113.509875,3.5,146,"Restaurants, American (Traditional), Fast Food, Burgers",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
42zgRbWS-2t6DkENW_rOzw,Watari,10108 124 Street,Edmonton,AB,53.5422833785,-113.5360898393,3.0,70,"Buffets, Japanese, Sushi Bars, Restaurants",1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,5
N-ej51lLtIl4TMC-Qb3k4A,Zen All-You-Can-Eat Sushi & Grill,7618 104 Street NW,Edmonton,AB,53.5129039,-113.4982425,3.0,90,"Restaurants, Sushi Bars, Japanese",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,5
2_qvUdA1EYMVj0N_vAz0Bw,Szechuan Sweet Mango,9120 82 Avenue NW,Edmonton,AB,53.5183917,-113.4685595,4.0,44,"Asian Fusion, Restaurants, Thai, Chinese, Vietnamese",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5
yUcRRm3xtgqkABMlF6xanQ,Banzai Restaurant,4608 Calgary Trail NW,Edmonton,AB,53.4842874,-113.4955778,3.0,54,"Sushi Bars, Restaurants, Japanese, Fast Food",1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,5
8wjRidyw7pqepAf5MncA-g,Tokiwa Ramen,11978 104 Avenue,Edmonton,AB,53.547523338,-113.5277542096,4.0,109,"Restaurants, Japanese, Ramen, Soup",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5
5nlpLTaOXgDQgKBHhAzm2g,The Burger Joint,9132   23 Avenue,Edmonton,AB,53.452698,-113.4697591,4.0,87,"Fast Food, Restaurants, Burgers",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
GjK8fBJO3sE9vYkK0RE7Jw,Lemongrass Cafe,10417 51 Avenue NW,Edmonton,AB,53.4874321048,-113.4983166271,4.0,62,"Chinese, Restaurants, Vietnamese, Cafes",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,5
