,name,address,city,state,latitude,longitude,stars,review_count,categories,is_American,is_Dessert,is_Bar,"is_Beer,Wine,Spirits",is_Breakfast,is_Coffee & Tea,is_Asian,is_Italian,"is_Healthy,Specialty Food",is_Latin American,is_Mediterranean,is_Western European,is_Slavic Food,is_African,is_Food Markets/Shops,rating
HYK6JACOzRHk2XHUjbyJ6A,Panera Bread,3181 Tampa Rd,Oldsmar,FL,28.0494469,-82.6958103,2.5,55,"Restaurants, Soup, Bagels, Food, Salad, Breakfast & Brunch, Sandwiches",1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
syZwSaIJ-Hh6mQAu9JRVnQ,Panera Bread,112 Westshore Blvd,Tampa,FL,27.9444945628,-82.5233526529,3.0,119,"Soup, Food, Breakfast & Brunch, Sandwiches, Salad, Restaurants, Bagels",1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
5RN4m3XO66jK4ThoDX3VnA,PDQ Waters,5706 W Waters Ave,Tampa,FL,28.0252357062,-82.5429962971,4.0,93,"Food, American (New), Restaurants, Coffee & Tea, Sandwiches, Chicken Shop, Fast Food, Salad",1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2
AwmsqV6rXxBf8ycphKzQnA,Ford's Garage,10413 Sheldon Rd,Tampa,FL,28.04209,-82.5818676851,3.5,327,"Burgers, American (New), Nightlife, Restaurants, Comfort Food, Breakfast & Brunch, Bars, American (Traditional), Cocktail Bars",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2
-EHrU_DwtX2Jv4NbAMppTA,Yummy House China Bistro,2620 E Hillsborough Ave,Tampa,FL,27.9965254,-82.4299509,4.0,815,"Seafood, Dim Sum, Restaurants, Chinese",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2
IUN-1btz9-CiL2b6tDNQqg,Benedetto's Ristorante Italiano,21529 Village Lakes Shopping Center Dr,Land O Lakes,FL,28.1905807372,-82.4596807184,3.5,400,"Arts & Entertainment, Restaurants, Italian, Beer, Wine & Spirits, Fruits & Veggies, Farms, Specialty Food, Seafood, Food",0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,2
KH9ghKDytIlUwlkEioqreg,Nabruzzi Trattoria,6062 Van Dyke Rd,Lutz,FL,28.1276495,-82.5414392,4.5,398,"Restaurants, Event Planning & Services, Bars, Caterers, Venues & Event Spaces, Italian, Pizza, Wine Bars, Nightlife",0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,3
3YqUe2FTCQr0pPVK8oCv6Q,Columbia Restaurant,2117 E 7th Ave,Tampa,FL,27.9600061,-82.4349038,4.0,2860,"Latin American, Restaurants, Spanish, American (Traditional), Cuban",1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3
Swjkmg5qAHT6hwXQRWQoHQ,Tampa Bay Brewing Company Westchase,13937 Monroe's Business Park,Tampa,FL,28.0378445013,-82.6476599503,4.0,476,"American (New), Breweries, Food, American (Traditional), Restaurants, Gastropubs",1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,3
xZc-23PEAKIzE9vg8hVd1Q,Take A Break Cafe,8194 Woodland Center Blvd,Tampa,FL,28.0231486,-82.524956,3.5,19,"Restaurants, Delis, Breakfast & Brunch, Cafes",1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3
