,name,address,city,state,latitude,longitude,stars,review_count,categories,is_American,is_Dessert,is_Bar,"is_Beer,Wine,Spirits",is_Breakfast,is_Coffee & Tea,is_Asian,is_Italian,"is_Healthy,Specialty Food",is_Latin American,is_Mediterranean,is_Western European,is_Slavic Food,is_African,is_Food Markets/Shops,rating
ADe114o7Z4vb1O6HkM6YEA,Greek Lady,224 S 40th St,Philadelphia,PA,39.9534811107,-75.2029253184,3.5,461,"Greek, Fast Food, Restaurants, Breakfast & Brunch, Mediterranean, Salad",1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
wopwoiKIllIzcggK7HkTmw,The Gold Standard Cafe,4800 Baltimore Ave,Philadelphia,PA,39.9481839,-75.2196691,3.0,312,"American (Traditional), American (New), Restaurants, Food, Breakfast & Brunch, Coffee & Tea",1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
w4eReKam-skGORjv41A7KQ,Shalom Pizzeria,"7598 Haverford Ave, Ste A",Philadelphia,PA,39.979442,-75.269296,3.0,19,"Pizza, Restaurants, Vegetarian, Food, Pasta Shops, Caterers, Middle Eastern, Salad, Specialty Food, Event Planning & Services",0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,2
Fft5hj-CTvdk6enKdQpDzw,El Rodeo,"4000 W 106th St, Ste 260",Carmel,IN,39.9416872,-86.2344957,3.5,94,"Mexican, Restaurants",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
p5o0ZaobvVtlk-eJVKWIoQ,Domino's Pizza,4438 Chestnut St,Philadelphia,PA,39.956484,-75.211282,2.0,49,"Restaurants, Chicken Wings, Pizza, Sandwiches",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
3lsE-1hRI526KHKbeytPcg,Tower Style Pizza,132 S 20th St,Philadelphia,PA,39.9508923,-75.1739047,2.0,144,"Pizza, Restaurants",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
9Qfor2Rl4MBWnyZTfQYWrg,Great Wraps,1625 Chestnut St,Philadelphia,PA,39.9514394729,-75.167555809,3.0,17,"Salad, American (Traditional), Restaurants, Sandwiches, American (New)",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
TyhguONKc8i6M7wP09nTbA,Hibiscus Cafe,4907 Catharine St,Philadelphia,PA,39.9483933,-75.2215836,4.5,150,"Food, Vegetarian, Restaurants, Juice Bars & Smoothies, Vegan",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3
r5yb5JfWV4TryNZlMBHPng,Saxbys,4000 Locust St,Philadelphia,PA,39.9527910361,-75.2031435956,3.0,104,"Food, Coffee & Tea, Restaurants, Breakfast & Brunch, Juice Bars & Smoothies",0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,3
H0eLQFT7e0U4ZAPURjASEw,Popeyes Louisiana Kitchen,2743 S Front St,Philadelphia,PA,39.912518,-75.149818,2.5,12,"Sandwiches, Fast Food, Seafood, American (Traditional), Chicken Wings, Restaurants",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
07LPxCT59Gwg57tmzQdirg,Quick & Quality,4836 Spruce St,Philadelphia,PA,39.9535517,-75.219443,4.0,5,"Restaurants, Breakfast & Brunch",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
afkVsyaop-ojmY6d75V9pQ,No-1 China,7596 Haverford Ave,Philadelphia,PA,39.9794563,-75.2688406,2.0,7,"Restaurants, Chinese",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
41LEg4ZgFDVnZfToxGXiGA,Federal Donuts,3428 Sansom St,Philadelphia,PA,39.9535536,-75.1931768,4.0,322,"Coffee & Tea, Comfort Food, Donuts, Food, Restaurants",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3
