,name,address,city,state,latitude,longitude,stars,review_count,categories,is_American,is_Dessert,is_Bar,"is_Beer,Wine,Spirits",is_Breakfast,is_Coffee & Tea,is_Asian,is_Italian,"is_Healthy,Specialty Food",is_Latin American,is_Mediterranean,is_Western European,is_Slavic Food,is_African,is_Food Markets/Shops,rating
z3W2Ib6lKRFz8Vq1iMbvcQ,Dominic's Pizza,99 Route 73,Voorhees,NJ,39.8274404,-74.9280472,4.0,45,"Restaurants, Pizza",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
-7AGjO0qnOld_GZK9dNNkQ,Buffalo Wild Wings,627 Cross Keys Rd,Sicklerville,NJ,39.735013,-75.0074,2.0,122,"American (Traditional), Chicken Wings, Bars, Nightlife, Restaurants, Sports Bars",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
8Ck78FmeRO7W9iy1-5eCeg,Logan Inn,10 W Ferry St,New Hope,PA,40.3634673,-74.9514504,3.0,153,"Caterers, Hotels & Travel, Mediterranean, Hotels, Event Planning & Services, American (New), Bars, Nightlife, Whiskey Bars, Restaurants, Seafood, Bed & Breakfast, Venues & Event Spaces",1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1
UQMUtySn2q9cSObiw5UVsw,The Pop Shop - Collingswood,729 Haddon Ave,Collingswood,NJ,39.9162162,-75.0679134,3.5,603,"Food, American (New), Breakfast & Brunch, Restaurants, Diners, Desserts, Caterers, Event Planning & Services",1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1
Iz3nG8ikhvLob4w8jLRlCg,Harper's Pub & Restaurant,1 Gibbsboro Rd,Clementon,NJ,39.8058881,-74.990509,3.5,29,"Bars, Nightlife, Restaurants, American (Traditional), Pubs, Dive Bars, Irish Pub",1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2
wn1rS1Ga9xZ1BIMffnJW5A,Applebee's Grill + Bar,455 Berlin - Cross Keys Rd,Sicklerville,NJ,39.748982,-74.990204,2.5,39,"Fast Food, Burgers, Nightlife, Bars, American (Traditional), Chicken Wings, Sports Bars, Steakhouses, Restaurants",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
IF_4CdaA5VW3UUGiuNMoWg,Red Lobster,"1500 Almonesson Rd, LOCATED IN THE COURT AT DEPTFORD",Woodbury,NJ,39.826139,-75.100451,3.0,70,"Restaurants, Seafood, American (Traditional)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
xJIUkmrN3_x7KYbKKoCPow,Scotto Pizza,233 S White Horse Pike,Berlin,NJ,39.7899743,-74.9267914,3.0,27,"Pizza, Restaurants",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
Ek9iI8uJ7U3IDzVWrwzzew,Giumarello's Restaurant & G Bar,329 Haddon Ave,Haddon Township,NJ,39.906831,-75.044204,4.0,221,"Bars, Restaurants, Italian, Nightlife, Salad, Seafood",0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,2
HWRAzBHIXahwoGd9XB2r-A,Francesco's,15 State Highway 73 N,Cedar Brook,NJ,39.7181839,-74.9017407,4.0,24,"Restaurants, Food, Soup, Desserts, Italian",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2
Jd_7eNMnM757bihia5ZTDw,Philly Pretzel Factory,230 N Maple Ave,Marlton,NJ,39.9146866039,-74.9257986841,3.5,10,"Food, Restaurants, Hot Dogs, Pretzels, Bakeries",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
jK0jDNkgDzkLNusv_a_-mw,Corrados Restaurant Pizzeria,611 Sicklerville Rd,Sicklerville,NJ,39.7292305,-74.9900867,2.5,35,"Restaurants, Pizza",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
y0QsaS-8-2Jm2x1IIAaqhA,Buffalo Bills Barbecue,416 Sicklerville Rd,Sicklerville,NJ,39.7191144,-74.9712434,3.5,46,"Restaurants, Barbeque",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
