,name,address,city,state,latitude,longitude,stars,review_count,categories,is_American,is_Dessert,is_Bar,"is_Beer,Wine,Spirits",is_Breakfast,is_Coffee & Tea,is_Asian,is_Italian,"is_Healthy,Specialty Food",is_Latin American,is_Mediterranean,is_Western European,is_Slavic Food,is_African,is_Food Markets/Shops,rating
ixyBg8U2-j9pQ_iuo2DakA,Chili's,7083 Bakers Bridge Ave,Franklin,TN,35.9611352,-86.8128941,2.0,89,"American (New), Bars, Restaurants, Burgers, Chicken Wings, American (Traditional), Nightlife, Tex-Mex",1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
yE1raqkLX7OZsjmX3qKIKg,Butcher & Bee,902 Main St,Nashville,TN,36.1758957,-86.7568201,4.0,863,"Middle Eastern, American (New), Restaurants, Mediterranean, Southern",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
h_UbaqduIhtIQvYV7p2oVQ,Castrillo's Pizza,3501 Park Ave,Nashville,TN,36.15139,-86.826088,4.5,83,"Restaurants, Chicken Wings, Sandwiches, Pizza",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
7QhD08nXbfM97GHv9v4NYg,Puffy Muffin,229 Franklin Rd,Brentwood,TN,36.0314871,-86.7911551,3.5,193,"American (Traditional), Sandwiches, Custom Cakes, Bakeries, Breakfast & Brunch, Food, Restaurants",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
_RvXPNxWcRw833a8B3vSOQ,Mission BBQ,161 Opry Mills Dr,Nashville,TN,36.2045326586,-86.6915824594,4.5,733,"Sandwiches, Barbeque, Restaurants, Salad",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
E2VvARX8nhb5hK7_yN_UOA,Local Taco,146 Pewitt Dr,Brentwood,TN,36.0339464,-86.787105,3.0,308,"Tacos, Restaurants, Tex-Mex, Local Flavor, Salad, Southern, Mexican, Breakfast & Brunch",1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,2
y9S7znlFxXzN0aUqvPJESA,Sichuan Hot Pot & Asian Cuisine,5680 Nolensville Pike,Nashville,TN,36.0469066387,-86.7099458792,4.0,217,"Restaurants, Hot Pot, Nightlife, Chinese, Bars, Asian Fusion, Szechuan",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2
VAeEXLbEcI9Emt9KGYq9aA,The Pharmacy,731 McFerrin Ave,Nashville,TN,36.1849355,-86.7541885,4.0,3054,"Burgers, Sandwiches, Food, Beer, Wine & Spirits, American (Traditional), Bars, Nightlife, Restaurants",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2
JkC7VnzDrC8hoK92I7d91g,El Pueblo Mexican Restaurant,210 Country Village Dr,Smyrna,TN,35.9572797,-86.5226449,3.5,37,"Bars, Seafood, Restaurants, Nightlife, Latin American, Mexican, Event Planning & Services, Caterers",0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,2
TPJDYtx3macicNZzOWaA7Q,Olive Garden Italian Restaurant,1131 Bell Rd,Antioch,TN,36.0454247009,-86.6646251137,2.5,119,"Salad, Restaurants, Bars, Italian, Nightlife, Soup, Wine Bars",1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,2
3CFVBCfjdCvESS1ogBv21A,DeSano Pizza Bakery,115 16th Ave S,Nashville,TN,36.1527621,-86.7925681,4.5,992,"Pizza, Restaurants",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
kBOZOdcDEZ0ZfUnXth2uqA,Stoney River Steakhouse and Grill,3015 West End Ave,Nashville,TN,36.1427491,-86.8145418,4.0,334,"Steakhouses, American (New), Restaurants, Seafood",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
G0glQr3Ygr5CGcACepWDSw,Taqueria San Luis,"369 Harding Pl, Ste B",Nashville,TN,36.084194,-86.705148,4.5,117,"Restaurants, Food, Butcher, Mexican",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2
zPiBTTqr9PyUwjhDsdfH2w,Burger Republic,6900 Lenox Village Dr,Nashville,TN,36.024589,-86.71193,4.0,495,"Restaurants, American (New), Burgers, American (Traditional)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ZzJofWxYndRUyiOyPI-O7A,Hai Woon Dai,2051 Antioch Pike,Antioch,TN,36.06844,-86.683994,4.0,180,"Korean, Restaurants, Asian Fusion, Barbeque, Soul Food",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
jugVvW4yAJu92lzv3jun0w,Kay Bob's Grill & Ale,1602 21st Ave S,Nashville,TN,36.1386026,-86.8003583,4.0,197,"Nightlife, Gastropubs, American (New), Bars, Restaurants, Mediterranean, Sandwiches",1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,3
Jn_F3hYqknRTepCg6om04Q,Chile Burrito,330 Franklin Rd,Brentwood,TN,36.0265540855,-86.7898475993,4.0,92,"Mexican, Restaurants",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
NRd01eXx85MPnfSz6YInvA,Fogatas Authentic Mexican Food,5560 Nolensville Pike,Nashville,TN,36.046921,-86.710699,4.0,154,"Restaurants, New Mexican Cuisine, Nightlife, Food, Mexican, Juice Bars & Smoothies, Beer, Wine & Spirits, Bars, Beer Bar, Breakfast & Brunch",0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,3
k8JazPdt5ZojaKC1TzYJnA,Kouzina Cafe Gyros and Subs,5300 Nolensville Pike,Nashville,TN,36.0535042915,-86.7146842447,4.5,119,"Mediterranean, Food, Specialty Food, Fast Food, Greek, Sandwiches, Ethnic Food, Restaurants",1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3
PwbeSKSCBnqXJlAxEaUrnA,Rosepepper Mexican Grill,1907 Eastland Ave,Nashville,TN,36.1827471,-86.7352329,3.0,777,"Nightlife, Bars, Restaurants, Dive Bars, Mexican",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4
c4IkL2K64JeFC7kcnbupsw,Chipotle Mexican Grill,269 Franklin Rd,Brentwood,TN,36.029752686,-86.7914768994,2.5,77,"Mexican, Restaurants, Fast Food",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4
9_b6-A_Fj3KCrctVyraAFA,Firebirds Wood Fired Grill,700 Old Hickory Blvd,Brentwood,TN,36.0408597699,-86.7695054291,4.0,327,"Food, American (New), Sandwiches, Restaurants, Desserts, Bars, Steakhouses, American (Traditional), Wine Bars, Nightlife, Seafood",1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,4
ltBBYdNzkeKdCNPDAsxwAA,Tavern,1904 Broadway,Nashville,TN,36.1508999,-86.7970117,4.0,1222,"Cocktail Bars, Nightlife, Gastropubs, Sports Bars, Restaurants, American (New), Lounges, Bars",1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4
w520vYWEpEYBf90rSr9NVA,The Smiling Elephant,2213 8th Ave S,Nashville,TN,36.1294297,-86.7784958,4.0,604,"Thai, Chinese, Seafood, Restaurants",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4
DF_cgKLV_YMDkBaNlE0XoQ,Sam & Zoe's,525 Heather Pl,Nashville,TN,36.1127741,-86.7661669,4.0,235,"Restaurants, Food, Coffee & Tea, Breakfast & Brunch, Cafes, Sandwiches",1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4
LOs7G4gEbtYlwkVrdnMQ4w,Waffle House,14991 Old Hickory Blvd,Nashville,TN,36.04526834,-86.7111207058,3.0,21,"Diners, Restaurants, American (New), American (Traditional), Waffles, Breakfast & Brunch",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4
mLWsfI_NGEFyEEDyzwBfxw,Newk's Eatery,2714 W End Ave,Nashville,TN,36.1454166,-86.81232,3.5,96,"Restaurants, American (New), Cafes, American (Traditional), Sandwiches, Pizza",1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4
63wsqoXuGgehnuGrTW4y7g,The Farm House,210 Almond St,Nashville,TN,36.1590990661,-86.7750539509,4.0,833,"Food, Restaurants, Southern, American (New)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
quk6TFDQyuQ4g0KuIb9qUA,Five Points Pizza,1012 Woodland St,Nashville,TN,36.177123,-86.7505025,4.5,1293,"Nightlife, Bars, Italian, Restaurants, Pizza, Food",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4
UZCe8bfQdU38wXzURA0RfA,Pei Wei,"101 Creekside Crossing, Ste 1800",Brentwood,TN,36.03685501,-86.79900096,2.5,115,"Gluten-Free, Restaurants, Asian Fusion, Chinese, Fast Food",1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,4
jl38yx7zzMRbg-kOK8NLDw,Germantown Cafe,1200 5th Ave N,Nashville,TN,36.1754314594,-86.7879751742,4.0,662,"German, Bars, Gluten-Free, Nightlife, Pubs, American (New), Restaurants, Breakfast & Brunch, American (Traditional), Cafes, Southern, French",1,0,1,0,1,1,0,0,1,0,0,1,1,0,1,4
HCqmx4ENAZ76SAjoalj-MQ,Puckett's Grocery & Restaurant,120 4th Ave S,Franklin,TN,35.9237549,-86.8700112,4.0,850,"Barbeque, American (Traditional), Arts & Entertainment, Southern, Breakfast & Brunch, Comfort Food, Nightlife, Music Venues, Restaurants, Food, Grocery",1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,4
5eayf0Y0TY1ufCWXAk_a3Q,Baja Burrito,722 Thompson Ln,Nashville,TN,36.1125579,-86.7660491,4.5,459,"Mexican, Restaurants",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4
gmimhqv4vrG7_LYadxFYZA,Carniceria Y Taqueria Don Juan,2910 Nolensville Pike,Nashville,TN,36.1097371,-86.7440339,4.5,109,"Restaurants, Mexican",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4
NB5XTBuLVCn7c9Lu5SUqKg,Chauhan Ale & Masala House,123 12th Ave N,Nashville,TN,36.1577208,-86.7885843,4.0,1049,"Gastropubs, Restaurants, Nightlife, Southern, Bars, Indian",1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4
6jr6xW05PcKutwr5lbVVAg,Fleming’s Prime Steakhouse & Wine Bar,"2525 W End Ave, Ste 220",Nashville,TN,36.146076,-86.809204,4.0,240,"Bars, Nightlife, Restaurants, Seafood, Steakhouses, Wine Bars",1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,4
6Pu5MKIWbn6FO-oebSSrYQ,The Southern Steak & Oyster,"150 3rd Ave S, Ste 110",Nashville,TN,36.1598191068,-86.7746758461,4.0,2295,"Seafood, Bars, Breakfast & Brunch, Nightlife, Cajun/Creole, American (Traditional), Southern, Steakhouses, Pubs, Restaurants",1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,4
7fH8SmEBinkv2AI7B8dOWA,The Palm - Nashville,140 5th Ave S,Nashville,TN,36.159825,-86.777827,3.5,337,"Restaurants, Event Planning & Services, Seafood, Hotels & Travel, American (New), Steakhouses, Hotels",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
JZPFtLIIpClFFQAQ6RJngw,Casa Fiesta,1111 Bell Rd,Antioch,TN,36.0453371,-86.6633514,4.0,238,"Restaurants, Mexican",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4
w0peMClztE-VtO8lQg1Srw,Jimmy John's,2318 West End Ave,Nashville,TN,36.1484434,-86.8060766,3.0,79,"Food Delivery Services, Delis, Restaurants, Sandwiches, Fast Food, Food",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
dNR-b-CsrFGYhMo9zLMrCw,Soy Bistro,5008 Maryland Way,Brentwood,TN,36.0348465,-86.792967,4.5,482,"Japanese, Korean, Asian Fusion, Tacos, Mexican, Restaurants",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4
tix-1KNJUzjyRerstEHw5Q,Taqueria El Dolar,3500 Nolensvillle Pike,Nashville,TN,36.0982835,-86.7384746,4.5,45,"Restaurants, Street Vendors, Food, Mexican, Food Trucks",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4
NjozOOgSQqGFn8Wnbn8HkQ,Arby's,2350 Murfreesboro Pike,Nashville,TN,36.0841599584,-86.6467602,3.0,7,"Restaurants, Sandwiches, Fast Food",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
OJ6jJDmT_8Wg3a4z3bZ2LA,Blaze Pizza,7011 Executive Center Dr,Brentwood,TN,36.029884,-86.79012,4.0,181,"Pizza, Gluten-Free, Salad, Restaurants, Fast Food",1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,5
cAAtoYUKC_Z8AmSF95mjcg,Two Boots Nashville,1925 Broadway,Nashville,TN,36.149319,-86.7981306,4.0,440,"Gluten-Free, Restaurants, Pizza",0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,5
8fLI8HwccIfQWi0UyH-1Fw,Peter's Sushi & Thai,"330 Franklin Rd, Ste 912D",Brentwood,TN,36.026586,-86.789946,4.0,290,"Sushi Bars, Restaurants, Japanese, Thai",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,5
yktnwboMIQZkOvcZywktzA,House of India,"9100 Carothers Pkwy, Ste 105",Franklin,TN,35.9594003015,-86.8012831524,4.5,488,"Caterers, Restaurants, Event Planning & Services, Buffets, Vegetarian, Pakistani, Indian",1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,5
