,name,address,city,state,latitude,longitude,stars,review_count,categories,is_American,is_Dessert,is_Bar,"is_Beer,Wine,Spirits",is_Breakfast,is_Coffee & Tea,is_Asian,is_Italian,"is_Healthy,Specialty Food",is_Latin American,is_Mediterranean,is_Western European,is_Slavic Food,is_African,is_Food Markets/Shops,rating
E6XroNxiqhu5lTBRNyd69g,King's Corner,603 Summit Ave,Jenkintown,PA,40.0941666,-75.12774,3.5,149,"Nightlife, Restaurants, American (Traditional), British, Food, Bars, Pubs",1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
i4ttU3qq_F30WCfzh3kjJw,Kelly's Seafood,9362 Old Bustleton Ave,Philadelphia,PA,40.0836156,-75.0382522,2.5,90,"Restaurants, Sandwiches, Soup, Seafood",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
YjLMWlHoBJHtYMLdFXfvVg,El Limon - Ambler,38 E Butler,Ambler,PA,40.1541475214,-75.2226005889,4.0,457,"Mexican, Restaurants, Salad, Sandwiches",1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
9-W8_gKJ-tRPr52TFKFNWg,Burger King,1624 Cottman Ave,Philadelphia,PA,40.0543678735,-75.0721313202,2.0,18,"Restaurants, Fast Food, Burgers",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
rAe-1HU5Z-DuUXEbzASXDA,Mad Mex - Willow Grove,2862 W Moreland Rd,Willow Grove,PA,40.147965,-75.1282592,3.0,442,"Nightlife, Restaurants, Mexican, Tex-Mex, Bars",1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2
tdXYmpPzMuBzm9bN46PG3w,Miller's Ale House,2300 Easton Rd,Willow Grove,PA,40.165396,-75.12694,3.0,263,"Sports Bars, Restaurants, American (Traditional), American (New), Nightlife, Pubs, Bars, Seafood",1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2
3zK9LTY3TgH7nU18-dnXtA,Toscana 52,4603 St Rd,Feasterville,PA,40.135448,-74.97968,3.5,398,"Italian, Restaurants",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
nwVZnjRDhUrFo1kGahLIZQ,Steam,606 2nd St Pike,Southampton,PA,40.17158894,-75.0451144,4.0,420,"Restaurants, Event Planning & Services, Sports Bars, Music Venues, Caterers, American (New), Pubs, Arts & Entertainment, Gastropubs, Nightlife, Bars",1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,3
5uHqdix18wYakIps4lM6Ow,Chickie's & Pete's,2999 St Rd,Bensalem,PA,40.1185464071,-74.9531656944,3.0,152,"Restaurants, Seafood, Bars, Arcades, Arts & Entertainment, Nightlife, Casinos, Sports Bars",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4
LsqrLBwo4-VGuwATGAfJ5A,Ricardo's Restaurant,20 Fetters Mill Sq,Huntingdon Valley,PA,40.1250078,-75.063181,3.5,53,"Spanish, Restaurants, Pizza, Mediterranean, Portuguese, Italian",0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,4
JIJRGWO8ED_G-KHVJlKggw,Cheese Dawgs,318 Bustleton Pike,Feasterville,PA,40.1424733,-75.0061186,5.0,118,"Food, Ice Cream & Frozen Yogurt, Hot Dogs, Sandwiches, Restaurants",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
C81SlkhHZZxhabsctJ8c8A,Maggio's,400 2nd St Pike,Southampton,PA,40.1677391,-75.0476531,3.5,191,"Pizza, Bars, Italian, Venues & Event Spaces, Restaurants, Nightlife, Event Planning & Services",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4
