,name,address,city,state,latitude,longitude,stars,review_count,categories,is_American,is_Dessert,is_Bar,"is_Beer,Wine,Spirits",is_Breakfast,is_Coffee & Tea,is_Asian,is_Italian,"is_Healthy,Specialty Food",is_Latin American,is_Mediterranean,is_Western European,is_Slavic Food,is_African,is_Food Markets/Shops,rating
pQ-oo8Bai2VuTqxy0bhLgQ,Kurry Korner,1016-18 Race St,Philadelphia,PA,39.9553668,-75.1566243,4.0,75,"Restaurants, Japanese, Asian Fusion, Japanese Curry, Thai",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0cHDa2cXCF4PZzO2krXypg,Bo Sing,4006 Market St,Philadelphia,PA,39.9569332,-75.2023914,4.0,12,"Sandwiches, Restaurants, Chinese, Asian Fusion",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Mwc3n5Psw9wRaQ22vZWDYQ,Bar Hygge,1720 Fairmount Ave,Philadelphia,PA,39.9671254924,-75.1661240918,4.5,387,"Food, Restaurants, Breweries, Comfort Food, Brewpubs, Breakfast & Brunch, Gastropubs",1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,2
-ejuzGbu3ZHUndhLTQafJg,Saint Anejo,1120 Mcgavock St,Nashville,TN,36.1560886,-86.7863707,3.5,851,"Nightlife, Breakfast & Brunch, Bars, Desserts, Restaurants, Adult Entertainment, Food, Cocktail Bars, Mexican",0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,2
Hr6aM0s-woIJaW6DJSbvNQ,Aki Nom Nom Sushi & Ramen,1210 Walnut St,Philadelphia,PA,39.948896,-75.1611319,3.5,573,"Sushi Bars, Restaurants, Lounges, Ramen, Japanese, Nightlife, Bars",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2
0-JRAY0LpBazDuA9761U5w,Pizzeria Vetri,1615 Chancellor St,Philadelphia,PA,39.94941083,-75.1686977423,4.0,313,"Salad, Italian, Pizza, Restaurants, Cafes",0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,3
6c8eIawbCBu3FLp2kDraBA,Attico Rooftop Lounge,"219 S Broad St, Rooftop of Cambria Hotel",Philadelphia,PA,39.9486052,-75.1640808,3.0,206,"Tapas/Small Plates, American (Traditional), Beer, Wine & Spirits, Mediterranean, Restaurants, Food, Bars, Cocktail Bars, Nightlife",1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,3
Te4yTJ7blab4s_JTAF71Iw,Sakura Japanese Sushi Restaurant,1203 Kirkwood Hwy,Wilmington,DE,39.739709,-75.6008716,4.5,178,"Sushi Bars, Noodles, Restaurants, Asian Fusion, Japanese",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3
Og1HekJMHKqsvtWaUp9V8g,Flying Monkey Bakery,12th St & Arch St,Philadelphia,PA,39.953807711,-75.1586299373,3.5,378,"Food, Restaurants, Desserts, Local Flavor",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
ExRxjqOGmkWjArvM_qBORw,The Wayward,1170 Ludlow St,Philadelphia,PA,39.9509148952,-75.1595963538,4.0,92,"American (New), Restaurants, Brasseries, French",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
Ek6iqYGdYtyltAxVnhtJKQ,JG SkyHigh,"1 N 19th St, Fl 60",Philadelphia,PA,39.9552040814,-75.1709829249,4.0,129,"Lounges, Seafood, Bars, Cocktail Bars, Restaurants, French, American (New), Nightlife",1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,4
1Ck2drCXGh1h5bhc9aIRpg,Jack's Firehouse,2130 Fairmount Ave,Philadelphia,PA,39.9670823,-75.1733028,3.5,569,"Restaurants, American (New), Nightlife, Barbeque, Bars",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4
Ay0j65KKb3sOrOFUVWs44g,Dolce & Caffè,708 N 2nd St,Philadelphia,PA,39.9622145,-75.1413898,4.5,111,"Cafes, Cafeteria, Restaurants, Italian, Gelato, Food",0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,4
p_g_AjXjRGXN_IyGAzuIMg,Hello Donuts + Coffee,2557 Amber St,Philadelphia,PA,39.9844875,-75.1244597,4.5,48,"Coffee & Tea, Restaurants, Breakfast & Brunch, Food, Donuts",0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,4
oXw9R3-fdgAzv0K6d35lkA,QU JAPAN BISTRO & BAR,"1635 Market St, Ste 103",Philadelphia,PA,39.953712,-75.168052,4.5,118,"Ramen, Japanese, Nightlife, Restaurants, Beer, Wine & Spirits, Food, Cocktail Bars, Sushi Bars, Bars",0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,4
3gVSrS4kffGGZT8oXHsIcw,Pod,3636 Sansom St,Philadelphia,PA,39.9539707735,-75.1960369886,3.5,797,"Restaurants, Lounges, Asian Fusion, Nightlife, Sushi Bars, Bars",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4
AwvhobfqOJNBnbXQ_pB3pw,Chix & Bowls,28 S 20th St,Philadelphia,PA,39.9524750756,-75.1735316558,4.0,142,"Seafood, Restaurants, Sandwiches, Korean, Asian Fusion, American (Traditional), Chicken Wings, Comfort Food",1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4
nPfUxvE41sjRJqZTUj-qGw,Cafe Clover,"1333 W Cheltenham Ave, Ste 103",Elkins Park,PA,40.0629981,-75.1378919,4.5,86,"Restaurants, Food, Korean, Shaved Ice, Desserts, Coffee & Tea",0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,4
-0TffRSXXIlBYVbb5AwfTg,IndeBlue Modern Indian Food & Spirits,205 South 13th St,Philadelphia,PA,39.9485078263,-75.1619688173,4.5,1097,"Cocktail Bars, Food Delivery Services, Nightlife, Breakfast & Brunch, Food, Bars, Event Planning & Services, Caterers, Restaurants, Indian",0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,4
9c7MUiE6VI8NesjPdj5FkA,Bubblefish,909 Arch St,Philadelphia,PA,39.9536791,-75.1551081,4.0,544,"Restaurants, Sushi Bars, Japanese, Bubble Tea, Taiwanese, Food",0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,4
y1Z9tymuBGVDZnYZoLk-2Q,Fork,306 Market St,Philadelphia,PA,39.9500007,-75.146124,4.0,640,"Burgers, American (New), Restaurants, Breakfast & Brunch",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
KrKQChZ1hwHHVaUK9Zc-Ag,Iron Hill Brewery & Restaurant,1150 Market St,Philadelphia,PA,39.9515764639,-75.1596684381,4.0,324,"Food, Breweries, Restaurants, American (Traditional), Brewpubs",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4
QUSctIF_D2yv_NJeokhXFw,Condesa,1830 Ludlow St,Philadelphia,PA,39.9524637,-75.171228,4.0,117,"Mexican, Bars, Cocktail Bars, Nightlife, Restaurants",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4
gnpyyeWQ53WlDMJEq-YA_w,Tinto,114 S 20th St,Philadelphia,PA,39.9515011,-75.1738449,4.0,877,"Basque, Tapas Bars, Iberian, Bars, Wine Bars, Restaurants, Lounges, Nightlife, Spanish",0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,5
nMDteyIwo3zLbqm45xBwFw,Prince Tea House,203 N 9th St,Philadelphia,PA,39.9553481,-75.1540592,4.5,176,"Sandwiches, Food, Desserts, Coffee & Tea, Restaurants, Tea Rooms",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,5
P4h9ff9Zu3c_Rqb-gWkhUg,Maple Japanese Ramen,2102 Chestnut St,Philadelphia,PA,39.9521517,-75.1757544,4.5,94,"Ramen, Restaurants, Japanese",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5
nIAbuktMEzVjT4P9pG89rQ,Buddakan,325 Chestnut St,Philadelphia,PA,39.9489186,-75.1471667,4.0,1561,"Restaurants, Asian Fusion, Chinese",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5
HTgKfmmlzgE43trhntv8-w,DuBu,"1333 W Cheltenham Ave, Ste 102",Elkins Park,PA,40.0629981,-75.1378919,4.5,509,"Restaurants, Vegetarian, Korean, Comfort Food, Barbeque",1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5
MTSW4McQd7CbVtyjqoe9mw,St Honore Pastries,935 Race St,Philadelphia,PA,39.9555052,-75.1555641,4.0,80,"Restaurants, Food, Bubble Tea, Coffee & Tea, Bakeries",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,5
S8ZFYEgMejpChID8tzKo9A,Amada,217 Chestnut St,Philadelphia,PA,39.9485863525,-75.1449131188,4.0,2109,"Spanish, Restaurants, Breakfast & Brunch, Tapas Bars, Iberian",0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,5
bCvUy9KIFP4Q6DwCwRKmMg,The Breakfast Den,1500 South St,Philadelphia,PA,39.943759,-75.167337,4.0,83,"Restaurants, Breakfast & Brunch, Sandwiches",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5
ENhzvzEbixDwE3f5G-shbg,Yummy Sushi,1807 Jfk Blvd,Philadelphia,PA,39.9544373,-75.1700395,3.5,94,"Sushi Bars, Restaurants",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,5
hdtnpHXn-iIFTzPLvoOK0Q,The Dutch,1527 S 4th St,Philadelphia,PA,39.9288513959,-75.1521847471,4.0,334,"Salad, Breakfast & Brunch, Sandwiches, Restaurants",1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5
oIr50siZDtDYCE_p5K8nYA,Winkel,1119 Locust St,Philadelphia,PA,39.947791,-75.1603392,4.5,246,"Breakfast & Brunch, Food, Sandwiches, Salad, Coffee & Tea, Restaurants, Modern European, Cafes",1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,5
-mIlmp5l4hKlp1tvHRdvTg,Sonny's Famous Steaks,228 Market St,Philadelphia,PA,39.9499178538,-75.1447920753,4.0,1697,"Cheesesteaks, Comfort Food, Restaurants, Delis, Burgers, American (Traditional), Sandwiches, Local Flavor",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
RGXb-3iUuaORNWB_nt_RcQ,Galliano Restaurant,200 Julia St,New Orleans,LA,29.9443856,-90.0654858,4.5,730,"Cajun/Creole, Seafood, Southern, Restaurants",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
GoYSJ-YY-YwbxdgasHuq-Q,Mixto,1141 Pine St,Philadelphia,PA,39.945195,-75.161082,4.0,1246,"Latin American, Argentine, Restaurants, Breakfast & Brunch, Italian, Cuban, Caribbean",0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,5
