,name,address,city,state,latitude,longitude,stars,review_count,categories,is_American,is_Dessert,is_Bar,"is_Beer,Wine,Spirits",is_Breakfast,is_Coffee & Tea,is_Asian,is_Italian,"is_Healthy,Specialty Food",is_Latin American,is_Mediterranean,is_Western European,is_Slavic Food,is_African,is_Food Markets/Shops,rating
zaCX8VFkfunbp3yH60Zg_Q,McDonald's,1505 Manhattan Blvd,Harvey,LA,29.8945946,-90.0597248,1.5,18,"Burgers, Food, Restaurants, Fast Food, Coffee & Tea, Sandwiches",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
WSi08gApEgsS62TIE78J_g,Buffalo Wild Wings,4150 General De Gaulle Dr,New Orleans,LA,29.9207723259,-90.0122624276,2.0,125,"Sports Bars, Chicken Wings, Bars, Cafes, Nightlife, Restaurants, American (Traditional)",1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
mM4--pwCB_N0vwuGpytR2g,IHOP,5025 Lapalco Blvd,Marrero,LA,29.874471,-90.100269,1.5,27,"Restaurants, American (New), American (Traditional), Breakfast & Brunch, Burgers",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
9ruUYAz35q6mgUpxb5zZhg,Casa Borrega,1719 Oretha Castle Haley Blvd,New Orleans,LA,29.9395179749,-90.0808029175,3.5,302,"Restaurants, Mexican, Arts & Entertainment, Nightlife, Music Venues, Local Flavor, Bars",1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2
mBXxL7776PIpye9GRDLu6Q,Apolline Restaurant,4729 Magazine St,New Orleans,LA,29.920684,-90.105841,4.5,406,"Restaurants, French, American (New), Breakfast & Brunch",1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2
Y0JF1UN7pfWJ-GuzuVXM0g,New York Pizza,4418 Magazine St,New Orleans,LA,29.921,-90.102121,3.0,178,"Restaurants, Pizza, Nightlife, Italian, Bars",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3
RCvzFRJoc4RZPwUSey1MeA,Oak Oven,6625 Jefferson Hwy,Harahan,LA,29.9379046,-90.1956264,4.0,227,"Italian, Restaurants, Pizza",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
QNq_X4ImJkPKyVll_k6ViQ,Del Fuego,4518 Magazine St,New Orleans,LA,29.9204574,-90.1032111,4.0,238,"Food, Ethnic Food, Restaurants, Mexican, Specialty Food",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3
JHZ9LdG-V9yEcmT2UiBeDQ,Joe's Cafe,2691 Barataria Blvd,Marrero,LA,29.8530248,-90.108252,3.0,69,"Cafes, Restaurants, Donuts, Food, Breakfast & Brunch",0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,3
iQp3QlP4iynGTXgFqpZ7Gg,The Velvet Cactus,6300 Argonne Blvd,New Orleans,LA,30.0048795,-90.1029873,3.5,500,"Restaurants, Breakfast & Brunch, Salad, Mexican",0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,3
YwezxSSXcrT5GOTI5MddPg,Casamento's Restaurant,4330 Magazine St,New Orleans,LA,29.9205946,-90.1010561,4.0,330,"Seafood, Restaurants",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
0zQfWaRj2A4C2KHwfx_RGA,Juneau's Sandwich Shop,4016 7th St,Marrero,LA,29.8998698,-90.0910832,4.5,25,"Restaurants, Sandwiches",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
J1bG9ezYHMkzqV1yRsVtQQ,Geisha Sushi Bistro,111 Tchoupitoulas St,New Orleans,LA,29.9508415,-90.0665566,3.5,325,"Sushi Bars, Restaurants, Japanese",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3
Lue4wkey4E6_Jr_PIlHUrA,River Shack Tavern Gretna,714 1st St,Gretna,LA,29.9178998124,-90.0660248884,3.5,127,"Restaurants, Arts & Entertainment, Music Venues, Breakfast & Brunch, Seafood, American (New), Nightlife",1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,3
15wZXW7U8zDZdbPy95m_Jg,Tennou Sushi Bar,1818 Manhattan Blvd,Harvey,LA,29.887524,-90.056759,3.5,129,"Sushi Bars, Restaurants, Japanese",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3
D73evJ9PZKxO3E5TaThe3w,Superior Grill,3636 St Charles Ave,New Orleans,LA,29.9269027,-90.0942815,3.0,510,"Tex-Mex, Mexican, Restaurants",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
CG1Bb2MTraJYTHCPFm72XA,Red Dog Diner,3122 Magazine St,New Orleans,LA,29.9244039489,-90.0860021837,4.5,800,"American (New), Restaurants, Breakfast & Brunch, Bars, Nightlife, Diners, Cocktail Bars",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3
SBtjW_pKw3XaOKtKAavWZg,Maïs Arepas,1200 Carondelet St,New Orleans,LA,29.9418983,-90.0750378,4.5,665,"Restaurants, Bars, Latin American, Nightlife, Colombian",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3
oFbwMxqaCJfIzAEmwaXD3Q,Johnny Sanchez,930 Poydras St,New Orleans,LA,29.9499676853,-90.0740530133,4.0,944,"Restaurants, Mexican, Bars, Nightlife",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4
Tdri3C3E2A93twBL3QKvaQ,Cafe Zen,"2112 Belle Chasse Hwy, Ste 5",Gretna,LA,29.8881487,-90.0329068,4.0,115,"Sushi Bars, Restaurants, Japanese, Desserts, Food",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,4
0g9XB5iLNje1B4UNbzqCPA,The Blue Crab Restaurant & Oyster Bar,7900 Lakeshore Dr,New Orleans,LA,30.025845,-90.113374,3.5,492,"Seafood, Food, Salad, Restaurants, Beer, Wine & Spirits, Soup, American (Traditional)",1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,4
