,name,address,city,state,latitude,longitude,stars,review_count,categories,is_American,is_Dessert,is_Bar,"is_Beer,Wine,Spirits",is_Breakfast,is_Coffee & Tea,is_Asian,is_Italian,"is_Healthy,Specialty Food",is_Latin American,is_Mediterranean,is_Western European,is_Slavic Food,is_African,is_Food Markets/Shops,rating
Gw3-ekvYP6w6Wrcs0eLcIQ,Sonic Drive-In,791 Nissan Dr,Smyrna,TN,35.9742164,-86.4919425,2.0,15,"Food, Fast Food, Burgers, Restaurants, Ice Cream & Frozen Yogurt",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-bOcJEs8imqtSXwG644k1g,Cracker Barrel Old Country Store,2697 Highwood Blvd,Smyrna,TN,35.972515,-86.574105,3.0,83,"Event Planning & Services, Caterers, Diners, Restaurants, Comfort Food, Breakfast & Brunch, American (Traditional), Coffee & Tea, Southern, Desserts, Salad, Food",1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,2
8wTLePO7erXmXTFjeSGSOA,Jasmine,"8105 Moores Ln, Ste 1500",Brentwood,TN,35.9645111,-86.8008993,4.0,276,"Thai, Restaurants, Sushi Bars",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2
A4rTUw6xBE3-wQLN_iaQEA,Margarita House,145 N Lowry St,Smyrna,TN,35.9874265,-86.5226671,3.5,75,"Mexican, Restaurants",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
lpYk8a3UcytfNun7Atneag,Yummy Poki,"901 Rock Springs Rd, Ste 110",Smyrna,TN,35.9841932297,-86.5468020363,4.0,34,"Hawaiian, Food, Japanese, Poke, Sushi Bars, Restaurants, Ramen",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3
hJJn1tiG6GyN0pot-bwJng,Asuka Hibachi And Buffet,645 President Pl,Smyrna,TN,35.9804994,-86.5568202,3.0,73,"Buffets, Restaurants, Japanese",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
tewtTBXF-_vNp9Fed97B8w,General Jackson Showboat,2812 Opryland Dr,Nashville,TN,36.2038876327,-86.6952658277,3.5,165,"American (Traditional), Arts & Entertainment, Mass Media, Event Planning & Services, Radio Stations, Party & Event Planning, Venues & Event Spaces, Restaurants, Nightlife, Local Flavor, Music Venues",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
rmQHRSJinTTsP8EerpdChA,Drake's,553 Cool Springs Blvd,Franklin,TN,35.9478354,-86.8213842,3.5,342,"Food, American (Traditional), Nightlife, Restaurants, Beer, Wine & Spirits, American (New), Sushi Bars, Bars",1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,4
CBVr3pi38wKweXVScurtVQ,Cheddar's Scratch Kitchen,955 Industrial Blvd,Smyrna,TN,35.9795342387,-86.5680170059,3.5,144,"Restaurants, Fast Food, Comfort Food, American (Traditional), Southern",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
uMyf6tfLnTSpi2LdB-R84g,The Pub Nashville,400 11th Ave S,Nashville,TN,36.1527692,-86.7835306,3.5,545,"Burgers, British, Bars, American (Traditional), Nightlife, Restaurants, Pubs, Food",1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4
