,name,address,city,state,latitude,longitude,stars,review_count,categories,is_American,is_Dessert,is_Bar,"is_Beer,Wine,Spirits",is_Breakfast,is_Coffee & Tea,is_Asian,is_Italian,"is_Healthy,Specialty Food",is_Latin American,is_Mediterranean,is_Western European,is_Slavic Food,is_African,is_Food Markets/Shops,rating
qRgeV1CMZawRblc2qjHo_g,El Jarocho,1138 S 13th St,Philadelphia,PA,39.936492,-75.165011,4.0,445,"Restaurants, Mexican",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2pLIQ0RHSmUbF0eIRT0LYg,Vintage Wine Bar,129 S 13th St,Philadelphia,PA,39.9495566,-75.1617091,4.0,406,"Wine Bars, Bars, Nightlife, French, Restaurants",0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,2
sL6fC0P4C-gyL4E5gacUeQ,Lazaro's Pizzeria & Grill,1743 South St,Philadelphia,PA,39.944571,-75.171679,4.0,368,"Sandwiches, Restaurants, Pizza, Italian, Salad",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
GKNknnI7pZgPwjOKNI9NPQ,Lucky 13 Pub,1820 S 13th St,Philadelphia,PA,39.9271637,-75.1671282,4.0,126,"Pubs, Bars, American (New), Restaurants, Nightlife",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
ELgR35KIlpuTMeWi6tFP7g,Mikimotos Japanese Restaurant & Sushi Bar,1212 N Washington St,Wilmington,DE,39.74932033,-75.54999427,3.5,269,"Nightlife, Japanese, Sushi Bars, Restaurants, Bars",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3
QGYzYUMsQe6k7__LD91E5w,QT Vietnamese Sandwich,48 N 10th St,Philadelphia,PA,39.953229,-75.156582,4.5,538,"Vietnamese, Restaurants, Sandwiches, Specialty Food, Ethnic Food, Food",1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3
OdIBX09glfXNVSyd0RnIeg,Monk's Cafe,264 S 16th St,Philadelphia,PA,39.947701,-75.1682869,4.0,2184,"Nightlife, Pubs, Bars, Belgian, Restaurants, Gastropubs",0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,3
GKohndn_sMk2nWCh1jkAfg,Terryin,358 Snyder Ave,Philadelphia,PA,39.9219375,-75.1528432,4.0,159,"Restaurants, Chinese, Sushi Bars, Asian Fusion, Japanese",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3
4J06--ty2Ydj1---IsArLw,Cantina Los Caballitos,1651 E Passyunk Ave,Philadelphia,PA,39.9288976,-75.1644726699,3.5,874,"Restaurants, Mexican, Breakfast & Brunch, Bars, Fast Food, Nightlife",1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,3
IkY2ticzHEn4QFn8hQLSWg,Geno's Steaks,1219 S 9th St,Philadelphia,PA,39.933836785,-75.1588137524,2.5,3401,"Sandwiches, Cheesesteaks, Steakhouses, Restaurants",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
