,name,address,city,state,latitude,longitude,stars,review_count,categories,is_American,is_Dessert,is_Bar,"is_Beer,Wine,Spirits",is_Breakfast,is_Coffee & Tea,is_Asian,is_Italian,"is_Healthy,Specialty Food",is_Latin American,is_Mediterranean,is_Western European,is_Slavic Food,is_African,is_Food Markets/Shops,rating
tk6ZC4FQ7-DO-oNMy-o46w,KFC,415 Gallatin Pike N,Madison,TN,36.2666158561,-86.7113965889,1.5,11,"Chicken Shop, Chicken Wings, Fast Food, Restaurants",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
yE1raqkLX7OZsjmX3qKIKg,Butcher & Bee,902 Main St,Nashville,TN,36.1758957,-86.7568201,4.0,863,"Middle Eastern, American (New), Restaurants, Mediterranean, Southern",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3
iZ7-gwaBWYHiWhez4514jA,Pythian Market,"234 Loyola Ave, Ste 100",New Orleans,LA,29.953598,-90.074921,4.5,186,"Nightlife, Breakfast & Brunch, Bars, Restaurants, Food Court",0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,3
DpK33ON-lJrf2PcOP-z_Bw,Jimmy John's,"101 Creekside Crossing, Ste. 1400",Brentwood,TN,36.0369114,-86.7988293,3.0,26,"Restaurants, Delis, Fast Food, Food, Sandwiches, Food Delivery Services",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
TO7iRzQu7IXiSGC0lypZaQ,La Hacienda Taqueria,2615 Nolensville Pike,Nashville,TN,36.1163490054,-86.7484670288,3.5,205,"Mexican, Restaurants",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4
b_jg4hexYmhJoo8c4P6MoA,El Metate Auténtico Mexicán Restaurant,1805 Dickerson Pike,Nashville,TN,36.2042672,-86.768764,4.0,101,"Restaurants, Mexican",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4
FnEWE7CdxTolKWEgVKAlsg,Nomzilla! Sushi Et Cetera,"1000 Gallatin Ave, Ste A",Nashville,TN,36.1886096,-86.7467446,4.0,203,"Salad, Japanese, Bars, Asian Fusion, Sushi Bars, Vegan, Restaurants, Cocktail Bars, Nightlife",0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,4
St_OHgYAn5czLy0naZwseA,Sitar Indian Restaurant,116 21st Ave N,Nashville,TN,36.1511997,-86.8015353,4.0,324,"Food Delivery Services, Seafood, Buffets, Ethnic Food, Specialty Food, Vegetarian, Vegan, Restaurants, Food, Indian, Pakistani",1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4
quk6TFDQyuQ4g0KuIb9qUA,Five Points Pizza,1012 Woodland St,Nashville,TN,36.177123,-86.7505025,4.5,1293,"Nightlife, Bars, Italian, Restaurants, Pizza, Food",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4
v_wAk6pCbtKmcQfEKQBOPg,Papa Turney's,3979 Bell Rd,Hermitage,TN,36.1611284334,-86.6094814146,4.5,320,"Restaurants, Nightlife, Barbeque, Arts & Entertainment, Jazz & Blues",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4
