,name,address,city,state,latitude,longitude,stars,review_count,categories,is_American,is_Dessert,is_Bar,"is_Beer,Wine,Spirits",is_Breakfast,is_Coffee & Tea,is_Asian,is_Italian,"is_Healthy,Specialty Food",is_Latin American,is_Mediterranean,is_Western European,is_Slavic Food,is_African,is_Food Markets/Shops,rating
QHOim2XPDxt_752IDXvmrA,Dettera Wine Restaurant & Bar,129 E Butler Ave,Ambler,PA,40.155152,-75.2210822,4.0,189,"Restaurants, American (New)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
md1n17dYrlCxmQul8CR38g,P.F. Chang's,721 Easton Rd,Warrington,PA,40.2319887749,-75.13683,3.0,182,"Chinese, Vietnamese, Asian Fusion, Restaurants, Gluten-Free",0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,2
M6ZoEY54OKKPq9O9Boee7g,The Lucky Well,111 E Butler Ave,Ambler,PA,40.1548834,-75.2213557,3.5,351,"Barbeque, Bars, Cocktail Bars, Pubs, Nightlife, Restaurants, Religious Organizations",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
F94hX4z3gqcUZHEh1_r8eQ,Mirna's Cafe,758 Dekalb Pike,Blue Bell,PA,40.1707107967,-75.2858532779,3.5,77,"Cafes, Mediterranean, Restaurants, Italian",0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,3
wY1kNLhJmt8bXPca-gNjIg,Wing Lee Cuisine,"537 Easton Rd, Ste 3",Horsham,PA,40.184089,-75.133408,4.0,118,"Chinese, Restaurants, Barbeque",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
L0x3RxEvuuZkw1RcIgCutQ,Abacus Chinese Restaurant,1551 S Valley Forge Rd,Lansdale,PA,40.2293815,-75.3118818,3.5,71,"Restaurants, Chinese",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
5EJPCzCE0SYTBRgRv3pk1g,East Cuisine,851 W Butler Pike,Ambler,PA,40.1397867519,-75.2436466345,3.5,81,"Chinese, Thai, Japanese, Restaurants",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
Yv9KUZ-N3otoKUtToPPxAg,The Hattery Stove & Still,18 W State St,Doylestown,PA,40.3096366381,-75.1309594139,4.0,274,"Breakfast & Brunch, American (Traditional), Bars, Restaurants, Nightlife",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3
XC30E7D4gfIrLmh4d4prSw,The Metropolitan American Diner & Bar,750 Upper State Rd,North Wales,PA,40.2387369,-75.2353721,4.0,506,"American (Traditional), Diners, Bars, Restaurants, American (New), Breakfast & Brunch, Nightlife",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3
OGAyP5gDzvdqeDNXE9vvbQ,Kumo Asian Bistro,"1460 Bethlehem Pike, Ste 200",North Wales,PA,40.209229,-75.223392,4.0,134,"Sushi Bars, Japanese, Restaurants, Asian Fusion",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3
HpCsADSPPSoCghfcZeT55w,Iron Hill Brewery & Restaurant,1460 Bethlehem Pike,North Wales,PA,40.207844,-75.2235665,3.5,283,"Breweries, American (New), Restaurants, Food",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
Di3LKw_5zi4PTCIh0LdbEQ,Pumpernick's Deli,917 Bethlehem Pike,North Wales,PA,40.2347653754,-75.2390482528,4.0,355,"Delis, American (Traditional), Restaurants",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
WMkiheTT-8kRslImVLWMVw,Standard Tap,901 N 2nd St,Philadelphia,PA,39.96414,-75.1405144,4.0,785,"Local Flavor, American (Traditional), Restaurants, Burgers, Desserts, Breakfast & Brunch, Food, American (New), Gastropubs, Beer, Wine & Spirits, Nightlife, Bars, Pubs",1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,4
idu9-lsH5FJ54xt9QdNezQ,Il Giardino,907 N Bethleham Pike,Spring House,PA,40.1813198,-75.2272608,4.0,92,"Italian, Sandwiches, Restaurants, Pizza",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
s5xC3gxk179RV3xtFjFqbw,Ooka Japanese Sushi & Hibachi Steakhouse,764 Bethlehem Pike,Montgomeryville,PA,40.242945,-75.243351,3.5,270,"Sushi Bars, Japanese, Steakhouses, Restaurants",1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4
EtKSTHV5Qx_Q7Aur9o4kQQ,Village Whiskey,118 S 20th St,Philadelphia,PA,39.9514165949,-75.1737677917,4.0,1553,"Bars, Nightlife, Whiskey Bars, Burgers, Restaurants, American (New)",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4
4bJYpCUNy2EPLHujB74tUQ,Gio's Pizza Rustica,1941 Norristown Rd,Maple Glen,PA,40.1784046,-75.1816027,4.0,36,"Restaurants, Italian",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
FqOCC8Y9xryaX7sIBJcrxA,Vic Sushi Bar,2035 Sansom St,Philadelphia,PA,39.9515773,-75.174834,4.0,884,"Japanese, Sushi Bars, Restaurants",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4
F5MztuiyBGC2jOacb08IKQ,Boston Style Pizza,447 N Sumneytown Pike,North Wales,PA,40.2150173517,-75.2894329337,3.5,63,"Restaurants, Pizza",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
lRbHFOIFuusN2WOR_ypQ_A,Ants Pants Café,2212 S St,Philadelphia,PA,39.9451562,-75.179105,4.0,531,"Restaurants, Coffee & Tea, Sandwiches, Desserts, Food, Breakfast & Brunch",1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,4
CW8J8eqHRErzNPROYDvSyQ,Bonefish Grill,27 Airport Sq,North Wales,PA,40.2371807,-75.2408416,3.5,112,"Nightlife, Restaurants, Bars, Cocktail Bars, Seafood, American (New)",1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4
jS3affmkXWrBnidXA-DIfQ,Butcher Bar,2034 Chestnut St,Philadelphia,PA,39.9520301,-75.1748960093,4.0,682,"Steakhouses, Comfort Food, Butcher, Bars, Specialty Food, Food, Nightlife, Whiskey Bars, Restaurants, Gastropubs",1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,4
4UDm69SbXGjjlbVVy3GNcQ,Blue Bell Inn,601 Skippack Pike,Blue Bell,PA,40.1528392,-75.2664383,3.5,295,"American (New), American (Traditional), Hotels, Event Planning & Services, Hotels & Travel, Nightlife, Seafood, Bars, Live/Raw Food, Restaurants",1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4
-Pq_I1Dqc7W0xf3A6SJTpQ,Zoes Kitchen,255 Montgomery Mall,North Wales,PA,40.2360835719,-75.2446156908,3.5,67,"Salad, Greek, Kebab, Restaurants, Mediterranean, American (New), Sandwiches",1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4
uDDTS9PHVxN8UmvI2VPg1A,Harvest Seasonal Grill - North Wales,1460 Bethlehem Pike,North Wales,PA,40.209773,-75.222778,3.5,251,"American (Traditional), Local Flavor, Restaurants, Vegetarian, Bars, Wine Bars, American (New), Nightlife",1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,4
qBwOLby0sOJd3QG1o76W2w,Veda - Modern Indian Bistro,1920 Chestnut St,Philadelphia,PA,39.9517805,-75.1729152,4.0,465,"Restaurants, Tapas/Small Plates, Bars, Nightlife, Cocktail Bars, Indian, Breakfast & Brunch",0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,4
oqy15jhe1lOXttEvd4Srog,El Poquito,8201 Germantown Ave,Philadelphia,PA,40.0735965366,-75.2026142093,3.0,394,"Mexican, Bars, Food, Nightlife, Restaurants",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4
3a3BSTAbM2etBbJX9JJXpg,Radice,722 W Dekalb Pk,Blue Bell,PA,40.169738,-75.285791,3.5,111,"Restaurants, Italian, Pizza",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5
idu9-lsH5FJ54xt9QdNezQ,Il Giardino,907 N Bethleham Pike,Spring House,PA,40.1813198,-75.2272608,4.0,92,"Italian, Sandwiches, Restaurants, Pizza",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5
