,name,address,city,state,latitude,longitude,stars,review_count,categories,is_American,is_Dessert,is_Bar,"is_Beer,Wine,Spirits",is_Breakfast,is_Coffee & Tea,is_Asian,is_Italian,"is_Healthy,Specialty Food",is_Latin American,is_Mediterranean,is_Western European,is_Slavic Food,is_African,is_Food Markets/Shops,rating
KfIPQSLSj_rJ9zbsdO7wFQ,Greg's Kitchen,4460 Main St,Philadelphia,PA,40.0267886888,-75.2267333767,4.0,337,"Comfort Food, American (Traditional), Restaurants, Sandwiches, Breakfast & Brunch",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
dZ1IV-9G_Oao2Ha0pC5PYg,Happy Maki,200 W Ridge Pike,Conshohocken,PA,40.0951683549,-75.2887999409,4.0,89,"Restaurants, Japanese, Seafood",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2
36_FvBjdMXC949XVYDUb6A,Paladar Latin Kitchen,250 Main St,King of Prussia,PA,40.0837015579,-75.4056755847,3.5,527,"Restaurants, Cocktail Bars, Nightlife, Caribbean, Latin American, Bars",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3
huEf-4ICYGjrNAsOslinWQ,Wild Rice Pan Asian Restaurant,150 W Dekalb Pike,King of Prussia,PA,40.0952202757,-75.3643763528,3.0,113,"Pan Asian, Asian Fusion, Restaurants, Japanese, Chinese",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
ADe114o7Z4vb1O6HkM6YEA,Greek Lady,224 S 40th St,Philadelphia,PA,39.9534811107,-75.2029253184,3.5,461,"Greek, Fast Food, Restaurants, Breakfast & Brunch, Mediterranean, Salad",1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,3
Tg5p9ITJUOYp3vFzw0nK2g,Mike's Pizza,4111 Main St,Philadelphia,PA,40.0225585,-75.2184326,2.5,64,"Pizza, Restaurants",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
IkY2ticzHEn4QFn8hQLSWg,Geno's Steaks,1219 S 9th St,Philadelphia,PA,39.933836785,-75.1588137524,2.5,3401,"Sandwiches, Cheesesteaks, Steakhouses, Restaurants",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
DsKzHnkLKnxZTVsFpts4oA,Red Owl Tavern,433 Chestnut St,Philadelphia,PA,39.9492805,-75.1489288,3.5,618,"Breakfast & Brunch, American (New), Restaurants",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
zS_iBFOBbZSNC1edaijD3A,The Halal Guys,"150 W Dekalb Pike, Ste 100",King of Prussia,PA,40.0952755276,-75.3645212101,3.5,216,"Mediterranean, Halal, Sandwiches, Restaurants, Middle Eastern",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3
4TleqRlbwgXcIgz33HjLJQ,Nudy's Eastside Café,292 E Conestoga Rd,Wayne,PA,40.0484689638,-75.4097831056,3.5,224,"Coffee & Tea, Food, Restaurants, American (Traditional), Breakfast & Brunch",1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3
PP3BBaVxZLcJU54uP_wL6Q,Pat's King of Steaks,1237 E Passyunk Ave,Philadelphia,PA,39.9332010583,-75.159265814,3.0,4250,"Italian, American (Traditional), Sandwiches, Fast Food, Restaurants, Local Flavor, Cheesesteaks",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
4Ys7xbHfIKiCWRw2_7gJ-Q,Llanerch Diner,95 E Township Line Rd,Upper Darby,PA,39.9689037674,-75.2930680888,2.5,219,"Restaurants, Diners, American (New)",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
CJ3t6dw60CdpflWKe3b78Q,Benihana,508 W Germantown Pike,Plymouth Meeting,PA,40.116389,-75.279204,2.5,240,"Japanese, Steakhouses, Sushi Bars, Restaurants",1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3
o6wweypWJFP-yHkI06KNMA,Pizza Time Saloon,201 W 7th Ave,Conshohocken,PA,40.0801919,-75.3041141,3.5,26,"Restaurants, Pizza",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
BoEcsaokOWStr04tQqr24A,Lotus Inn,402 W Swedesford Rd,Berwyn,PA,40.0684704,-75.4467919,3.5,90,"Restaurants, Chinese, Japanese",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
1LQipKM90ih4RcK2LxnB5w,Veekoo,564 Lancaster Ave,Berwyn,PA,40.0476333,-75.4381438,4.0,113,"Restaurants, Asian Fusion, Thai, Chinese, Japanese",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
dmx9rfhDOixCsCA_DcsEEA,Havertown Grille,2409 W Darby Rd,Havertown,PA,39.9884969,-75.3111301,4.0,115,"Breakfast & Brunch, Restaurants, Food, Coffee & Tea, American (Traditional)",1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3
fqyJZMsKG-oWSGdZIftQgQ,Delancey Street Bagels,50 E Wynnewood Rd,Wynnewood,PA,40.0012835211,-75.2731178972,2.5,146,"Breakfast & Brunch, Restaurants, Caterers, Bagels, Bakeries, Food, Event Planning & Services",0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,3
pq-vWtG-d6bvzCnE-dKShQ,Kai Japanese Cuisine,12 S 10th St,Philadelphia,PA,39.950949,-75.1570348,4.5,141,"Sushi Bars, Japanese, Restaurants",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3
S21Myaj831l5rG4AKEyekA,Dos Tacos,120 S 15th St,Philadelphia,PA,39.9505718077,-75.1657929609,3.0,258,"Mexican, Restaurants",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
omWpYUw3JyoZOAHl2EeXLQ,Bahama Breeze,320 Goddard Blvd,King of Prussia,PA,40.0916548384,-75.3950845672,3.5,537,"Nightlife, Restaurants, American (New), Bars, Latin American, Laotian, Caribbean, Seafood",1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,3
wZx2xDe9faEMb8IpvRacDw,Tony & Joe's Pizzeria,203 Fayette St,Conshohocken,PA,40.0746954842,-75.3051469572,3.5,113,"Steakhouses, Pizza, Burgers, Restaurants, Italian",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
okNELZ0_cx8GFyRFcHYAqg,Trattoria San Nicola,4 Manor Rd,Paoli,PA,40.0412076,-75.4945934,4.0,127,"Restaurants, Italian",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
fei9rruZ08-jy2pRz_0fNw,Herosame,2371 Haverford Rd,Ardmore,PA,39.9937355183,-75.2978800121,4.0,190,"Restaurants, Japanese",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
Mz2ojdB5s1xW_tILMLXEDg,Jade Harbor,942 Race St,Philadelphia,PA,39.9552322,-75.155813,3.0,174,"Restaurants, Chinese, Seafood",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3
5FuQbcHTF_I7PWJzhCMObw,Larry's Steaks,2459 N 54th St,Philadelphia,PA,39.9958264,-75.233934,3.0,204,"Cheesesteaks, Sandwiches, Pizza, Restaurants, Delis",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
Kk8sIQGaYCA-SQjgDZ8pBw,Kabuki Japanese Restaurant,180 E Dekalb Pike,King of Prussia,PA,40.095785,-75.359525,4.0,320,"Sushi Bars, Restaurants, Japanese",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3
K6hAv8V2cTuXQtU3VHAD6w,Tres Jalapenos,901 S 8th St,Philadelphia,PA,39.9384274,-75.1561557,3.5,354,"Mexican, Restaurants",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
66Xlt-k1ZhVVq1ql6fX30A,Knishes & Dishes,545-547 Germantown Pike,Lafayette Hill,PA,40.0864443,-75.2513014,3.5,69,"Bagels, Food, Ethnic Food, Specialty Food, Restaurants, Imported Food, Delis",1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,3
dZ1IV-9G_Oao2Ha0pC5PYg,Happy Maki,200 W Ridge Pike,Conshohocken,PA,40.0951683549,-75.2887999409,4.0,89,"Restaurants, Japanese, Seafood",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3
NUJrCPU51Cvip4ayZD1P5g,Jose Pistola's,263 S 15th St,Philadelphia,PA,39.9476637,-75.166164,3.5,488,"Nightlife, Restaurants, Bars, Mexican, Tex-Mex",1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4
ckc6K5-28tDo9-Uzw4RKaQ,El Puerto Jarocho,516 W Marshall St,Norristown,PA,40.120315,-75.349631,4.5,10,"Restaurants, Mexican",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4
LWbj99tJolTxhzIbXWQOaA,Sabrina's Café,50 E Wynnewood Rd,Wynnewood,PA,40.00155,-75.273348,4.0,494,"Cafes, Breakfast & Brunch, American (Traditional), American (New), Restaurants, Vegetarian",1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,4
fFB6Pe2dNUdPr3EhBtPxsA,Lenny's Italian Deli,900 Fayette St,Conshohocken,PA,40.0808137,-75.2998242,4.5,92,"Event Planning & Services, Restaurants, Caterers, Delis, Italian",1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4
3eJMsl41qwhcYlvoTF1ElQ,a.kitchen,135 S 18th St,Philadelphia,PA,39.950323,-75.170538,3.5,441,"Food, Breakfast & Brunch, Modern European, Restaurants, Beer, Wine & Spirits, American (New)",1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,4
Uky0DD3LU4C7eyNDhpmOXg,Day By Day,2101 Sansom St,Philadelphia,PA,39.9516785914,-75.1757079913,4.0,642,"Restaurants, Event Planning & Services, Food Delivery Services, Sandwiches, Desserts, Caterers, Breakfast & Brunch, Food, Bakeries, American (Traditional), American (New)",1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,4
gbw5wqRVjeyCEExrM0RPmA,Monde Market,100 S 21st St,Philadelphia,PA,39.9520342258,-75.1756320413,4.5,70,"Beer, Wine & Spirits, Food, Delis, Convenience Stores, Restaurants",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
T0GS1FEYQBy2xlxWGWamBw,Bar Lucca,729 East Hector St,Conshohocken,PA,40.0744526548,-75.292957,4.0,302,"Restaurants, Italian, Pizza, Mediterranean, Wine Bars, Bars, Nightlife",0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,4
LImOqXSWUq-E_eNZhTUzmQ,Coyote Crossing,800 Spring Mill Ave,Conshohocken,PA,40.0758095,-75.2928979558,3.0,489,"Mexican, Restaurants",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4
VlNzvXuW-5cZkYBfT9IGHQ,General Warren,9 Old Lancaster Rd,Malvern,PA,40.04314,-75.524551,4.0,141,"Bed & Breakfast, Restaurants, Hotels & Travel, American (Traditional)",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
838bEDzZSPveDkAGrhVWYQ,Ocean Harbor,1023 Race St,Philadelphia,PA,39.9557218,-75.1567726,3.0,524,"Restaurants, Chinese, Dim Sum, Seafood",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4
68YMbUXLeDo28HmBbFJ1Wg,Pescatore,134 Bala Ave,Bala Cynwyd,PA,40.0048625,-75.2323113,4.0,161,"Butcher, Cafes, Seafood, American (New), Italian, Food, Restaurants",1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,4
F43loeSCbFosPOBUQwr4oA,El Rincon de Mexico,511-513 W Marshall St,Norristown,PA,40.120469,-75.349276,4.5,11,"Restaurants, Mexican",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4
qRgeV1CMZawRblc2qjHo_g,El Jarocho,1138 S 13th St,Philadelphia,PA,39.936492,-75.165011,4.0,445,"Restaurants, Mexican",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4
fIlR_iCy3m10_UYt6lJjHQ,Sumo Sushi,401 S 13th St,Philadelphia,PA,39.945196,-75.162803,3.5,279,"Restaurants, Sushi Bars",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4
cGX-1IUwXOjkUqZbkKYcjw,Fogo de Chao,1337 Chestnut St,Philadelphia,PA,39.9509166,-75.1629711,4.0,1426,"Seafood, Steakhouses, Brazilian, Restaurants",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
