,name,address,city,state,latitude,longitude,stars,review_count,categories,is_American,is_Dessert,is_Bar,"is_Beer,Wine,Spirits",is_Breakfast,is_Coffee & Tea,is_Asian,is_Italian,"is_Healthy,Specialty Food",is_Latin American,is_Mediterranean,is_Western European,is_Slavic Food,is_African,is_Food Markets/Shops,rating
LyNFIjzSpEWzmfN3Fk5f4w,The Melting Pot,584 Rte 38 E,Maple Shade,NJ,39.9432485198,-74.9723391,3.5,176,"Salad, Restaurants, Nightlife, Fondue, Bars, Cocktail Bars",0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,2
vVfy055EfLMdd0yJYHxiMQ,A La Mousse,145 N 11th St,Philadelphia,PA,39.9552167,-75.1574268,4.5,691,"Food, Coffee & Tea, Cafes, Bakeries, Desserts, Restaurants",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
kbXpjBSweedxQ1WrlJ5i7Q,Dan Dan,126 S 16th St,Philadelphia,PA,39.950247,-75.167598,4.0,860,"Taiwanese, Restaurants, Noodles, Szechuan, Chinese",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
lML_PZePqlBBWpD1tqRdaA,Nimit Palace,114 White Horse Rd E,Voorhees,NJ,39.840816,-74.9967433,4.5,370,"Vegetarian, Chinese, Food, Seafood, Indian, Pakistani, Restaurants",0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,3
dMICIsutjLi0FOzgduuvug,Umi Japanese Cuisine,11 N White Horse Pike,Somerdale,NJ,39.8445828,-75.0190107,4.0,149,"Restaurants, Japanese, Sushi Bars",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3
Dh65GRW4FmOEjDv_UuPP4A,Kitchen 519,200 E Evesham Rd,Glendora,NJ,39.845047,-75.067866,4.5,494,"Steakhouses, Vegetarian, Tacos, Seafood, Mexican, Vegan, American (New), Restaurants",1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,3
gCZG-Ysy7YkyLt47QBvaig,Oki Maki,"910 Haddonfield-Berlin Rd, Ste 7",Voorhees Township,NJ,39.8479771,-74.9772242,3.5,96,"Ramen, Japanese, Sushi Bars, Restaurants, Noodles",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3
X9uY-RJfamB2bCoZCX5RMA,Napoleon's Cremepuffery,947 E Gibbsboro Rd,Lindenwold,NJ,39.8239529,-74.9755578,4.5,49,"Restaurants, Food, Bakeries",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
IXRSMV7U5D0sYJvArEbm5g,Finn McCool's Ale House,118 S 12th St,Philadelphia,PA,39.949742,-75.160578,3.5,163,"Sports Bars, Pubs, Nightlife, Bars, Burgers, Sandwiches, American (Traditional), Dive Bars, Restaurants",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
6OTy5-0NdmxgxqCLVuIJaA,M Kee,1002 Race St,Philadelphia,PA,39.9552318,-75.1561191,4.0,232,"Restaurants, Chinese",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
