,name,address,city,state,latitude,longitude,stars,review_count,categories,is_American,is_Dessert,is_Bar,"is_Beer,Wine,Spirits",is_Breakfast,is_Coffee & Tea,is_Asian,is_Italian,"is_Healthy,Specialty Food",is_Latin American,is_Mediterranean,is_Western European,is_Slavic Food,is_African,is_Food Markets/Shops,rating
hqPnTWhhxLoDWt7mUQArUQ,Más Mexicali Cantina,102 E Market St,West Chester,PA,39.9601714,-75.6030087,2.5,245,"Restaurants, Nightlife, Bars, Mexican, Food",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2
YIdYc6tQIFRJPNIaPBupYQ,Zio Pizza Palace & Grill,157 N 9th St,Philadelphia,PA,39.955065,-75.1541846,4.0,43,"Fast Food, Italian, Vegetarian, Burgers, Vegan, Restaurants, Pizza, Chicken Wings",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
L4kfcADLCU4T33i7Z0CkuA,Bistro Romano,120 Lombard St,Philadelphia,PA,39.9419372505,-75.1446834884,4.0,546,"Restaurants, Bars, Wine Bars, Mediterranean, Italian, Nightlife",0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,3
ZwkdQGbg27T1jtFSP6-ggw,Gateway Cafe,555 Flint Hill Rd,King of Prussia,PA,40.0898202,-75.3337705,4.0,96,"Breakfast & Brunch, Cafes, Restaurants",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3
tngXF4K4cojGHn-4PUpBLQ,Tango,1021 Arch St,Philadelphia,PA,39.954001,-75.157184,3.0,163,"Szechuan, Bars, Lounges, Nightlife, Restaurants, Sushi Bars, Chinese, Karaoke",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3
fGYnHzFr1z2kv7bPRW6VMA,Limoncello Ristorante & Caterers,9 N Walnut St,West Chester,PA,39.9606394,-75.6032204,4.0,483,"Pizza, Event Planning & Services, Italian, Caterers, Restaurants",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3
vxWjLZMn3uzDQyOjAdwq3w,The Bishop's Collar,2349 Fairmount Ave,Philadelphia,PA,39.9675571,-75.1768708,3.5,248,"Nightlife, Bars, American (New), Burgers, Restaurants",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
DTwt8_pCuGyQbiIfXNdhDw,Barnes & Noble Booksellers,1805 Walnut St,Philadelphia,PA,39.9504016925,-75.1709848461,3.0,126,"Bakeries, Coffee & Tea, Food, Bagels, Sandwiches, Restaurants, Shopping, Bookstores, Music & DVDs, Toy Stores, Books, Mags, Music & Video",1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,3
j-qtdD55OLfSqfsWuQTDJg,Parc,227 S 18th St,Philadelphia,PA,39.9491724,-75.1707273,4.0,2761,"Restaurants, French, Wine Bars, Nightlife, American (New), Bars, Cafes, Breakfast & Brunch",1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,4
Yu_QofgDAjn__QsMi5Wudg,The Victoria Freehouse,10 S Front St,Philadelphia,PA,39.9491057409,-75.1424021098,4.0,220,"Bars, Nightlife, British, Pubs, Breakfast & Brunch, Restaurants",0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,4
7mpYTDb24SywNMRn3yeakQ,The Twisted Tail,509 S 2nd St,Philadelphia,PA,39.9418766,-75.1451988,4.0,604,"Event Planning & Services, Whiskey Bars, American (New), American (Traditional), Venues & Event Spaces, Bars, Nightlife, Restaurants",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4
QGYzYUMsQe6k7__LD91E5w,QT Vietnamese Sandwich,48 N 10th St,Philadelphia,PA,39.953229,-75.156582,4.5,538,"Vietnamese, Restaurants, Sandwiches, Specialty Food, Ethnic Food, Food",1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,4
iWy6Wft0MMO9Ud2wM93frg,The Sidecar Bar & Grille,2201 Christian St,Philadelphia,PA,39.9418939,-75.1794584,4.0,680,"American (New), Nightlife, Chicken Wings, Gastropubs, Cocktail Bars, Burgers, Bars, Pubs, Restaurants",1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4
kVTHnhgYUw-Pmr7wgDB4_g,Distrito,3945 Chestnut St,Philadelphia,PA,39.9558813,-75.2020031,3.5,1077,"Mexican, Restaurants, Nightlife, Cocktail Bars, Bars",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4
d3Mo1nrFbiOPa1_8xs4YHg,Mac Mart Food Truck,104 S 18th St,Philadelphia,PA,39.9514489,-75.1705213,4.0,79,"Fast Food, Food Trucks, Food, American (New), Restaurants, American (Traditional), Comfort Food",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
pP_jeWrWq-lvMitmkM2Gkw,BurgerFi,1200 Arch St,Philadelphia,PA,39.9535213,-75.1597442,3.0,502,"Burgers, Ice Cream & Frozen Yogurt, Food, Hot Dogs, Restaurants, American (New), American (Traditional)",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
krUc0iZgQ5lRjizassIXRg,Fingers Wings & Other Things,107 W Ridge Pike,Conshohocken,PA,40.0942566,-75.287857,3.5,223,"Bars, Sports Bars, Chicken Wings, American (Traditional), Nightlife, Restaurants",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4
0oSSjekU-3GR8gselReWnA,Butcher and Singer,1500 Walnut St,Philadelphia,PA,39.9493338,-75.1661758,4.5,1290,"Restaurants, Steakhouses, American (Traditional)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
k1nxMoD-KHswR0lC0tujpg,McKenzie Brew House,240 W Lancaster Ave,Malvern,PA,40.0399294,-75.5428708,3.0,211,"Food, Breweries, Venues & Event Spaces, American (New), Restaurants, Event Planning & Services, Sports Bars, Beer, Wine & Spirits, American (Traditional), Bars, Nightlife",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4
sTPueJEwcRDj7ZJmG7okYA,Jim's South St,400 S St,Philadelphia,PA,39.941498,-75.149272,3.5,2736,"Bars, Restaurants, Pizza, Cheesesteaks, Italian, Beer Bar, American (Traditional), Local Flavor, Nightlife, Sandwiches",1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,4
