,name,address,city,state,latitude,longitude,stars,review_count,categories,is_American,is_Dessert,is_Bar,"is_Beer,Wine,Spirits",is_Breakfast,is_Coffee & Tea,is_Asian,is_Italian,"is_Healthy,Specialty Food",is_Latin American,is_Mediterranean,is_Western European,is_Slavic Food,is_African,is_Food Markets/Shops
rqaIe-61HKlWaGYmVwlw8Q,Petite 4,4 N Latah St,Boise,ID,43.6046712,-116.22804,4.5,121,"Food, Restaurants, French, Beer, Wine & Spirits",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
jvsdP8Sm9z56xyrMXansbA,Bosnia Express Boex,4846 Emerald St,Boise,ID,43.6122348,-116.24172,4.5,111,"Food, Greek, Turkish, Modern European, Mediterranean, Wineries, Sandwiches, American (Traditional), Arts & Entertainment, Restaurants, Food Delivery Services",1,0,0,1,0,0,0,0,0,0,1,1,0,0,1
WPleSelT-dnFxDnnOeOi6A,Emerald Lanes,4860 W Emerald St,Boise,ID,43.6122575,-116.2420116,3.0,25,"Arcades, Pizza, Restaurants, Bowling, Arts & Entertainment, Nightlife, Active Life, Pool Halls",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
B65v5G8kMbOz16YdLITHcA,Chiang Mai House Thai Restaurant,4898 Emerald St,Boise,ID,43.6123306,-116.2427123,3.5,143,"Thai, Restaurants",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5u-fuXhvuwQfaB_E0JGV_A,The Sapphire Room At The Riverside Hotel,2900 W Chinden Blvd,Boise,ID,43.6200562165,-116.2342307622,4.0,11,"Nightlife, Jazz & Blues, Restaurants, American (New), Arts & Entertainment, Music Venues",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
bHPq-vQesglrIsvtkVdHrw,Wok-Inn Noodle,4912 Emerald St,Boise,ID,43.6123533,-116.2430041,4.0,161,"Noodles, Restaurants, Chinese",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
W8veVYMZidtykCpFozGDYA,Food Land Market,710 N Orchard St,Boise,ID,43.610862,-116.243103,5.0,29,"Bakeries, Middle Eastern, Mediterranean, Specialty Food, Food, Coffee & Tea, Restaurants",0,1,0,0,0,1,0,0,1,0,1,0,0,0,0
o1XFkEB34jUry4Vk_L1xdg,Joe's Crab Shack,2288 N Garden St,Boise,ID,43.6208,-116.232737,3.0,141,"American (Traditional), Restaurants, Seafood, Gluten-Free",1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
neo3yvjRuRCp9tyq2DahUA,Golden Star Restaurant,1142 N Orchard St,Boise,ID,43.6149037,-116.2427695,3.0,73,"Chinese, Restaurants",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
xArHBES2aOKasqgbxXOGxQ,Tangos Empanadas,701 N Orchard St,Boise,ID,43.6107992,-116.2436899601,4.5,439,"Desserts, Sandwiches, Fast Food, Argentine, Food, Empanadas, Food Trucks, Restaurants, Latin American",1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
VcXXDz9dsm9klG1uK3R0tw,Boise Pie Co,1216 N Orchard St,Boise,ID,43.6159669,-116.2428446,4.5,71,"Cafes, Desserts, Food, Bakeries, Restaurants, Sandwiches, Soup",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
gayQ5JeBfFF1bTYdGu6tgg,Tiki's Shave Ice,,Boise,ID,43.6136565,-116.2173542,2.5,5,"Food, Shaved Ice, Ice Cream & Frozen Yogurt, Restaurants, Desserts, Food Trucks, Hawaiian",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
PjN96vtir5pNj9nfiexnxw,Indulge Boise Food Tours,,Boise,ID,43.6136643,-116.2173488,5.0,26,"Specialty Food, Food, Hotels & Travel, Restaurants, Tours, Food Tours",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Ro3cRriZbTwsq-lgSkwTtQ,Campos Market,413 N Orchard St,Boise City,ID,43.6084022,-116.2440109,4.0,72,"Restaurants, Mexican, Grocery, Food",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
bkhCiUVfelcjuLG15iSddA,Amaru Confections,217 S Roosevelt St,Boise,ID,43.6017478,-116.2338233,4.0,78,"Specialty Food, Bakeries, Chocolatiers & Shops, Gluten-Free, Food, Coffee & Tea, Beer, Wine & Spirits, Cupcakes, Restaurants",0,1,0,1,0,1,0,0,1,0,0,0,0,0,1
nhq6rD6JlD2RtoTC1wCEPw,Sandbar Patio Bar & Grill,2900 Chinden Blvd,Boise,ID,43.6217087,-116.2340983239,3.0,119,"Food, Restaurants, American (Traditional)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ke5jJVsItlAf2qHAHKbQ8g,Gangnam,303 N Orchard St,Boise,ID,43.607152,-116.2439156,4.0,93,"Restaurants, Korean",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
