,name,address,city,state,latitude,longitude,stars,review_count,categories,is_American,is_Dessert,is_Bar,"is_Beer,Wine,Spirits",is_Breakfast,is_Coffee & Tea,is_Asian,is_Italian,"is_Healthy,Specialty Food",is_Latin American,is_Mediterranean,is_Western European,is_Slavic Food,is_African,is_Food Markets/Shops
-6L7ckMsebhvS_nk4wjhIA,Slice Pizzeria,653 Clements Bridge Rd,Barrington,NJ,39.865277,-75.055112,4.0,31,"Pizza, Sandwiches, Restaurants, Food, Food Delivery Services, Italian, Wraps",1,0,0,0,0,0,0,1,1,0,0,0,0,0,1
Na1SLUt0rQ0X72JH_2LVJA,No 1 Chinese Food,649 Clements Bridge Rd,Barrington,NJ,39.8651996,-75.0552625,4.0,13,"Restaurants, Chinese",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
y8qe5iBIYuSWdVqqWscRtg,Watami Sushi,657 Clements Bridge Rd,Barrington,NJ,39.8653728,-75.0551598,4.0,33,"Japanese, Restaurants, Sushi Bars",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Di96sKUk5wo5P1bM3pv4FQ,ShopRite of Lawnside,130 N. White Horse Pike,Lawnside,NJ,39.8682559847,-75.0431167629,3.0,30,"Grocery, Food, Shopping, Bakeries, Restaurants, Drugstores, Delis",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
NMrp7FFmZqV45i4TZ-DVkg,Oriental Palace,200 White Horse Pike N,Lawnside,NJ,39.867442,-75.0422327,3.5,39,"Japanese, Nightlife, Restaurants, Asian Fusion, Sushi Bars",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
u2-AUzKkJIRm8uNgD-mRlQ,Rochester's Barbecue & Grill,130 White Horse Pike N,Lawnside,NJ,39.8676637279,-75.0418403615,4.0,120,"Southern, Soul Food, Specialty Food, Desserts, Salad, Burgers, Ethnic Food, Food, American (Traditional), Barbeque, Comfort Food, Imported Food, Restaurants, Diners, Sandwiches, Chicken Wings",1,1,0,0,1,0,0,0,1,0,0,0,0,0,1
-C0DXAsxofWlGIcY1y-edQ,Church's Chicken,210 White Horse Pike,Lawnside,NJ,39.8688459,-75.0421085,2.5,14,"Chicken Wings, Chicken Shop, Restaurants, Fast Food, Breakfast & Brunch",1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
EgV5P2n0pgQmkPM9lq41Ag,Wendy's,310 Whitehorse Pike N,Lawnside,NJ,39.8693033386,-75.0425876276,2.5,9,"Restaurants, Fast Food, Hot Dogs, Burgers",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HoxAwFKunUzqscWtOnA9sg,Little Jalapeno,118 Clements Bridge Rd,Barrington,NJ,39.8723872,-75.050665,4.5,19,"American (Traditional), Restaurants, Mexican",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
bQDwX5wKDfwS-iqCGTzKKQ,Popeyes Louisiana Kitchen,16 White Horse Pike N,Lawnside,NJ,39.866676,-75.0396,2.0,21,"Restaurants, Chicken Wings, American (Traditional), Fast Food, Hot Dogs",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
