,name,address,city,state,latitude,longitude,stars,review_count,categories,is_American,is_Dessert,is_Bar,"is_Beer,Wine,Spirits",is_Breakfast,is_Coffee & Tea,is_Asian,is_Italian,"is_Healthy,Specialty Food",is_Latin American,is_Mediterranean,is_Western European,is_Slavic Food,is_African,is_Food Markets/Shops
UmXR9Sj0PgYbLgtMjfk9UA,Sea Lect Seafood,300 W Main St,Maple Shade,NJ,39.9545866,-75.0070171,4.0,50,"Specialty Food, Seafood Markets, Food, Restaurants",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
IuZcqfpMubJhhtdGc9fXxg,Alden Cafe,302 W Main St,Maple Shade,NJ,39.9546346,-75.0071477,2.5,23,"Cheesesteaks, Restaurants",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-iXlYo2AI1iHgpeZnv5sPw,McDonald's,2428 Kaighns Ave,Cherry Hill,NJ,39.941452,-75.0079164281,1.5,20,"Burgers, Coffee & Tea, Restaurants, Food, Fast Food",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
DTum3QVjry6POcF3WSZYUQ,Cindy's Chinese Restaurant,2442 Rt 38,Cherry Hill,NJ,39.9415219,-75.0059381,3.5,33,"Restaurants, Chinese",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
h-xgk0e_WisVzWLUudKgDg,Crawfish & Pho,"2442 NJ-38, Ste 5",Cherry Hill,NJ,39.941514,-75.005939,4.0,29,"Vietnamese, Seafood, Restaurants",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Tj_k9x4px-pzvxQcUp_Nbg,Trappixx Jamaican Restaurant,2442 W Rte 38,Cherry Hill,NJ,39.9415510161,-75.0057181589,3.0,55,"Caribbean, Chicken Wings, Herbs & Spices, Specialty Food, Food, Seafood, Restaurants",1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
N5yjty7R5XN2_hIwW-2Iyg,Jjang Ga Nae,2431 Church Rd,Cherry Hill,NJ,39.9402993,-75.0080328,4.0,40,"Korean, Chinese, Restaurants",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
FJY0EP3DNkrAV2lVpllN4Q,Dunkin',2441 Route 38,Cherry Hill,NJ,39.9406887699,-75.0062087651,3.0,10,"Donuts, Coffee & Tea, Restaurants, Food",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
fio_STCfed6Un1j2DGQpfw,Ruby Buffet,2100 Rt 38,Cherry Hill,NJ,39.94169,-75.01778,2.5,153,"Buffets, Restaurants",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3xW7Uk_12K8qSdBctcXySA,Wendy's,2400 Church Rd,Cherry Hill,NJ,39.9398869694,-75.0090987842,2.0,23,"Burgers, Restaurants, Fast Food",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
