,name,address,city,state,latitude,longitude,stars,review_count,categories,is_American,is_Dessert,is_Bar,"is_Beer,Wine,Spirits",is_Breakfast,is_Coffee & Tea,is_Asian,is_Italian,"is_Healthy,Specialty Food",is_Latin American,is_Mediterranean,is_Western European,is_Slavic Food,is_African,is_Food Markets/Shops
M72GCSiw35hvB4_2mbm5Pg,Fonda La Poblanita,3830 Morganford Rd,St. Louis,MO,38.5896279,-90.2641223,5.0,20,"Mexican, Restaurants",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
jGDNLw-hKHmg9vrndAXF7g,Bomber O'Brien's,4621 Beck Ave,Saint Louis,MO,38.5930853,-90.270124,3.0,54,"Sports Bars, Restaurants, Bars, Sandwiches, Burgers, Nightlife, American (Traditional)",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AvSodGqXo5FUPeXiELv18Q,Little Caesars Pizza,3728 S Kingshighway Blvd,Saint Louis,MO,38.5922107676,-90.2705644845,2.0,23,"Restaurants, Pizza, Italian",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
DgLwvHu6wNt2SrFvE5xxHQ,Old St Louis Chop Suey,"4600 Chippewa St, Ste L",St. Louis,MO,38.5907799,-90.2701145,4.0,96,"Restaurants, Buffets, Chinese",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
JroMBSRiVq1u8-KZVDZh7g,New China,3730 S Kingshighway Blvd,Saint Louis,MO,38.592301,-90.270873,4.0,87,"Restaurants, Chinese, Food",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
mmnneqm5rY6MNwF--uScYw,Steak ’n Shake,4640 Chippewa,St. Louis,MO,38.591055,-90.27158,2.5,46,"American (New), Restaurants, Burgers, Fast Food, Breakfast & Brunch, Diners, American (Traditional)",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1ulD4HL2G8qbpEuuWFDSqQ,Himalayan Yeti,3515 S Kingshighway Blvd,St. Louis,MO,38.5951884,-90.2714904,4.5,252,"Indian, Restaurants, Himalayan/Nepalese",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YbkD76a_vnGYpMrFLETIyA,Alpha Brewing Company,4310 Fyler Ave,Saint Louis,MO,38.598477,-90.26312,4.5,166,"Restaurants, Food, Local Flavor, Brewpubs, American (Traditional), Cuban, Breweries, Caribbean, Bars, Nightlife, Pubs",1,0,1,1,0,0,0,0,0,1,0,0,0,0,0
jUrd3WUppgUnlD-nlr9Gew,Taco Bell,3440 So Kings Highway,Saint Louis,MO,38.596478,-90.270728,1.5,50,"Tacos, Fast Food, Breakfast & Brunch, Restaurants, Tex-Mex, Mexican",1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
5wLPgwoVORAAdIZEkWEgIA,Lee's Famous Recipe Chicken,3449 S Kings Hwy,Saint Louis,MO,38.596091,-90.271232,4.0,10,"Fast Food, Restaurants, Chicken Wings",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sl0O4RdLobHsM6qwpBsRqA,El Maguey,3710 S Kingshighway,Saint Louis,MO,38.5926588,-90.272435,3.0,42,"Latin American, Mexican, Tex-Mex, Food, Restaurants",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
WPeaBiE8WzLOjn5_w9ektQ,Lee's Famous Recipe Chicken,3449 S Kingshighway Blvd,Saint Louis,MO,38.5961085,-90.2713111,3.5,22,"Restaurants, Fast Food",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yZEHSlOaSQHGnAbS7iYD2g,The Golden Hoosier,3707 S Kingshighway Blvd,St. Louis,MO,38.5929216,-90.2726194,4.5,57,"Burgers, Cocktail Bars, Beer Bar, Bars, Restaurants, Nightlife",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
IHNKQZMZY8dmwsXKIvtz0g,Stella Blues,3269 Morganford Rd,Saint Louis,MO,38.5988251,-90.2622889,4.0,84,"American (Traditional), Restaurants, Chicken Wings, Korean",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
lQ58_4SzdETRSw0h8tilhA,Uncle Bill's Pancake & Dinner House,3427 S Kingshighway Blvd,Saint Louis,MO,38.5968992,-90.271211,3.5,361,"American (Traditional), Food, Cafes, Restaurants, Event Planning & Services, Breakfast & Brunch, American (New), Coffee & Tea, Party & Event Planning, Diners",1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
sBTUg4DINvmrfM2cLQZAjw,Hook & Reel Cajun Seafood & Bar,4680 Chippewa St,St. Louis,MO,38.5911503,-90.2728848,3.5,87,"Cajun/Creole, Restaurants, Seafood",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
fxdqfaDvZY2PB4qVpTRWRg,QuikTrip,4101 Gravois Ave,St Louis Downtown,MO,38.589452137,-90.2572394949,3.0,6,"Convenience Stores, Automotive, Gas Stations, Fast Food, Restaurants, Food",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E4hkSa4tQW2FYeiyxG7N0A,The Drawing Board,4123 Chippewa St,Saint Louis,MO,38.58986,-90.2565216,5.0,13,"Bars, Sports Bars, Arts & Entertainment, Restaurants, Music Venues, Sandwiches, American (Traditional), American (New), Nightlife",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
