,name,address,city,state,latitude,longitude,stars,review_count,categories,is_American,is_Dessert,is_Bar,"is_Beer,Wine,Spirits",is_Breakfast,is_Coffee & Tea,is_Asian,is_Italian,"is_Healthy,Specialty Food",is_Latin American,is_Mediterranean,is_Western European,is_Slavic Food,is_African,is_Food Markets/Shops,rating
bNBPw-sDOHeqJ1vOstIctQ,Pic-A-Lilli Inn,866 US 206,Shamong,NJ,39.7599033639,-74.7322895,4.0,205,"American (Traditional), Nightlife, Bars, Restaurants, Chicken Wings",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
AGlh4ZDv6jnoiYfz7At9mw,Dim Sum Garden,1020 Race St,Philadelphia,PA,39.955399,-75.156727,4.0,2672,"Chinese, Restaurants, Dim Sum, Asian Fusion, Shanghainese",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5
rlBB-B-nAusvJYaPFlGcUw,Bagel Bin of Voorhees,"201 Kresson Gibbsboro Rd, Ste 3",Voorhees Township,NJ,39.8454961,-74.9413589,2.5,91,"Bagels, Restaurants, Sandwiches, Breakfast & Brunch, Bakeries, Food",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2
fJPF4BWM4cOLUqf968gfXA,Masso's Deli & Pizzeria,11 Lakeview Dr N,Gibbsboro,NJ,39.8414496,-74.9633724,3.5,53,"Restaurants, Caterers, Event Planning & Services, Food, Ice Cream & Frozen Yogurt, Delis, Pizza, Seafood",1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,2
u7cZUEGK6iJP2gvI22xY2A,Memphis Taproom,2331 E Cumberland St,Philadelphia,PA,39.9803676,-75.1230344,4.0,675,"Bars, Restaurants, American (New), Beer Bar, Pubs, Nightlife",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4
irRj3rHVakROLZRSTH8MTQ,Ocean Asian Cuisine,288 Egg Harbor Rd,Sewell,NJ,39.766324,-75.085417,3.5,78,"Thai, Restaurants, Asian Fusion, Japanese",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5
1OfhM-ZKvcpxyxptCCzEwA,Independence Beer Garden,100 S Independence Mall W,Philadelphia,PA,39.9502943,-75.150981,3.5,513,"Bars, Nightlife, American (New), Gastropubs, Food Trucks, Parks, Restaurants, Beer Gardens, Active Life, Barbeque, Food, Beer, Wine & Spirits, American (Traditional)",1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,2
AGlh4ZDv6jnoiYfz7At9mw,Dim Sum Garden,1020 Race St,Philadelphia,PA,39.955399,-75.156727,4.0,2672,"Chinese, Restaurants, Dim Sum, Asian Fusion, Shanghainese",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
kQRB8RNwd7cEMcURTS-I7A,Sabrina's Café,714 Haddon Ave,Collingswood,NJ,39.9159547157,-75.0684280694,4.0,570,"American (Traditional), Restaurants, Cafes, Comfort Food, Vegetarian, Breakfast & Brunch, American (New)",1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,4
MdTum-LazzK7Vu3L8b70Fw,Township Bagel Cafe,288 Egg Harbor Rd,Sewell,NJ,39.766105,-75.085159,4.0,78,"Breakfast & Brunch, Food, Bagels, Restaurants",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
9PZxjhTIU7OgPIzuGi89Ew,El Vez,121 S 13th St,Philadelphia,PA,39.9497020026,-75.1617702842,4.0,3187,"Lounges, Bars, Nightlife, Breakfast & Brunch, Mexican, Restaurants",0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,4
osVdh_cfAeg1Iw_jtqQMLQ,Great Wall Kitchen,365 Blackwood Clementon Rd,Lindenwold,NJ,39.8053453,-75.0108678,3.5,11,"Chinese, Restaurants",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4
eOgIV1HZNbMmogTsSNZdUA,The New Berlin Diner,117 S White Horse Pike,Berlin,NJ,39.793693,-74.93079,4.0,112,"Restaurants, Breakfast & Brunch, Diners",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
IxX6YczoeBpdt78AzDS4GQ,The Butcher And Barkeep,712 Main St,Harleysville,PA,40.2872863,-75.3987968,4.0,457,"Nightlife, American (New), Bars, Pubs, Restaurants, Gastropubs",1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4
UVCiRVQID_amNd_q1K5POA,Cavanaughs Headhouse,421 S 2nd St,Philadelphia,PA,39.9422776,-75.1449611,3.5,108,"Event Planning & Services, American (Traditional), Restaurants, Nightlife, Sports Bars, Bars, Venues & Event Spaces",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4
rWjFmr0hhi2w8IwMu162-Q,Amy's Omelette House,302 Cuthbert Blvd,Cherry Hill,NJ,39.9400449179,-75.0520022705,4.0,396,"Restaurants, American (New), Diners, Breakfast & Brunch",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
O-6k7VRRnwxwve_Zyb-a1g,Akira Japanese Restaurant,"700 Haddonfield Berlin Rd, Ste 24",Voorhees,NJ,39.852832,-74.98252,3.5,111,"Sushi Bars, Japanese, Restaurants, Asian Fusion",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4
3kEugtj3tua-yxAZ7yI4XQ,The Whitman Diner,4990 Rte 42,Turnersville,NJ,39.749162,-75.045272,3.0,93,"Restaurants, American (Traditional), Diners",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
JNBuXPEjE3eavcIUvUc49A,Yard House,"400 Rte 38, Space 1570",Moorestown,NJ,39.9431238413,-74.9625058225,4.0,522,"American (New), Vegetarian, Restaurants, Bars, Nightlife, Beer Bar",1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,4
IJ0Z9VIHHw2NEqJdmGHIhg,Sushi To Go,108 White Horse Rd,Voorhees Township,NJ,39.8411114,-74.9972614,4.0,64,"Restaurants, Asian Fusion, Sushi Bars, Japanese",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3
I7GoKXrd_k5_ObTWWgkWDQ,Sushi King,600 Kings Hwy N,Cherry Hill,NJ,39.92497,-74.99966,4.0,164,"Japanese, Sushi Bars, Restaurants",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4
ntiIq1FNqduOyyowMFGh5A,Nan Zhou Hand Drawn Noodle House,1022 Race St,Philadelphia,PA,39.9554005671,-75.1569010986,4.0,2188,"Specialty Food, Noodles, Ethnic Food, Chinese, Comfort Food, Restaurants, Food",1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3
BuFe2guP_N_0g6bBGn5mOg,Friendly's,647 Cross Keys Rd,Sicklerville,NJ,39.7295275,-75.0126023,2.5,25,"American (Traditional), Ice Cream & Frozen Yogurt, Breakfast & Brunch, Food, Burgers, Restaurants",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2
j1O_F5a_gDGEj87Q7waqgQ,Wawa Food Markets,900 Erial Rd,Blackwood,NJ,39.7945485,-75.0382522,3.0,7,"Restaurants, Delis, Convenience Stores, Food",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
XcxoQZHb7BAGV_5sgB4Xig,Redhouse Bagels - Audubon,294 S White Horse Pike,Audubon,NJ,39.8912981,-75.0663609,4.0,65,"Bagels, Food, Restaurants, Sandwiches",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
uNM_Zbvct5iIJYfFqalPAw,Lamp Post Diner,1378 Little Gloucester Rd,Clementon,NJ,39.7949735558,-75.0376772692,3.5,188,"Desserts, Food, Diners, Bakeries, Restaurants",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4
3Hkfuk0g1A13qmLZbtWrTA,House of Brews,"3501 NJ-42, Ste 510",Turnersville,NJ,39.7304801941,-75.0339355469,3.5,184,"Nightlife, Bars, Pubs, American (New), Adult Entertainment, Sports Bars, Chicken Wings, Restaurants, Beer Bar, American (Traditional)",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2
EAuZa9R7J6oX6D69Z08FEQ,Vinni's Pizza,3 E Lecato Ave,West Deptford,NJ,39.8475095883,-75.1818386226,3.5,20,"Pizza, Restaurants",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5
REiAM73RkOxFqCVlEFiRWA,Tattooed Mom,530 South St,Philadelphia,PA,39.9416802,-75.1519159,4.0,692,"Lounges, Nightlife, Bars, Restaurants, Vegan, American (New), Dive Bars, Sandwiches, Cocktail Bars, Burgers, Local Flavor",1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3
doFAdWeE7sg3irTDVOeeOg,Braddock's,39 S Main St,Medford,NJ,39.898231,-74.823322,4.0,169,"Venues & Event Spaces, Bars, Restaurants, Event Planning & Services, Pubs, Nightlife, American (New)",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4
i39XLqAolwphb5zkZVId_A,Creanies Ice Cream,608 Cross Keys Rd,Sicklerville,NJ,39.7352199,-75.0043861,3.5,47,"Ice Cream & Frozen Yogurt, Food, Restaurants, Bakeries",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
K7KHmHzxNwzqiijSJeKe_A,Cafe La Maude,816 N 4th St,Philadelphia,PA,39.963948,-75.144364,4.5,1485,"Sandwiches, Cafes, Coffee & Tea, Restaurants, Food, Breakfast & Brunch, Mediterranean, American (New)",1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,4
Dh65GRW4FmOEjDv_UuPP4A,Kitchen 519,200 E Evesham Rd,Glendora,NJ,39.845047,-75.067866,4.5,494,"Steakhouses, Vegetarian, Tacos, Seafood, Mexican, Vegan, American (New), Restaurants",1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,4
gWV1k7XO9DSAodAlanESFA,San Miguelito Mexican Cuisine,2654 S Sixth St,Philadelphia,PA,39.9153804,-75.1583858,4.5,62,"Mexican, Restaurants",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
TpUGMw7Lq9p5WT1t2qHD0A,Zoes Kitchen,"500 Rte 73 S, Ste B-7",Marlton,NJ,39.877745,-74.918963,4.0,101,"Caterers, Greek, Event Planning & Services, Steakhouses, Mediterranean, Restaurants, Kebab, Sandwiches",1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4
