,name,address,city,state,latitude,longitude,stars,review_count,categories,is_American,is_Dessert,is_Bar,"is_Beer,Wine,Spirits",is_Breakfast,is_Coffee & Tea,is_Asian,is_Italian,"is_Healthy,Specialty Food",is_Latin American,is_Mediterranean,is_Western European,is_Slavic Food,is_African,is_Food Markets/Shops,rating
nBIfd2ZXpcuEVHx4QzgDkg,Papa John's Pizza,479 Route 38 West,Maple Shade,NJ,39.9423935,-74.9929726,3.0,12,"Restaurants, Pizza",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
yRHKBFRoddwF5iVevkS4ww,Steak 38,515 Route 38,Cherry Hill,NJ,39.9356556734,-75.0512763704,4.0,165,"Steakhouses, Seafood, Sports Bars, Bars, Nightlife, Restaurants",1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4
tSXp6gz160xKuOKJpJUPCw,Red Lion Diner,1753 Rt 206,Southampton,NJ,39.8859771,-74.7418908,3.5,138,"Restaurants, American (Traditional), Diners, Sandwiches, Breakfast & Brunch",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
x35SiWk_kdRuJkMoHjLQiA,Yellow Submarine,710 N Forklanding Rd,Maple Shade,NJ,39.9664919,-75.0107537,3.5,104,"Cheesesteaks, Sandwiches, Restaurants, Pizza",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
QXGnmsKYANxOyZBqM-zlJA,The Plough & the Stars,123 Chestnut St,Philadelphia,PA,39.948524,-75.1437297,3.5,454,"Nightlife, Irish, Restaurants, Bars, Gastropubs, Pubs",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2
kC2jUMTWt0v_cSWKa63QQA,Fink's,4633 Princeton Ave,Philadelphia,PA,40.0286011,-75.038928,4.5,62,"Sandwiches, Food, Delis, Restaurants",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
OqiI2yspKHluFjIxAhvt_g,Outback Steakhouse,230 Lake Dr E,Cherry Hill,NJ,39.940213,-75.0057476331,2.5,118,"Restaurants, Steakhouses",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
lEkkBRqcO_POpvub6ozlKQ,Montegrillo Pizza,123 W Main St,Maple Shade Township,NJ,39.9551905,-75.0056414,4.5,61,"Italian, Restaurants, Pizza",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
rWjFmr0hhi2w8IwMu162-Q,Amy's Omelette House,302 Cuthbert Blvd,Cherry Hill,NJ,39.9400449179,-75.0520022705,4.0,396,"Restaurants, American (New), Diners, Breakfast & Brunch",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
KeVdQN5DRDdY16kOt4XcRA,PrimoHoagies,926 Haddonfield Rd,Cherry Hill,NJ,39.9240882159,-75.0329612195,3.0,40,"Italian, Restaurants, Sandwiches",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
x35SiWk_kdRuJkMoHjLQiA,Yellow Submarine,710 N Forklanding Rd,Maple Shade,NJ,39.9664919,-75.0107537,3.5,104,"Cheesesteaks, Sandwiches, Restaurants, Pizza",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
aoL_suEE8_QemZwhuTGo7A,La Vita's Pizzeria,121 W Main St,Moorestown,NJ,39.9630056,-74.9494184,3.0,52,"Restaurants, Italian, Pizza",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
TO1twT7_FLMbNeDm3KNNRw,F & M Delicatessen,3701 Church Rd,Mount Laurel,NJ,39.930791,-74.9770416,3.5,67,"Caterers, Restaurants, Event Planning & Services, Delis",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
uvOInGrZOqdecn14mG634w,Towne Tavern,33 Lafayette St,Riverside,NJ,40.0387458,-74.9606509,3.5,34,"Restaurants, Burgers, Bars, American (Traditional), Nightlife, American (New)",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
vOpVF1Ry7H4AlJ35qAtACQ,Sal & Joe's Pizza & Restaurant,300 S Lenola Rd,Maple Shade,NJ,39.9478678437,-74.9722383336,4.5,117,"Italian, Restaurants, Pizza",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5
Nvuya8iH_NaJlzXg-dx1-A,Robin's Nest Restaurant,2 Washington St,Mount Holly,NJ,39.9929002,-74.7881524,4.0,212,"Restaurants, American (New), Desserts, Nightlife, Breakfast & Brunch, Bakeries, American (Traditional), Cocktail Bars, Caterers, Food, Event Planning & Services, Bars",1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,3
9piIhWbzbr-47RL-Rh63Iw,Ponzio's,7 W Rt 70,Cherry Hill,NJ,39.914427,-75.011626,3.0,400,"Bars, Food, Restaurants, Nightlife, Beer, Wine & Spirits, Diners, Bakeries",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2
