,name,address,city,state,latitude,longitude,stars,review_count,categories,is_American,is_Dessert,is_Bar,"is_Beer,Wine,Spirits",is_Breakfast,is_Coffee & Tea,is_Asian,is_Italian,"is_Healthy,Specialty Food",is_Latin American,is_Mediterranean,is_Western European,is_Slavic Food,is_African,is_Food Markets/Shops,rating
Dv0tENo7Ug1duvNS2hltBw,Tucker's Place South,3939 Union Rd,Saint Louis,MO,38.5106485108,-90.3316068649,3.5,224,"Steakhouses, Pizza, Restaurants",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
u4M4SxqehnyMI5vs9HaW7Q,The Dam,3173 Morgan Ford Rd,Saint Louis,MO,38.6019744347,-90.2616712853,3.5,300,"Sandwiches, American (Traditional), Burgers, Restaurants, Food Delivery Services, Food",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
_-XYJgVGrNMtn_S6nPm-GQ,Vinnie's Italian Beef and Gyros,3208 Ivanhoe Ave,Saint Louis,MO,38.6054902,-90.3035576,4.5,188,"Restaurants, Italian, Greek",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4
4xsJN2FuB94w9rMoMo6XFQ,Spare No Rib,2200 Gravois Ave,Saint Louis,MO,38.6061441,-90.2196686,4.5,257,"Mexican, Tacos, Barbeque, Bars, American (Traditional), Beer Bar, Nightlife, Restaurants",1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,2
7D5-a53BLau19RpMu-L3zg,Beachbum Berry's Latitude 29,321 N Peters St,New Orleans,LA,29.953715,-90.0651341,4.0,389,"Hawaiian, Tiki Bars, Gastropubs, Bars, Nightlife, Restaurants, Cocktail Bars",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
zvcyW3ZtPYWziX7k9tCFBg,Bo Fung Chinese Kitchen,6810 Gravois Ave,Saint Louis,MO,38.5708929,-90.2839977,4.0,218,"Chicken Wings, Chinese, Restaurants, Asian Fusion",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4
a1GY-xy-PKrPXlMbhBv5ZA,Onesto Pizza & Trattoria,5401 Finkman St,Saint Louis,MO,38.5765749,-90.2868378,4.0,286,"Event Planning & Services, Pizza, Italian, Restaurants, Caterers",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4
utJRw1T1_zjBuCIFFIbe-w,Sasha's,706 De Mun Ave,Saint Louis,MO,38.6383609519,-90.3077356483,4.0,264,"Breakfast & Brunch, Bars, American (New), Nightlife, Wine Bars, Restaurants",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,2
XmpbEmS7PRdg5sIbGpjt7g,The Boathouse at Forest Park,6101 Government Dr,Saint Louis,MO,38.6400702927,-90.2848707288,3.0,403,"Boating, Active Life, Caterers, Local Flavor, Event Planning & Services, Nightlife, American (Traditional), Restaurants, Parks, Bars, American (New)",1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2
vzG8THG9K2lDu-Ah6vFAVA,Café Piazza,1900 Arsenal St,Saint Louis,MO,38.596777345,-90.2178671888,4.0,164,"Cafes, Italian, Pizza, Restaurants, Breakfast & Brunch",0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,4
_H30_Y_YcQQ7kbix9a1KfQ,Gus's World Famous Fried Chicken,7434 Manchester Rd,Maplewood,MO,38.6121287058,-90.3211099461,4.0,359,"Restaurants, Southern, Comfort Food, Chicken Wings, Chicken Shop",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
S07dMpp8f9x7etbGW1L0QA,Southern,3108 Olive St,Saint Louis,MO,38.6350323,-90.2241588,4.5,579,"Restaurants, Armenian, Southern, Sandwiches, Delis",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
MWdO8vvXEtswuBM4wOgVzw,Sapporo 2,3043 Olive St,Saint Louis,MO,38.6354292,-90.2234069,3.5,221,"Restaurants, Thai, Sushi Bars, Asian Fusion, Japanese, Korean",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,5
1LEkH6fV3Oa-4xYShrPE0g,Joanie's To Go,804 Russell Blvd,Saint Louis,MO,38.606,-90.2046,3.5,59,"Restaurants, Italian, Pizza, American (Traditional), Event Planning & Services, Caterers",1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3
BOjpe0u5u_cm9SWMS2KLFg,Stacked STL,7637 Ivory Ave,Saint Louis,MO,38.5491133,-90.2622763,4.5,712,"Restaurants, Desserts, Food, Bars, American (Traditional), Nightlife, Burgers",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3
s7JxSEtIumoFod2Jdj0_-g,Reifschneider's Grill & Grape,608 N Main St,Columbia,IL,38.447653,-90.2039305,3.5,85,"Pizza, American (Traditional), Nightlife, Bars, Salad, Restaurants, Italian",1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,4
DMlBzp6bs_f8WK8xQQvZWQ,Mariachis II Mexican Restaurant,4625 Gravois Ave,Saint Louis,MO,38.5835272,-90.2648467,4.5,183,"Mexican, Restaurants, Tex-Mex",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4
eQlMjyOsirwFCH8CiaKrjw,Fitz's SoCo,5244 S Lindbergh Blvd,Sappington,MO,38.5273583,-90.3662598,4.0,143,"Burgers, Restaurants, Desserts, American (Traditional), Food",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
