,name,address,city,state,latitude,longitude,stars,review_count,categories,is_American,is_Dessert,is_Bar,"is_Beer,Wine,Spirits",is_Breakfast,is_Coffee & Tea,is_Asian,is_Italian,"is_Healthy,Specialty Food",is_Latin American,is_Mediterranean,is_Western European,is_Slavic Food,is_African,is_Food Markets/Shops,rating
8ihWBaqzn5hx4kwQm87GzA,Mawi Tortillerias,"5050 W Esplanade Ave, Ste C",Metairie,LA,30.0167047,-90.200741,4.5,50,"Bakeries, Mexican, Food, Restaurants, Specialty Food",0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,4
BRM7OfdwyiXOH_TrU-aPYA,Boulevard American Bistro,5171 Citrus Blvd,Elmwood,LA,29.964384,-90.186021,4.0,86,"Nightlife, American (Traditional), Cocktail Bars, Cajun/Creole, Bars, Restaurants",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
yz0KWVamNhqiZGz7XTClzg,SoBou,310 Chartres St,New Orleans,LA,29.9545040131,-90.0664367676,4.0,1649,"Cocktail Bars, Restaurants, Nightlife, American (New), Cajun/Creole, Juice Bars & Smoothies, Bars, Food",1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3
pUlpCJBYR7chLMMUKA5Ydg,The Maison,508 Frenchmen St,New Orleans,LA,29.9627937,-90.0580004,4.0,565,"Venues & Event Spaces, Bars, Event Planning & Services, Nightlife, Jazz & Blues, Vegetarian, Cocktail Bars, Restaurants, Music Venues, Dive Bars, Arts & Entertainment",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4
TcNZXteosegb1RO4O5hREw,Parkway Bakery & Tavern,538 Hagan Ave,New Orleans,LA,29.9736823589,-90.0902080718,4.5,2160,"Restaurants, Sandwiches, Seafood, Food, Desserts, Bakeries, Comfort Food, Beer, Wine & Spirits",1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2
Vz2RN55rTJBGn43K1v84nA,Domenica,123 Baronne St,New Orleans,LA,29.953879,-90.0716247045,4.0,1906,"Restaurants, Italian, Pizza, Tapas/Small Plates",0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,3
2DTkzhmMpv5fIPKheePClA,Shaya,4213 Magazine St,New Orleans,LA,29.9211379,-90.099559,4.5,1433,"Mediterranean, Middle Eastern, Restaurants, Desserts, Food, Kosher, American (New)",1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,4
mFdcvwmYS-m1eHIonnTQyQ,Zea Rotisserie & Bar,4450 Veterans Blvd,Metairie,LA,30.0035435807,-90.1836739339,4.0,315,"American (New), Asian Fusion, Fruits & Veggies, Breweries, Southern, Seafood, American (Traditional), Restaurants, Specialty Food, Food",1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,2
WXgV2lOUgas7DzTLeDau-w,The Rum House,3128 Magazine St,New Orleans,LA,29.9240392,-90.0860112,4.0,1599,"Cocktail Bars, Tacos, Restaurants, Food, Caribbean, Tapas/Small Plates, Bars, Nightlife, Mexican",0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,5
mhrW9O0O5hXGXGnEYBVoag,Jacques-Imo's Cafe,8324 Oak St,New Orleans,LA,29.9490417,-90.1322295,4.5,2406,"Seafood, Cajun/Creole, Restaurants, Vegetarian",1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2
ZTctPm8-lBy0iJ9dFhYhyQ,Herbsaint,701 St Charles Ave,New Orleans,LA,29.9472977036,-90.0715089558,4.0,879,"Seafood, Restaurants, French",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,5
OyPQNwQtCuYkFuV3FlsnnA,la Madeleine,"1200 S Clearview Pkwy, Ste 1314",Harahan,LA,29.9622952787,-90.1879289746,2.5,36,"Bakeries, Breakfast & Brunch, Food, Event Planning & Services, Caterers, Cafes, Restaurants",0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,4
Z4D9fzsrlNX8O9rkJuEo6A,Martin Wine Cellar,714 Elmeer Ave,Metairie,LA,30.0024344,-90.1363235,3.5,117,"Tapas Bars, Beer, Wine & Spirits, Breakfast & Brunch, Caterers, Delis, Event Planning & Services, Restaurants, Food, Specialty Food, Sandwiches, Beverage Store, Delicatessen",1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,3
xCdqyXUbY0Tzfmbx9tx0YQ,Panera Bread,4848 Veterans Blvd,Metairie,LA,30.004876,-90.190491,3.0,142,"Sandwiches, Bakeries, Salad, Breakfast & Brunch, Restaurants, Bagels, Food, Soup",1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,4
2DTkzhmMpv5fIPKheePClA,Shaya,4213 Magazine St,New Orleans,LA,29.9211379,-90.099559,4.5,1433,"Mediterranean, Middle Eastern, Restaurants, Desserts, Food, Kosher, American (New)",1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1
Meww6RIE4cFL_kG0aRlbAA,Blue Oak BBQ,900 N Carrollton St,New Orleans,LA,29.9805179,-90.093634,4.5,1077,"Chicken Wings, Restaurants, Nightlife, Barbeque, Bars, Event Planning & Services, Caterers",1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3
I3Uy20BKx7G-Fzz6hLIeWg,Restaurant August,301 Tchoupitoulas St,New Orleans,LA,29.95,-90.0668309,4.5,1326,"Cajun/Creole, American (New), Restaurants, French",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
3fVYGQr_ldW2_1QlXJjpaQ,The Bombay Club,830 Conti St,New Orleans,LA,29.956688376,-90.0684624875,4.0,510,"Arts & Entertainment, Southern, Cajun/Creole, Nightlife, Jazz & Blues, Bars, Breakfast & Brunch, American (Traditional), Restaurants",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3
XRkzSBTroG7kIdI7Z8ic6g,Piccadilly,"2222 Clearview Pkwy, Ste 107",Metairie,LA,29.994939,-90.18365,3.0,51,"Restaurants, Seafood, Breakfast & Brunch, American (Traditional)",1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2
6ixTweh-QM88GDrHTjegGA,P.F. Chang's,"3301 Veterans Memorial Blvd, Unit  63",Metairie,LA,30.004532,-90.157885,3.0,262,"Asian Fusion, Gluten-Free, Vietnamese, Chinese, Restaurants",0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,4
IMWoj619K8ezUmFP8ktXEg,Banh Mi Boys,"5001 Airline Dr, Ste B",Metairie,LA,29.9765843934,-90.1865949809,4.5,503,"Sandwiches, Vietnamese, Restaurants, Chicken Wings, American (Traditional)",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
YNjyv0gfOr2g8lbmUpTnKg,Copper Vine,1001 Poydras St,New Orleans,LA,29.9506467229,-90.0744274301,4.5,350,"Nightlife, Pubs, Event Planning & Services, Wine Bars, Bars, Gastropubs, Restaurants, Venues & Event Spaces",0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,2
rsMbMeW7IbXxPFh4WwbddQ,Boucherie,8115 Jeannette St,New Orleans,LA,29.9498289193,-90.1278002442,4.5,577,"Restaurants, Barbeque, American (New), Southern, Tapas/Small Plates, Cocktail Bars, Bars, Nightlife",1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,3
kb1Tf4xwb7CQW5OXf9zwqw,Toups Meatery,845 N Carrolton,New Orleans,LA,29.980459,-90.094448,4.0,601,"Cajun/Creole, American (New), Restaurants",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
J88JV53EPyDjj7lT0Cm9wA,Copeland's of New Orleans,1001 S Clearview Pkwy,Jefferson,LA,29.9591266,-90.1828402,3.0,247,"Bars, Nightlife, Steakhouses, Restaurants, American (New), American (Traditional), Sandwiches, Cajun/Creole, Seafood",1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3
YvrV_Tc9syF2Wch0HOIT3A,Flamingo A-Go-Go,869 Magazine St,New Orleans,LA,29.9440635,-90.0697679,3.5,791,"Sandwiches, Nightlife, American (New), Bars, Restaurants",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
h8h1QvEQruTkBI50NlWsyA,Vincent's Italian Cuisine,7839 Saint Charles Ave,New Orleans,LA,29.9418558,-90.1323062,4.5,534,"Restaurants, Italian",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5
lDodrtH6kNgSCYpxr_E3-A,McAlister's Deli,"2701 Airline Hwy, Ste T",Metairie,LA,29.9754518653,-90.1512057111,2.5,70,"Delis, Restaurants, Salad, Sandwiches",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
7GUjQC6k8RcGwySfJcAW_g,M Bistro,921 Canal St,New Orleans,LA,29.954995,-90.0709905,3.5,87,"American (New), Restaurants",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
