,name,address,city,state,latitude,longitude,stars,review_count,categories,is_American,is_Dessert,is_Bar,"is_Beer,Wine,Spirits",is_Breakfast,is_Coffee & Tea,is_Asian,is_Italian,"is_Healthy,Specialty Food",is_Latin American,is_Mediterranean,is_Western European,is_Slavic Food,is_African,is_Food Markets/Shops,rating
f-lbFlvS49k9xZMN682pBQ,Mazzah Mediterranean Grill,1772 W State St,Boise,ID,43.625160932,-116.2112475022,4.0,197,"Salad, Greek, Mediterranean, Restaurants",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4
SUMe4HABRMtLIGind-RieQ,IHOP,3525 E Fairview Ave,Meridian,ID,43.61918,-116.35106,2.5,59,"American (Traditional), American (New), Restaurants, Breakfast & Brunch, Burgers",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
6rdfC4ESbWEBeKbyQziZ1w,Starbucks,8077 Franklin Rd,Boise,ID,43.6047076,-116.2824641,3.5,29,"Restaurants, Food, Coffee & Tea",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4
TC_iAswrOu81fv1zMNlgyA,Hugo's Deli,10599 W Overland Rd,Boise,ID,43.58998,-116.3138975,3.5,59,"Restaurants, Delis, Sandwiches",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
7gYQFuRgru5FAqCt8FHzvA,Freddy's Frozen Custard & Steakburgers,3180 E Lanark St,Meridian,ID,43.6077903289,-116.355468492,3.5,109,"Ice Cream & Frozen Yogurt, Burgers, Desserts, Food, Restaurants",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Cc2WkBGuXwTD5axRxcWHRw,Riverside Grill,2900 W Chinden Blvd,Boise,ID,43.6196196,-116.2349316,3.5,33,"Restaurants, American (Traditional), American (New), Beer, Wine & Spirits, Breakfast & Brunch, Food",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3
0vlisQJ0jKFB16KYi_q3LA,Starbucks,1100 Broadway Ave,Boise,ID,43.599493,-116.193049,3.0,22,"Food, Coffee & Tea, Restaurants",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
j8NhrBzy1op0BfVGdSOiXQ,The Creperie Cafe,"7709 W Overland Rd, Ste 130",Boise,ID,43.588937,-116.278166,3.5,131,"Restaurants, Creperies, Coffee & Tea, Desserts, Cafes, Food, French",0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,3
ZgmxyyWoWZhpE2YxufsEDQ,IHOP,7959 W Emerald St,Boise,ID,43.6117,-116.28086,2.5,57,"American (New), Breakfast & Brunch, American (Traditional), Restaurants, Burgers",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
mM4vtt-BVT_80J9JSKdw7Q,McDonald's,4825 N Glenwood St,Boise,ID,43.6488241,-116.2803522,2.0,9,"Food, Fast Food, Restaurants, Coffee & Tea, Burgers",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3
cM6V90ExQD6KMSU3rRB5ZA,Dutch Bros Coffee,1181 N Milwaukee St,Boise,ID,43.6154010991,-116.2846892411,4.0,33,"Cafes, Juice Bars & Smoothies, Coffee & Tea, Restaurants, Food",0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,4
KXGJZQam4Qa9omxMH1U3JQ,Tony's Pizzeria Teatro,105 N Capitol Blvd,Boise,ID,43.6154039891,-116.202172855,4.5,142,"Restaurants, Pizza, Italian",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
BXiNbr6rK6HJEXLC-vJ3xw,Hyde Park Pub & Grill,1501 N 13th St,Boise,ID,43.6294955,-116.2035474,3.5,67,"American (Traditional), Bars, Restaurants, Pubs, Nightlife",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4
