business_id,name,address,city,state,latitude,longitude,ranking
hLlDzRaDGN-0SlEWk0xTpQ,Breads on Oak Cafe & Bakery,8640 Oak St,New Orleans,LA,29.95113,-90.1348639,1
ukMy1_eFj5nKSZSPYd4LSA,Nola Vegan,1923 Leonidas St,New Orleans,LA,29.9561495,-90.1279653,2
s4JWixWbeLhyUw1pEI2Cfg,Loya's Mexican Restaurant,3102 Fern St,New Orleans,LA,29.9603554,-90.112916,3
NBnCQ51OSgf9RYEczzRKkw,Paella Nola,,New Orleans,LA,29.9450835,-90.1261013,4
paf-TbchoCfQoHPVOoNvlQ,Seafood Sally's,8400 Oak St,New Orleans,LA,29.9493462,-90.1326987,5
MBBYCVzoQjNYaDlLjHd8AQ,Taqueria DF,Claiborne Ave & Eagle St,New Orleans,LA,29.96058,-90.1265177,6
znmW7djuEJjlMI0hw-utEw,Red Star Chinese Restaurant,8330 Earhart Blvd,New Orleans,LA,29.9624302,-90.1178508,7
aeIWVa6G54UUo6yloJkyJg,Lebanon's Cafe,1500 S Carrollton Ave,New Orleans,LA,29.949729,-90.127641,8
PupRtvjjZJcLzIlkMw3hpA,Barrows Catfish Restaurant New orleans,"8300 Earhart Blvd, Ste 103",New Orleans,LA,29.962288906,-90.1177174251,9
bLRniXOqbySqRKnR_2meJg,Subway,1332 S Carrollton Ave,New Orleans,LA,29.9486977169,-90.1286461559,10
6jKFWxE2fJIhfwbYgwqcfg,Barcelona Tapas,720 Dublin St,New Orleans,LA,29.9450458376,-90.1340996944,11
FSvFk1lWR0YBYP_-L_iLTQ,Rue De La Course,1140 S Carrollton Ave,New Orleans,LA,29.9473419,-90.1299849,12
-fJPJP7iOd1ukDNqTSINIg,Riccobono’s Panola St. Cafe,7801 Panola St,New Orleans,LA,29.9517993,-90.1204497,13
gWKOrelk92IMrWvS_iFcqg,14 Parishes on Oak,8227 Oak St,New Orleans,LA,29.9486701,-90.1311269,14
ujM10t6IRJGA2I5mYpd8XQ,El Taco Loco,1120 S Carrollton Ave,New Orleans,LA,29.9472200137,-90.1303499937,15
2MHNvEPEGxvBxZLXM5ESpg,Pho Bistreaux,"1200 S Carrollton Ave, Ste A",New Orleans,LA,29.9475543,-90.1297535,16
xFk0apIOljR2DL5Zj-VNOA,Chinese American Cafe,1228 Jefferson Hwy,New Orleans,LA,29.962097,-90.1428072,17
GUgIOkipkxvabF5jQCctVQ,Five Happiness Chinese Restaurant,3605 S Carrollton Ave,New Orleans,LA,29.964386,-90.110862,18
BfkqPDZ2Tt7Afhp5gn3wfw,Thai Mint,1438 S Carrollton Ave,New Orleans,LA,29.9493849,-90.1276515,19
gPJINUjnBmnn8veAYMo8Zw,Adams Street Grocery & Deli,1309 Adams St,New Orleans,LA,29.9455586,-90.1253740811,20
EOQsMjsbd8DZ5-H-yuRmmg,Sam's Po-Boys,260 Brooklyn Ave,Jefferson,LA,29.9604508,-90.1404489,21
-ZAVJcrczPaTVYa5KUUuRg,Raising Cane's Chicken Fingers,3235 S Carrollton Ave,New Orleans,LA,29.961948,-90.113459,22
iYUwyARgC_RNPA1rTlL3-Q,Crabby Jack's,428 Jefferson Hwy,New Orleans,LA,29.964702,-90.1355104,23
X1aAjsufci2ibaxSbhFl4Q,Ajun Cajun,8433 Oak St,New Orleans,LA,29.9501047092,-90.1328084,24
