business_id,name,address,city,state,latitude,longitude,ranking
bkhCiUVfelcjuLG15iSddA,Amaru Confections,217 S Roosevelt St,Boise,ID,43.6017478,-116.2338233,1
W8veVYMZidtykCpFozGDYA,Food Land Market,710 N Orchard St,Boise,ID,43.610862,-116.243103,2
jRaBuPn1YNfze55LcBCM0g,Roots Zero Waste Market,3308 W Chinden Blvd,Garden City,ID,43.6225101114,-116.2384736538,3
PjN96vtir5pNj9nfiexnxw,Indulge Boise Food Tours,,Boise,ID,43.6136643,-116.2173488,4
gayQ5JeBfFF1bTYdGu6tgg,Tiki's Shave Ice,,Boise,ID,43.6136565,-116.2173542,5
NxL8tLb85O1OOlaGyaQSKA,Carniceria Coalcoman,5234 W Fairview Ave,Boise,ID,43.6198459,-116.2464299,6
wnx9bXiuYaStr-6z5UdSIQ,Americana Pizza,304 Americana,Boise,ID,43.618515,-116.214537,7
IwqFmo-RJs15WvA8PVHFnA,Madre - Boutique Taqueria,1034 S La Pointe St,Boise,ID,43.6079160867,-116.2129873037,8
o1XFkEB34jUry4Vk_L1xdg,Joe's Crab Shack,2288 N Garden St,Boise,ID,43.6208,-116.232737,9
Ro3cRriZbTwsq-lgSkwTtQ,Campos Market,413 N Orchard St,Boise City,ID,43.6084022,-116.2440109,10
jvsdP8Sm9z56xyrMXansbA,Bosnia Express Boex,4846 Emerald St,Boise,ID,43.6122348,-116.24172,11
Pkg4NA3NilK3Z-_uM0AKTg,Txikiteo,175 N 14th St,Boise,ID,43.6198831911,-116.2101332698,12
xArHBES2aOKasqgbxXOGxQ,Tangos Empanadas,701 N Orchard St,Boise,ID,43.6107992,-116.2436899601,13
rqaIe-61HKlWaGYmVwlw8Q,Petite 4,4 N Latah St,Boise,ID,43.6046712,-116.22804,14
XgPaGKEO34UhLtJcaByMxA,Papa's Cup of Joe,1301 S Capitol Blvd,Boise,ID,43.6055005,-116.2121942,15
q3nQcgx2KFYiAnTLfIx18w,Mandarin Palace,5020 W Franklin Rd,Boise,ID,43.602896,-116.244377,16
Ke5jJVsItlAf2qHAHKbQ8g,Gangnam,303 N Orchard St,Boise,ID,43.607152,-116.2439156,17
neo3yvjRuRCp9tyq2DahUA,Golden Star Restaurant,1142 N Orchard St,Boise,ID,43.6149037,-116.2427695,18
B65v5G8kMbOz16YdLITHcA,Chiang Mai House Thai Restaurant,4898 Emerald St,Boise,ID,43.6123306,-116.2427123,19
bHPq-vQesglrIsvtkVdHrw,Wok-Inn Noodle,4912 Emerald St,Boise,ID,43.6123533,-116.2430041,20
PKQ8u65he4JlUpUCS200cQ,Roast Coffee Bar & Roasting Facility,1035 S Lusk St,Boise,ID,43.6077882,-116.2124161,21
o7_5qYZan3jo9jtDUoHRsw,Casanova Pizzeria,2431 W Fairview Ave,Boise,ID,43.6204869,-116.2208998,22
315NxMEwvz085WAQ1R-D3g,Manfred's,"1114 W Front St, Ste B",Boise,ID,43.6165463496,-116.2090845543,23
9pVTWJaOQx-LnF3KeQBhOw,Triple B Boise's Best Burgers,615 S 9th St,Boise,ID,43.6120886014,-116.2088408035,24
LeLs-93CZezcvx3O607Dgw,MELT Food Truck,5707 W Emerald St,Boise,ID,43.611402,-116.252516,25
n-CIOneE4RybJJQmp5bykg,Big K BBQ,3409 W Chinden Blvd,Garden City,ID,43.6226167,-116.2397643,26
rb5GtRPX0B0z8-Dy1EB7BQ,Brown Shuga Soul Food,24th & Fairview Ave,Boise,ID,43.6206325,-116.2197477,27
VcXXDz9dsm9klG1uK3R0tw,Boise Pie Co,1216 N Orchard St,Boise,ID,43.6159669,-116.2428446,28
6KpBE-zJW4I3VuEjhFj3Tg,A Tavola,1515 W Grove St,Boise,ID,43.619152,-116.2132897,29
000idd-3sMexavEppbUqHg,Barrigas Mexican Restaurant,3447 W Chinden Blvd,Garden City,ID,43.622878539,-116.2404692173,30
o0Q47gv_nlWYSeIZfGhotg,Wepa Cafe,175 E 35th St,Garden City,ID,43.6243464,-116.2379714,31
SxN12oF4s2DXL5W2zfqWEg,Caffe Luciano's,3588 N Prospect Way,Garden City,ID,43.6267807764,-116.2354877777,32
A7zJh8HPPfmdTfJE9tHhYQ,Panera Bread,1150 W Myrtle St,Boise,ID,43.6155415,-116.2097715,33
WPleSelT-dnFxDnnOeOi6A,Emerald Lanes,4860 W Emerald St,Boise,ID,43.6122575,-116.2420116,34
z8of6nZcLMQhdiBnQ7fTkw,Crescent Public House,5500 W Franklin Rd,Boise,ID,43.6034506112,-116.2500510726,35
ChbVjsP8S_hPb93Qb2t09A,Matlack’s,217 S 11th St,Boise,ID,43.6162607029,-116.2085473565,36
30oZoOjJN7Q_MqZswPrGOQ,Arid Club,1137 W River St,Boise,ID,43.6119633,-116.2137209,37
16y5y2Njl7yc3gcUxVNstg,Torch the-A Gentlemen's Club,1826 W Main St,Boise,ID,43.6220294,-116.2161974,38
nnZIsmpIQnuQY5S-MoGyvg,Baguette Deli,5204 W Franklin Rd,Boise,ID,43.603511,-116.245104,39
np5GqYxPjiwGNPSlR-V_iA,Subway,"1265 S Capitol Blvd, Ste 103",Boise,ID,43.606019858,-116.2115015709,40
nhq6rD6JlD2RtoTC1wCEPw,Sandbar Patio Bar & Grill,2900 Chinden Blvd,Boise,ID,43.6217087,-116.2340983239,41
zeZN6jO3hwoYdmT6U61LqA,Stagecoach Inn Restaurant & Lounge,3132 W Chinden Blvd,Garden City,ID,43.6213663,-116.2366657,42
deekBOsX4tKZMect5l4pfg,The Shed,1010 La Pointe,Boise,ID,43.6086473424,-116.2127621812,43
AxJ9nqj9ssbpuz7OLvsZgw,Elmer's Restaurant,1385 S Capitol Blvd,Boise,ID,43.6050561,-116.2124705,44
2SVykxI_KVFiHQYpLfmU3g,Papa Joe's Italian Restaurant and Bar,1301 S Capitol Blvd,Boise,ID,43.6055005,-116.2121942,45
dv1Ua07Jtcrny5OB6IeEKA,Modern Bar and Restaurant,1314 W Grove St,Boise,ID,43.6182464677,-116.2104651454,46
i9S34Jvd1Ijblm0TrnCVqQ,Cottonwood Grille,913 W River St,Boise,ID,43.6108401187,-116.2100964169,47
5u-fuXhvuwQfaB_E0JGV_A,The Sapphire Room At The Riverside Hotel,2900 W Chinden Blvd,Boise,ID,43.6200562165,-116.2342307622,48
uBT7HoYfxfCS4kns6eP9Pg,Doc's Lodge,1108 W Front St,Boise,ID,43.6162789,-116.2088086,49
-T-hEoNi7KRHtKEUWeckUw,Base Camp Pong + Axe,815 W Ann Morrison Park Dr,Boise,ID,43.6060115,-116.2128542,50
