business_id,name,address,city,state,latitude,longitude,ranking
mhr6ArtuU4duyydvnHJcbw,Ammon Mediterranean Market,853 Cooper Landing Rd,Cherry Hill,NJ,39.939327,-75.0087421,1
UmXR9Sj0PgYbLgtMjfk9UA,Sea Lect Seafood,300 W Main St,Maple Shade,NJ,39.9545866,-75.0070171,2
SsW2RC6_YHzacokncPr9Cw,Pizza Plaza,845 Cooper Landing Rd,Cherry Hill,NJ,39.9392218,-75.0089974,3
UYDFNziNUAw6F05vXUqGXQ,Tacconelli's Pizzeria,27 W Main St,Maple Shade,NJ,39.955518,-75.003262,4
gYXapnMjACBJbB59LbJ2og,Bread and Bagels,1600 Church Rd,Cherry Hill,NJ,39.944097,-75.021229,5
9JTzW5o1zOTQnb2hKjJGiQ,Carrabba's Italian Grill,500 Rte Nj-38 E,Maple Shade,NJ,39.9417304624,-74.9878613,6
FJY0EP3DNkrAV2lVpllN4Q,Dunkin',2441 Route 38,Cherry Hill,NJ,39.9406887699,-75.0062087651,7
h-xgk0e_WisVzWLUudKgDg,Crawfish & Pho,"2442 NJ-38, Ste 5",Cherry Hill,NJ,39.941514,-75.005939,8
OODq1wgBqzIKeBiQtzltDA,House of Pizza,7447 Maple Ave,Pennsauken,NJ,39.9524705,-75.0317468,9
QVmRgzIN3S2hvOja0HmM8Q,Chuck E. Cheese,2100 Rt 38,Cherry Hill,NJ,39.9419625746,-75.0193926355,10
WhQh1ATURgi8hvxxJEmKuw,Montesini Pizza & Pasta Gourmet,33 E Rudderow Ave,Maple Shade,NJ,39.9428729,-74.9931795,11
C3eToMYELUFQN1XIDLPvUQ,Stone Fire Pizza by Midici,2000 NJ-38,Cherry Hill,NJ,39.940887,-75.0257016,12
QMU0VyEWcK2d5Sfdb3Qi7Q,H&H Deli Catering,"3495 Haddonfield Rd, Ste 2",Pennsauken,NJ,39.9612886,-75.0255647,13
Tj_k9x4px-pzvxQcUp_Nbg,Trappixx Jamaican Restaurant,2442 W Rte 38,Cherry Hill,NJ,39.9415510161,-75.0057181589,14
OTidyJ0pcVB6d73FlkBnag,Starbucks,2000 Route 38,Cherry Hill,NJ,39.942495,-75.0255696,15
GNaRBFMly03aUhnC_ZGtZA,Palace Of Asia,480 Route 38 E,Maple Shade,NJ,39.9415215,-74.9920909,16
cBiHULO8B4gTEav8eQJhuQ,Silver Diner,2131 Rt 38,Cherry Hill,NJ,39.9381628296,-75.0253017415,17
N5yjty7R5XN2_hIwW-2Iyg,Jjang Ga Nae,2431 Church Rd,Cherry Hill,NJ,39.9402993,-75.0080328,18
n0LxTZ4K4-ZBcTguWVwb6g,Hing Far Chinese Restaurant,7519 Maple Ave,Pennsauken,NJ,39.9526779,-75.030645,19
LuD8Ci-eTKyYnaLv9frAag,Fortune Cookie,7708 Maple Ave,Merchantville,NJ,39.9522299,-75.0291132,20
Eq3utoa11OyZD3sSgjoV8Q,Thaimax,"2000 Rte 38, Spc FC38",Cherry Hill,NJ,39.9433055985,-75.0262261368,21
DTum3QVjry6POcF3WSZYUQ,Cindy's Chinese Restaurant,2442 Rt 38,Cherry Hill,NJ,39.9415219,-75.0059381,22
D2nhafgKxsmCbqUR4vjYHw,Four Seasons Chinese Restaurant,827 Cooper Landing Rd,Cherry Hill,NJ,39.9391878,-75.009437,23
0Q-E_trgdkgIPlYUf-n5OA,Saladworks,2000 Route 38,Cherry Hill,NJ,39.942495,-75.0255696,24
1Uj_Ob1C2z5Ykx-WHorjWQ,Bubbakoo's Burritos,56 Haddonfield Rd,Cherry Hill,NJ,39.9480046,-75.0283944,25
FTmCkrNcZWIVvZXrj2Fhcw,Fruit Sensations,2000 Route 38,Cherry Hill,NJ,39.943399,-75.026192,26
ZPd6tNapV7y2AFh1RO2WBA,Wawa,55 North Forklanding Rd,Maple Shade,NJ,39.9570921,-75.0026515,27
jYZuJurVhpKe80I05P-V4w,Crab Du Jour Xpress - Pennsauken,7801 Maple Ave,Pennsauken,NJ,39.9531063,-75.0264547,28
aNv0z1KPeABeDTt0fuDYhw,Chick-fil-A,400 Haddonfield Rd,Cherry Hill,NJ,39.9403743654,-75.0301179,29
EUu9FqaXxIwhRxLgEJ6WiQ,Red Lobster,"2100 Route 38, ACROSS THE STREET FROM THE CHERRY HILL MALL, NEXT",Cherry Hill,NJ,39.939644,-75.021509,30
Mfvk9uEEhdCqj8S2u7dWgQ,Seasons 52,"2000 Rte 38, Ste 1145",Cherry Hill,NJ,39.9403603389,-75.0264621411,31
_UMblgA_K4QYgoyszy46QQ,Marketplace Cafe,2000 Route 38,Cherry Hill,NJ,39.9406580767,-75.0275227242,32
i1WPpsuD5gyLppyB71vv6A,Bahama Breeze,"2000 Nj-38, Ste 1170",Cherry Hill,NJ,39.9401898723,-75.0257360693,33
xnuIhNUYIzgPZONsVfEY-Q,Domino's Pizza,911 Church Rd,Cherry Hill,NJ,39.946911928,-75.0271076477,34
bngZLOFrZzC6ULFYRQElFw,IHOP,1602 Church Rd,Cherry Hill,NJ,39.94389,-75.02082,35
p8ao29A31ijNwDXuAxQxjA,Maggiano's Little Italy,"2000 Route 38, Ste 1180",Cherry Hill,NJ,39.9403458573,-75.0244843243,36
-iXlYo2AI1iHgpeZnv5sPw,McDonald's,2428 Kaighns Ave,Cherry Hill,NJ,39.941452,-75.0079164281,37
N9gF1pYdptTrH1thC7dX9g,Wawa,50 Haddonfield Rd,Cherry Hill,NJ,39.9493603464,-75.0280439434,38
xIshpRKiMtfei4_sLUhAxw,Chicken Now,2000 Rt 38,Cherry Hill,NJ,39.940745,-75.025747,39
Tn2Ccr4p4Y0qCMD3X2jGFQ,Marco's Restaurant,3800 Haddonfield Rd,Pennsauken Township,NJ,39.9579711407,-75.024710096,40
t8DH1q5EXe5RpKHTVYGaLw,Fatburger,2000 NJ-38,Cherry Hill,NJ,39.940876,-75.0257016,41
woWjkq0PyNa21FAJHUBnVg,Gaetano's of Maple Shade,7 W Main St,Maple Shade,NJ,39.9554758,-75.0024383,42
LR4aKXyxN-a8WTgQ1o9hBA,Bistro at Cherry Hill,"2000 Route 38, Ste 514",Cherry Hill,NJ,39.940895,-75.025427,43
3xW7Uk_12K8qSdBctcXySA,Wendy's,2400 Church Rd,Cherry Hill,NJ,39.9398869694,-75.0090987842,44
IuZcqfpMubJhhtdGc9fXxg,Alden Cafe,302 W Main St,Maple Shade,NJ,39.9546346,-75.0071477,45
fio_STCfed6Un1j2DGQpfw,Ruby Buffet,2100 Rt 38,Cherry Hill,NJ,39.94169,-75.01778,46
4KH6DlFi25Fx1-hlSF7ViA,The Capital Grille,2000 Route 38,Cherry Hill,NJ,39.941343649,-75.0283223683,47
qmxmUc4xzNt3ogaZLH8Eiw,Versi Vino,461 Route 38 W,Maple Shade,NJ,39.9422608,-74.9955305,48
qtRqU1dxdq8Mcbgcgtbx-Q,Applebee's Grill + Bar,108 Haddonfield Rd,Cherry Hill,NJ,39.946124,-75.028716,49
UuW2u4asxKF23xL65L606Q,TGI Fridays,2125 Route 38,Cherry Hill,NJ,39.9378936,-75.0273928031,50
